patternType,pattern,toolType,examples,reasoning,pmid
context_phrase,stably transduced with|transduced.*with|transfected with,genetic_reagent,['stably transduced with fluorescent protein and luciferase reporters'],Context phrases indicating genetic modification tools and reagents,PMID:21111000
naming_convention,[A-Za-z0-9]+[+/-]+ mice,animal_model,"['Nf1+/- mice', 'Cx3cr1-GFP heterozygous knockout mice']",Pattern to catch genetically modified mouse strains with +/- notation indicating heterozygous knockouts,PMID:21157378
naming_convention,[A-Z0-9]+-[A-Z]+ mice,animal_model,['CD11b-TK mice'],Pattern for transgenic mouse lines with protein-reporter/effector combinations,PMID:21157378
context_phrase,\b(CD\d+[a-z]*|Iba\d+)\+\b,antibody,"['CD11b+', 'CD68+', 'Iba1+', 'CD45low']",Immunohistochemical markers with positive/negative notation indicating antibody usage for cell identification,PMID:21157378
context_phrase,genetically engineered mice,animal_model,['Neurofibromatosis-1 (NF1) genetically engineered mice'],General phrase indicating use of transgenic/knockout mouse models,PMID:21157378
context_phrase,\b\w+\s+administration\b,genetic_reagent,['ganciclovir administration'],"Chemical compounds administered for experimental purposes, especially in conditional systems",PMID:21157378
naming_convention,\b\w+\(\+/-\)\s+mice\b,animal_model,['Nf1(+/-) mice'],"The (+/-) notation is standard genetic nomenclature for heterozygous knockout mice and should be recognized as animal model usage, not gene references.",PMID:21199799
context_phrase,\b(heterozygous|homozygous)\s+\w+\s+(mutant|knockout|deficient)\s+mice\b,animal_model,['heterozygous Nf1 mutant mice'],Genetic modifiers (heterozygous/homozygous) combined with mutant/knockout terminology clearly indicate animal models rather than gene references.,PMID:21199799
context_phrase,\b\w+\s+mutant\s+mice\b,animal_model,['Nf1 mutant mice'],"The combination of gene name + 'mutant mice' is a strong indicator of animal model usage, especially in experimental contexts describing procedures or treatments.",PMID:21199799
context_phrase,\bcontrol\s+(and|versus|vs\.?)\s+\w+\s+(mutant|knockout)\s+mice\b,animal_model,['control and heterozygous Nf1 mutant mice'],Comparative experimental design language indicating both control and experimental animal strains are being used as research tools.,PMID:21199799
context_phrase,genetically engineered mouse model of [gene/disease],animal_model,['genetically engineered mouse model of Nf1 optic glioma'],This phrase pattern clearly indicates a research animal model and should be captured,PMID:21216928
context_phrase,[gene]-deficient [cell type] cells,cell_line,['Nf1-deficient glial cells'],Pattern for genetically modified cell lines used in research,PMID:21216928
context_phrase,biomarkers of .* \(([^)]+)\),antibody,"['biomarkers of mTOR pathway inhibition (phospho-S6, phospho-4EBP1, phospho-STAT3, and Jagged-1 levels)']","When biomarkers are listed in parentheses, they typically require antibodies for detection",PMID:21216928
context_phrase,tumor proliferation \(([^)]+)\),antibody,['tumor proliferation (Ki67)'],Proliferation markers in parentheses typically indicate antibody-based detection methods,PMID:21216928
naming_convention,phospho-[A-Z0-9]+,antibody,"['phospho-S6', 'phospho-4EBP1', 'phospho-STAT3']",Phosphorylated protein detection almost always requires specific phospho-antibodies,PMID:21216928
naming_convention,\b[A-Z][a-z0-9]+\(\+/-\)\s+mice\b,animal_model,['Nf1(+/-) mice'],"Pattern to catch heterozygous knockout mouse models with the (+/-) notation, commonly used in genetics research",PMID:21352477
term,\bRotarod\b,clinical_assessment_tool,['Rotarod'],Rotarod is a standard behavioral testing apparatus in neuroscience research for motor performance assessment,PMID:21352477
context_phrase,\b(optokinetic|vestibulo-ocular)\s+reflex\b,clinical_assessment_tool,"['optokinetic reflex', 'vestibulo-ocular reflex']",Physiological reflex tests are standardized assessment tools in neuroscience and should be captured,PMID:21352477
term,\bErasmus\s+ladder\b,clinical_assessment_tool,['Erasmus ladder'],"Specific behavioral testing apparatus for motor coordination, should be included in assessment tool patterns",PMID:21352477
context_phrase,\bVOR\s+adaptation\s+paradigms?\b,clinical_assessment_tool,['VOR adaptation paradigms'],Standardized behavioral testing protocols for cerebellar function assessment,PMID:21352477
context_phrase,\ba\s+validated\s+(mouse\s+)?model\s+for\b,animal_model,['a validated mouse model for NF1'],Context phrase that strongly indicates animal model usage with validation statement,PMID:21352477
naming_convention,\b[A-Za-z0-9]+\(flox[/-]+\);[A-Za-z0-9.]+Cre\([+-]\)\s+mice,animal_model,['Nf1(flox/-);Col2.3Cre(+) mice'],"Captures conditional knockout mouse nomenclature with floxed alleles and Cre recombinase systems, which are common in modern mouse genetics but have complex naming patterns",PMID:21439418
term,dual-energy X-ray absorptiometry|DEXA,computational_tool,['dual-energy X-ray absorptiometry (DEXA)'],"Bone density measurement technique commonly used in skeletal research, should be recognized as an analytical tool",PMID:21439418
term,peripheral quantitative computed tomography|pQCT,computational_tool,['peripheral quantitative computed tomography (pQCT)'],"Specialized CT technique for bone analysis, important analytical tool in skeletal research",PMID:21439418
context_phrase,as measured by|measured using|analyzed by|quantified using,general,['as measured by dual-energy X-ray absorptiometry (DEXA)'],"Context phrases that indicate analytical tool usage, could help identify measurement and analysis techniques",PMID:21439418
naming_convention,\b[A-Za-z0-9]+\([^)]*flox[^)]*\)[^;]*;[^\s]+\s+mice,animal_model,['Nf1(flox/-);Col2.3Cre(+) mice'],More flexible pattern to capture various floxed mouse model nomenclatures with different genetic backgrounds and Cre systems,PMID:21439418
naming_convention,"[A-Z]{2,4}[0-9]{2,3}-[0-9]{1,2}[A-Z]?",cell_line,"['ST88-14', 'STS-26T', 'T265-2c']","Captures alphanumeric cell line naming conventions commonly used for cancer cell lines, including those with suffix letters",PMID:21460792
naming_convention,"[A-Z]{3,4}\s+[IVX]+\s+mice",animal_model,['NIH III mice'],"Captures mouse strain names with Roman numerals, which are common in immunodeficient mouse nomenclature",PMID:21460792
context_phrase,(orthotopic|ectopic)\s+(xenograft|xenografting)\s+(model|system|methodology),patient_derived_model,"['orthotopic xenograft model', 'orthotopic xenografting methodology']",Identifies xenograft systems as patient-derived models when described in methodological context,PMID:21460792
term,bioluminescence\s+(imaging|detection|quantification),computational_tool,"['bioluminescence imaging', 'bioluminescence quantification']",Captures bioluminescence imaging systems which require specialized software for analysis and quantification,PMID:21460792
context_phrase,(nude|immunodeficient|SCID|NOD)\s+mice,animal_model,"['nude mice', 'immunodeficient mice']",Captures common immunodeficient mouse strain descriptors used in xenograft studies,PMID:21460792
naming_convention,\b[A-Z][a-z0-9]+\([A-Z][a-z0-9]+\)\s+mice,animal_model,['Nf1(Prx1) mice'],Mouse strain nomenclature with gene(promoter) format commonly used in genetics research,PMID:21478499
term,\b[A-Z][a-z0-9]+-cre\b,genetic_reagent,['Prx1-cre'],Cre recombinase systems are fundamental genetic tools for conditional gene targeting,PMID:21478499
context_phrase,satellite cells isolated from,cell_line,['Satellite cells isolated from Nf1(Prx1) mice'],Primary cell isolation represents a cell culture system/tool used in research,PMID:21478499
context_phrase,gene inactivation.*using,genetic_reagent,['Nf1 gene inactivation in the early limb bud mesenchyme using Prx1-cre'],Indicates use of genetic tools for gene manipulation,PMID:21478499
term,\bmyoblasts?\b,cell_line,['myoblasts'],Specific cell types used in muscle development research,PMID:21478499
context_phrase,acute loss of [GENE],animal_model,['acute loss of NF1 in both embryonic and adult Schwann cells'],"This phrase typically indicates conditional knockout experiments which require specific mouse models, even when the model names aren't explicitly stated",PMID:21551250
context_phrase,loss of function at the [GENE] locus,animal_model,['loss of function at the NF1 locus'],This terminology often refers to knockout or mutant animal models used to study gene function,PMID:21551250
context_phrase,[CELL_TYPE] lineage,cell_line,['Schwann cell lineage'],"When studying specific cell lineages experimentally, researchers typically use primary cultures or established cell lines from those lineages",PMID:21551250
naming_convention,[Gene name] mutant mice,animal_model,['Nf1 mutant mice'],"This pattern would capture genetically modified mouse models where the gene name is followed by 'mutant mice', which is a common naming convention in mouse genetics research",PMID:21681782
context_phrase,with [gene] gene loss,animal_model,['with p19ARF gene loss'],"This pattern would identify genetic modifications involving gene loss/knockout, which are fundamental tools in mouse genetics research",PMID:21681782
term,[Gene]ARF,genetic_reagent,['p19ARF'],ARF (Alternative Reading Frame) genes are specific genetic elements that should be captured when mentioned in the context of genetic modifications,PMID:21681782
context_phrase,[cell type] cells with loss of [gene],cell_line,['hematopoietic cells with loss of p19'],"This pattern would capture genetically modified primary cells or cell lines derived from knockout animals, which are important cellular tools",PMID:21681782
naming_convention,\b[A-Z0-9]+\([+/-]+\)\s+.*cell\s+lines?,cell_line,"['NF1(+/+) MPNST cell lines', 'NF1(-/-) MPNST cell lines']","Genetic notation with +/+ or -/- indicates wild-type vs knockout cell lines, commonly used in cancer research",PMID:21697395
naming_convention,\b[a-z0-9]+[ΔΔ]\s+.*yeast|yeast.*\b[a-z0-9]+[ΔΔ],animal_model,['ira2Δ budding yeast'],Greek delta (Δ) symbol indicates gene deletion in yeast strain nomenclature,PMID:21697395
context_phrase,deletion of [A-Z0-9]+|genetic inactivation of [A-Z0-9]+,genetic_reagent,"['deletion of IRA2', 'genetic inactivation of NAB3']",Phrases indicating genetic modifications or knockouts represent genetic reagents,PMID:21697395
term,small molecule [A-Z0-9]+,genetic_reagent,['small molecule UC1'],Named small molecules used in research are chemical reagents/tools,PMID:21697395
context_phrase,developed assays in|using.*cell lines|.*strains.*lacking,general,"['developed assays in NF1(+/+) and NF1(-/-) MPNST cell lines', 'budding yeast lacking the NF1 homologue']",Context phrases that strongly indicate experimental tool usage,PMID:21697395
naming_convention,\b[A-Z][a-z0-9]+[A-Z][a-z0-9]+ mice\b,animal_model,"['Nf1Prx1 mice', 'C57BL/6J mice']",Mouse strain/line nomenclature pattern - captures both transgenic lines and inbred strains,PMID:21726432
naming_convention,\b[A-Z][a-z0-9]+flox\b,genetic_reagent,['Nf1flox mice'],Floxed allele nomenclature - standard notation for conditional knockout alleles,PMID:21726432
naming_convention,\b[A-Z][a-z0-9]+-Cre\b,genetic_reagent,['Prx1-Cre mice'],Cre recombinase transgenic line nomenclature - standard for conditional knockout systems,PMID:21726432
context_phrase,anti-[A-Z0-9]+ antibody.*\([^)]+\),antibody,"['anti-human MIA antibody (R&D Systems, McKinley Place NE, Minneapolis)']",Antibody mentions with vendor information in parentheses - high confidence tool usage,PMID:21726432
context_phrase,[A-Za-z]+ software.*v?[0-9]+\.[0-9]+,computational_tool,"['AxioVision 4.1 software', 'analySIS 5.0 software']",Software names with version numbers - indicates actual usage rather than citation,PMID:21726432
context_phrase,[A-Z]+ ELISA kit.*\([^)]+\),clinical_assessment_tool,"['MIA ELISA kit was purchased from (Roche Diagnostics, Indianapolis, IN, USA)']",ELISA kits with vendor information - biomarker measurement tools,PMID:21726432
context_phrase,automated.*system [A-Z][a-zA-Z0-9]+.*\([^)]+\),computational_tool,"['automated staining system TechMate (Dako, Hamburg, Germany)']",Automated laboratory systems with vendor - laboratory instrumentation,PMID:21726432
naming_convention,\b[A-Z]+ [A-Z]+ [0-9]+ [A-Za-z]+\b,computational_tool,['ABI PRISM 7900 Cycler'],Laboratory instrument model nomenclature - manufacturer + model + type,PMID:21726432
context_phrase,conditional inactivation of [A-Z0-9]+,animal_model,['mice bearing conditional inactivation of NF1'],Conditional knockout description - indicates genetically modified animal model,PMID:21726432
vendor_indicator,purchased from.*\([^)]+\),general,"['purchased from (Roche Diagnostics, Indianapolis, IN, USA)']",Vendor purchase information - strong indicator of actual tool usage rather than citation,PMID:21726432
context_phrase,exclude review articles from tool mining,general,"['In this review, we summarize', ""review articles typically cite but don't use tools""]",Review articles cite tools from other studies but don't use them experimentally. Mining tools from reviews creates false positives since the tools aren't actually used by the review authors. A publication type filter could exclude reviews from tool mining entirely.,PMID:21855613
term,require specific strain/model names rather than generic terms,animal_model,"['genetically engineered mouse models', 'mouse models']","Generic terms like 'mouse models' or 'genetically engineered mouse models' are too broad for tool databases. Only specific strain names (e.g., 'Nf1+/-', 'B6.129-Nf1tm1Tyj') should be captured as they represent actual usable research tools.",PMID:21855613
naming_convention,\b[A-Za-z0-9]+\(\+/-\)\s+mice\b,animal_model,"['Nf1(+/-) mice', 'p53(+/-) mice']",Captures the standard genetic nomenclature for heterozygous knockout mice using parenthetical notation. This is a common way to denote haploinsufficient animal models.,PMID:21949590
naming_convention,\b[A-Za-z0-9]+\+/-\s+mice\b,animal_model,"['Nf1+/- mice', 'Trp53+/- mice']",Captures the alternative notation for heterozygous knockout mice without parentheses. Both formats are commonly used in the literature.,PMID:21949590
term,\b\w+\s+haploinsufficient\s+mice\b,animal_model,"['Nf1 haploinsufficient mice', 'p53 haploinsufficient mice']","Captures mice described with haploinsufficiency terminology, which specifically refers to animal models with reduced gene dosage (typically heterozygous knockouts).",PMID:21949590
context_phrase,\b(hippocampal|cortical|cerebellar|striatal)\s+(neurons?|cultures?)\b,cell_line,"['hippocampal neurons', 'neuronal cortical cultures']","Captures primary neuronal cultures from specific brain regions. While not immortalized cell lines, these are important cellular model systems used in neuroscience research.",PMID:21949590
context_phrase,\bneurons?\s+from\s+\w+\s+mice\b,cell_line,"['neurons from Nf1(+/-) mice', 'neurons from wild-type mice']",Captures primary neuronal cultures derived from specific mouse strains or genotypes. This pattern would help identify primary cell culture systems.,PMID:21949590
term,NIH criteria|National Institutes of Health criteria,clinical_assessment_tool,"['NIH criteria', 'National Institutes of Health (NIH) criteria']",Standard diagnostic criteria are clinical assessment tools used to diagnose conditions and should be captured,PMID:21963267
context_phrase,diagnosed based on|diagnostic criteria|diagnostic criterion,clinical_assessment_tool,"['diagnosed based on the National Institutes of Health (NIH) criteria', 'as a new diagnostic criterion for NF1']",These phrases often precede mentions of clinical diagnostic tools and assessment methods,PMID:21963267
term,confocal scanning laser ophthalmoscopy|near-infrared reflectance imaging|NIR imaging,clinical_assessment_tool,"['Confocal scanning laser ophthalmoscopy', 'near-infrared reflectance (NIR)', 'NIR imaging']","Imaging-based diagnostic techniques are clinical assessment tools that should be captured, especially in ophthalmology studies",PMID:21963267
context_phrase,imaging was performed|examination to detect|imaging to detect,clinical_assessment_tool,"['NIR examination to detect choroidal involvement', 'Confocal scanning laser ophthalmoscopy was performed']",These phrases indicate active use of imaging-based clinical assessment tools,PMID:21963267
naming_convention,[A-Z][a-z0-9]+ (mutant|knockout|deficient) (mice|mouse),animal_model,"['Nf1 mutant mice', 'Nf1 knockout mice']","Pattern to capture mouse models described with gene name + mutant/knockout + mice/mouse, distinguishing from simple gene references",PMID:21963652
term,\[\([0-9]+C\)\]-[a-zA-Z]+,genetic_reagent,['[(11)C]-raclopride'],"Pattern to capture carbon-11 labeled PET tracers, which are specialized research reagents for imaging studies",PMID:21963652
context_phrase,(methylphenidate|l-Deprenyl|L-DOPA|amphetamine|atomoxetine)(?=.*correct|treat|improve|affect),genetic_reagent,['methylphenidate and l-Deprenyl correct both striatal dopamine levels'],"Pattern to capture pharmacological agents when used in experimental context (not just mentioned), indicating research reagent usage",PMID:21963652
context_phrase,novel (mouse|animal) model of [A-Z0-9]+-associated,animal_model,['novel mouse model of NF1-associated attention deficit'],Pattern to identify newly developed or characterized animal models for specific disease conditions,PMID:21963652
naming_convention,[A-Za-z0-9]+[+/-]+ mice|[A-Za-z0-9]+flox/flox mice|[A-Za-z0-9]+flox/- mice,animal_model,"['Nf1+/- mice', 'Nf1flox/flox mice', 'PeriCre+;Nf1flox/- mice']",Standard mouse genetics nomenclature for knockout and conditional alleles,PMID:21980365
naming_convention,[A-Za-z0-9]+Cre[+]? mice|[A-Za-z0-9]+Cre transgenic mice,animal_model,"['PeriCre transgenic mice', 'Col2.3Cre transgenic mice']",Cre recombinase driver mouse lines commonly used in conditional genetics,PMID:21980365
vendor_indicator,obtained from [A-Za-z ]+Laboratory|provided by Dr\. [A-Za-z ]+ at [A-Za-z ]+,animal_model,"['obtained from Dr. Tyler Jacks at the Massachusetts Institute of Technology', 'obtained from Jackson Laboratory']",Source attribution indicates research tool acquisition,PMID:21980365
term,ROSA26 reporter|Rosa26|R26,animal_model,"['ROSA26 reporter mice', 'Rosa26 locus']",Standard reporter mouse strain used for lineage tracing,PMID:21980365
context_phrase,imaging system \([A-Za-z0-9-]+;[^)]+\)|software \([^)]+\)|microscope \([^)]+\),computational_tool,"['imaging system (μCT-20; Scanco Medical AG)', 'software (Media Cybernetics, Silver Spring, MD)']",Equipment and software with vendor information in parentheses,PMID:21980365
naming_convention,[A-Za-z]+Cult [a-z]+ medium|[A-Za-z]+ basal medium,genetic_reagent,"['MesenCult basal medium', 'α-MEM medium']",Specialized cell culture media with proprietary names,PMID:21980365
context_phrase,transgenic mouse line was obtained from|mice were obtained from|provided by Dr\.,animal_model,"['transgenic mouse line was obtained from Jackson Laboratory', 'mice were obtained from Dr. Tyler Jacks']",Source attribution phrases indicate research tool acquisition,PMID:21980365
term,multiplex ligation-dependent probe amplification|MLPA,genetic_reagent,['multiplex ligation-dependent probe amplification'],MLPA is a specific molecular technique requiring specialized probe sets that should be captured as genetic reagents,PMID:22108604
context_phrase,\w+-derived \w+ cell cultures?,cell_line,['neurofibroma-derived Schwann cell cultures'],Pattern to capture patient-derived or tissue-derived cell culture systems that are used as research tools,PMID:22108604
term,loss-of-heterozygosity analysis|LOH analysis,genetic_reagent,['loss-of-heterozygosity (LOH) analysis'],LOH analysis typically requires specific molecular markers and reagents that could be captured,PMID:22108604
context_phrase,functional analysis (?:confirmed|revealed|showed|demonstrated),genetic_reagent,['Functional analysis confirmed this prediction'],Functional analysis context often indicates use of specific assays and reagents that might be missed,PMID:22108604
vendor_indicator,\b([A-Z][a-zA-Z]+)\s+v?\d+(\.\d+)*\s*\(\s*[^)]*\.(com|net|org|edu)\s*\),computational_tool,"['FusionCharts v3 ( www.fusioncharts.com )', 'phpmyadmin ( www.phpmyadmin.net )']",Pattern to catch software with version numbers and website URLs in parentheses,PMID:22384355
context_phrase,(?:using|with|via|through|by)\s+([A-Z][a-zA-Z0-9]+(?:\s+\d+(?:\.\d+)*)?),computational_tool,"['using FusionCharts v3', 'using phpmyadmin', 'using Mutalyzer 2.0']",Context phrases that indicate software usage with tool names,PMID:22384355
term,\b(MySQL|PHP|Apache|PostgreSQL|Oracle)\b,computational_tool,"['MySQL', 'PHP', 'Apache']",Common database and web development technologies often mentioned without explicit tool context,PMID:22384355
naming_convention,\b[A-Z][a-z]+[A-Z][a-z]+\s+\d+(\.\d+)+\b,computational_tool,['Mutalyzer 2.0'],CamelCase software names with version numbers,PMID:22384355
term,skin-derived precursor cells|SKPs,cell_line,"['skin-derived precursor cells (SKPs)', 'NF1(-/-) SKPs']",SKPs are a specific type of stem cell used as research tools in neurofibroma research,PMID:22550514
context_phrase,\b\w+\(\+/-\)|\b\w+\(-/-\),cell_line,"['NF1(+/-) multipotent progenitor cells', 'NF1(-/-) SKPs']",Genetic notation indicating heterozygous/homozygous knockout cell lines,PMID:22550514
term,S100β|S100beta,antibody,['S100β negative'],S100β is a common cellular marker requiring antibody detection,PMID:22550514
context_phrase,transplanted to \w+ mice|injected into \w+ mice,animal_model,['transplanted to heterozygous mice'],Context phrases indicating use of specific mouse strains for transplantation studies,PMID:22550514
naming_convention,human \w+fibromas|patient \w+fibromas,patient_derived_model,['human neurofibromas'],Patient-derived tumor samples used as research models,PMID:22550514
naming_convention,CNP-[A-Za-z0-9]+[Vv]?,animal_model,['CNP-HRas12V'],CNP promoter-driven transgenic mouse models follow this naming pattern and are commonly used in neurobiology research,PMID:22811580
context_phrase,transgenic mouse model.*expressing.*in.*cells,animal_model,"['transgenic mouse model, CNP-HRas12V, expressing constitutively active HRas in Schwann cells']",This phrase pattern reliably indicates transgenic animal model development and usage,PMID:22811580
term,shRNAs?|short hairpin RNAs?,genetic_reagent,"['Aurora kinase short hairpin RNAs (shRNA)', 'Aurora kinase shRNAs']",shRNA reagents are commonly used genetic tools but may not be captured by current patterns,PMID:22811580
context_phrase,Bayesian.*regression.*model|factor regression model,computational_tool,['Bayesian factor regression model analysis'],Statistical modeling approaches are computational tools used for data analysis,PMID:22811580
context_phrase,[A-Z0-9]+.*xenografts?|xenograft.*model,patient_derived_model,"['MPNST xenografts', 'mice with MPNST xenografts']",Xenograft models are patient-derived systems but may not be detected without specific context patterns,PMID:22811580
naming_convention,MLN[0-9]+,genetic_reagent,['MLN8237'],MLN-series compounds are commonly used research reagents/inhibitors with standardized naming,PMID:22811580
term,biallelic.*inactivation,animal_model,['biallelic Nf1 inactivation'],Technical terminology for knockout models that may not match standard nomenclature patterns,PMID:22901811
context_phrase,treatment with.*inhibitor,genetic_reagent,['transient treatment with an MEK/ERK inhibitor'],Identifies therapeutic compounds used in experimental treatments,PMID:22901811
context_phrase,ectopic.*expression,antibody,['ectopic Olig2 expression'],Protein expression analysis typically requires antibodies for detection,PMID:22901811
naming_convention,[A-Z][a-z]+[0-9]+\s+expression,antibody,['Olig2 expression'],Protein expression measurements imply antibody usage for detection,PMID:22901811
context_phrase,exhibit.*structural defect,computational_tool,"['exhibit enlarged corpus callosum, a structural defect']",Structural analysis requires imaging and computational analysis tools,PMID:22901811
naming_convention,"^[A-Z]{2,4}[0-9]{1,4}[A-Z]?$",cell_line,"['NFSC141', 'NFSC142', 'NSC1', 'NSC2']",Primary cell line naming convention used in this study - laboratory code followed by numbers and optional letter suffix,PMID:22942771
naming_convention,"^s[A-Z]{2,4}[0-9]{2,4}\.[0-9]$",cell_line,['sNF96.2'],Commercial cell line naming with 's' prefix and decimal point notation,PMID:22942771
context_phrase,using.*software,computational_tool,['using ProteoIQ software'],Common phrase pattern for software usage in methods/results,PMID:22942771
context_phrase,rabbit polyclonal antibod(y|ies) against,antibody,['rabbit polyclonal antibodies against human RARRES1 protein'],Standard antibody description pattern for polyclonal antibodies,PMID:22942771
context_phrase,primary.*cell cultures? (were )?established,cell_line,['primary Schwann cells cultures were established'],Indicates establishment of primary cell cultures as research tools,PMID:22942771
context_phrase,commercially available.*cell line,cell_line,['commercially available sNF96.2 cell line'],Indicates use of commercial cell lines as research tools,PMID:22942771
context_phrase,quality of life|QOL|health-related quality of life|HRQOL,clinical_assessment_tool,['decreases in quality of life (QOL)'],"QOL mentions in clinical trials almost always involve validated assessment instruments, even if not explicitly named",PMID:22961690
context_phrase,grade [0-9] (toxicity|adverse event|AE)|CTCAE|Common Terminology Criteria,clinical_assessment_tool,"['grade 3 pain', 'grade 3 rash and grade 4 mood alteration']",Toxicity grading indicates use of standardized assessment scales like CTCAE,PMID:22961690
context_phrase,AUC|pharmacokinetic|PK analysis|steady-state|clearance|half-life,computational_tool,['median AUC(0-12 hours) at steady-state'],"Pharmacokinetic parameter reporting indicates computational analysis, though specific software may not be named",PMID:22961690
term,maximum tolerated dose|MTD|dose-limiting toxicity|DLT,clinical_assessment_tool,"['Maximum tolerated dose (MTD)', 'dose-limiting toxicity (grade 3 rash)']",MTD and DLT determination requires standardized toxicity assessment protocols,PMID:22961690
naming_convention,\b[A-Za-z0-9]+\(\+/-\)\s+mice\b,animal_model,['Nf1(+/-) mice'],"This pattern would catch heterozygous knockout mouse strains using the standard (+/-) notation, which is commonly used in genetics literature.",PMID:23071067
naming_convention,\bwild-type\s+mice\b,animal_model,['wild-type mice'],Wild-type control mice are fundamental research tools that should be captured when mentioned in experimental contexts.,PMID:23071067
context_phrase,\b(delivered|administered|performed)\s+[^.]+\s+to\s+[^.]*mice\b,animal_model,['delivered fractionated abdominal irradiation to Nf1(+/-) and wild-type mice'],"This pattern would help identify experimental procedures performed on animal models, indicating active use of research animals.",PMID:23071067
term,\b(LOH|loss of heterozygosity)\b,genetic_reagent,"['LOH of NF1', 'loss of heterozygosity']",LOH analysis represents a specific genetic analysis technique that should be captured as a research method/tool.,PMID:23071067
context_phrase,\d+-point scale,clinical_assessment_tool,['3-point scale'],Standardized rating scales are common clinical assessment tools that may be missed by current patterns,PMID:23124644
term,tractography,computational_tool,['tractography'],Tractography is a specialized computational analysis method requiring dedicated software,PMID:23124644
context_phrase,(DTI|diffusion tensor imaging),computational_tool,"['DTI', 'diffusion tensor imaging']",DTI analysis requires specialized computational tools and software packages,PMID:23124644
naming_convention,immortalized.*cell[s]?,cell_line,['immortalized human NF2 schwannoma cells'],Immortalized cell lines are commonly used research tools but may not be caught by standard cell line patterns,PMID:23140466
naming_convention,nude mice|SCID mice|NSG mice|NOG mice,animal_model,['nude mice'],Immunodeficient mouse strains commonly used for xenograft studies should be specifically detected,PMID:23140466
context_phrase,AAV[0-9]+.*vector|adeno-associated virus.*vector,genetic_reagent,['adeno-associated virus (AAV) serotype 1 vector'],AAV vectors with serotype specifications are important gene therapy tools,PMID:23140466
naming_convention,[A-Z][0-9]+.*promoter|[A-Za-z]+.*promoter,genetic_reagent,['P0 promoter'],Promoter elements used in vector construction are important genetic reagents,PMID:23140466
context_phrase,vector encoding|construct encoding|plasmid encoding,genetic_reagent,['vector encoding caspase-1'],Phrases indicating genetic constructs with specific encoded genes,PMID:23140466
naming_convention,expressing.*fluorescent protein|expressing.*luciferase,cell_line,['cells expressing a fluorescent protein and luciferase'],Reporter-expressing cell lines are modified research tools that should be detected,PMID:23140466
naming_convention,[a-zA-Z]+[0-9]+\.[0-9]+,cell_line,"['sNF96.2', 'HEK293T', 'HT1080']",Cell line nomenclature patterns with alphanumeric codes and decimal points commonly used in cell line naming,PMID:23175151
context_phrase,cell line.*was.*provided by|obtained from.*cell line|cell line.*kindly provided,cell_line,"['The human MPNST cell line sNF96.2, was kindly provided by Dr Abhijit Guha']",Context phrases indicating cell line sourcing and usage in experimental procedures,PMID:23175151
vendor_indicator,antibod(y|ies).*\([A-Z0-9-]+\).*\(.*Abcam|Santa Cruz|Cell Signaling,antibody,['mouse monoclonal (CA-4001) matrix metalloproteinase (MMP)2...Abcam'],Antibodies with catalog numbers and major vendor names should be reliably detected,PMID:23175151
context_phrase,primary antibod(y|ies) used included|antibod(y|ies).*dilution.*incubation,antibody,['The primary antibodies used included: mouse monoclonal (CA-4001)'],Standard western blot methodology phrases that indicate antibody usage,PMID:23175151
term,Bioconductor|limma|TargetScan|PITA|PicTar|miRanda|GeneCodis,computational_tool,"['Bioconductor packages', 'limma package', 'TargetScanHuman']",Specific bioinformatics tools and packages commonly used in genomics research,PMID:23175151
context_phrase,analysis.*carried out using|analysed using|processed with.*software,computational_tool,['microRNA analysis was carried out using Bioconductor packages'],Context phrases indicating computational analysis and software usage,PMID:23175151
vendor_indicator,miRNA mimic|oligonucleotide.*Dharmacon|siRNA.*Dharmacon,genetic_reagent,"['miRNA mimics (Dharmacon Inc., Lafayette, CO, USA)']",Dharmacon is major vendor for RNA interference reagents and mimics,PMID:23175151
context_phrase,transfected.*using|transfection.*with.*mimic|cells.*transfected.*with,genetic_reagent,"['sNF96.2, was transfected in six-well plates using oligofectamine']",Transfection methodology phrases indicate genetic reagent usage,PMID:23175151
term,"\b[A-Z]{2,}[0-9]{6,}\b",genetic_reagent,['PD0325901'],Chemical compound identifiers with letter-number patterns often represent specific inhibitors or drugs used as research reagents,PMID:23221337
context_phrase,conditional inactivation of.*in.*cells,animal_model,['Conditional inactivation of the Nf1 tumor suppressor in hematopoietic cells of mice'],Conditional inactivation phrases strongly indicate genetically modified animal models,PMID:23221337
naming_convention,\w+-deficient.*cells,genetic_reagent,['Nf1-deficient hematopoietic cells'],Gene-deficient cell populations represent genetically modified cellular reagents,PMID:23221337
context_phrase,treatment with.*inhibitor,genetic_reagent,['treatment with the MEK inhibitor PD0325901'],Treatment context with inhibitor compounds indicates use of chemical research reagents,PMID:23221337
naming_convention,neurofibromatosis-[0-9]+ mice,animal_model,['neurofibromatosis-1 mice'],"This pattern would catch hyphenated disease names followed by 'mice', which is a common format for animal model naming in NF research",PMID:23225063
context_phrase,"using behavioral, electrophysiological, and primary culture",general,"['Using behavioral, electrophysiological, and primary culture, we now demonstrate...']","This phrase indicates multiple experimental methodologies that would require various research tools, suggesting the need for deeper text analysis in such contexts",PMID:23225063
term,primary culture,cell_line,['primary culture'],"Primary cultures are research tools (cell-based models) that should be captured, especially when mentioned in experimental context",PMID:23225063
