doi,pmid,publicationTitle,abstract,journal,publicationDate,authors
10.1038/s41467-020-17382-3,PMID:32699356,Murine models of IDH-wild-type glioblastoma exhibit spatial segregation of tumor initiation and manifestation during evolution.,"Recent characterization of spatiotemporal genomic architecture of IDH-wild-type multifocal glioblastomas (M-GBMs) suggests a clinically unobserved common-ancestor (CA) with a less aggressive phenotype, generating highly genetically divergent malignant gliomas/GBMs in distant brain regions. Using serial MRI/3D-reconstruction, whole-genome sequencing and spectral karyotyping-based single-cell phylogenetic tree building, we show two distinct types of tumor evolution in p53-mutant driven mouse models. Malignant gliomas/GBMs grow as a single mass (Type 1) and multifocal masses (Type 2), respectively, despite both exhibiting loss of Pten/chromosome 19 (chr19) and PI3K/Akt activation with sub-tetraploid/4N genomes. Analysis of early biopsied and multi-segment tumor tissues reveals no evidence of less proliferative diploid/2N lesions in Type 1 tumors. Strikingly, CA-derived relatively quiescent tumor precursors with ancestral diploid/2N genomes and normal Pten/chr19 are observed in the subventricular zone (SVZ), but are distantly segregated from multi focal Type 2 tumors. Importantly, PI3K/Akt inhibition by Rictor/mTORC2 deletion blocks distant dispersal, restricting glioma growth in the SVZ.",Nature communications,2020-07-22,Yinghua Li; Bo Li; Wei Li; Yuan Wang; Seçkin Akgül; Daniel M Treisman; Kevin A Heist; Brianna R Pierce; Benjamin Hoff; Cheng-Ying Ho; David O Ferguson; Alnawaz Rehemtulla; Siyuan Zheng; Brian D Ross; Jun Z Li; Yuan Zhu
10.1155/2020/5976465,PMID:32733557,"Gene Expression, Network Analysis, and Drug Discovery of Neurofibromatosis Type 2-Associated Vestibular Schwannomas Based on Bioinformatics Analysis.","Neurofibromatosis Type 2- (NF2-) associated vestibular schwannomas (VSs) are histologically benign tumors. This study aimed to determine disease-related genes, pathways, and potential therapeutic drugs associated with NF2-VSs using the bioinformatics method. Microarray data of GSE108524 were downloaded from the Gene Expression Omnibus (GEO) database, and differentially expressed genes (DEGs) were screened using GEO2R. The functional enrichment and pathway enrichment of DEGs were performed using Gene Ontology (GO) and Kyoto Encyclopedia of Genes Genomes (KEGG). Furthermore, the STRING and Cytoscape were used to analyze the protein-protein interaction (PPI) network of all differentially expressed genes and identify hub genes. Finally, the enriched gene sets belonging to the identified pathways were queried against the Drug-Gene Interaction database to find drug candidates for topical use in NF2-associated VSs. A total of 542 DEGs were identified, including 13 upregulated and 329 downregulated genes, which were mainly enriched in terms of focal adhesion, PI3K-Akt signaling pathway, ECM-receptor interaction, Toll-like receptor signaling pathway, Rap1 signaling pathway, and regulation of actin cytoskeleton. 28 hub genes were identified based on the subset of PPI network, and 31 drugs were selected based on the Drug-Gene Interaction database. Drug discovery using bioinformatics methods facilitates the identification of existing or potential therapeutic drugs to improve NF2 treatment.",Journal of oncology,2020,Qiao Huang; Si-Jia Zhai; Xing-Wei Liao; Yu-Chao Liu; Shi-Hua Yin
10.1016/j.trsl.2020.08.001,PMID:32781282,Nf1 heterozygous mice recapitulate the anthropometric and metabolic features of human neurofibromatosis type 1.,"Neurofibromatosis type 1 (NF1) is a heritable cancer predisposition syndrome resulting from mutations in the NF1 tumor suppressor gene. Genotype-phenotype correlations for NF1 are rare due to the large number of NF1 mutations and role of modifier genes in manifestations of NF1; however, emerging reports suggest that persons with NF1 display a distinct anthropometric and metabolic phenotype featuring short stature, low body mass index, increased insulin sensitivity, and protection from diabetes. Nf1 heterozygous (Nf1+/-) mice accurately reflect the dominant inheritance of NF1 and are regularly employed as a model of NF1. Here, we sought to identify whether Nf1+/- mice recapitulate the anthropometric and metabolic features identified in persons with NF1. Littermate 16-20 week-old male wildtype (WT) and Nf1+/- C57B/6J mice underwent nuclear magnetic resonance (NMR), indirect calorimetry, and glucose/insulin/pyruvate tolerance testing. In some experiments, tissues were harvested for NMR and histologic characterization. Nf1+/- mice are leaner with significantly reduced visceral and subcutaneous fat mass, which corresponds with an increased density of small adipocytes and reduced leptin levels. Additionally, Nf1+/- mice are highly reliant on carbohydrates as an energy substrate and display increased glucose clearance and insulin sensitivity, but normal response to pyruvate suggesting enhanced glucose utilization and preserved gluconeogenesis. Finally, WT and Nf1+/- mice subjected to high glucose diet were protected from diet-induced obesity and hyperglycemia. Our data suggest that Nf1+/- mice closely recapitulate the anthropometric and metabolic phenotype identified in persons with NF1, which will impact the interpretation of previous and future translational studies of NF1.",Translational research : the journal of laboratory and clinical medicine,2021-02,Rebekah Tritz; Tyler Benson; Valerie Harris; Farlyn Z Hudson; James Mintz; Hanfang Zhang; Simone Kennard; Weiqin Chen; David W Stepp; Gabor Csanyi; Eric J Belin de Chantemèle; Neal L Weintraub; Brian K Stansfield
10.1073/pnas.2008391117,PMID:32839340,Brain-wide structural and functional disruption in mice with oligodendrocyte-specific,Neurofibromin gene (,Proceedings of the National Academy of Sciences of the United States of America,2020-09-08,Jad Asleh; Ben Shofty; Nadav Cohen; Alexandra Kavushansky; Alejandro López-Juárez; Shlomi Constantini; Nancy Ratner; Itamar Kahn
10.1002/mgg3.1400,PMID:32869517,Genome-wide association study of café-au-lait macule number in neurofibromatosis type 1.,"BACKGROUND: Neurofibromatosis type 1 (NF1) is a tumor-predisposition disorder that arises due to pathogenic variants in tumor suppressor NF1. NF1 has variable expressivity that may be due, at least in part, from heritable elements such as modifier genes; however, few genetic modifiers have been identified to date. METHODS: In this study, we performed a genome-wide association analysis of the number of café-au-lait macules (CALM) that are considered a tumor-like trait as a clinical phenotype modifying NF1. RESULTS: A borderline genome-wide significant association was identified in the discovery cohort (CALM1, N = 112) between CALM number and rs12190451 (and rs3799603, r CONCLUSION: rs12190451 is located in a melanocyte-specific enhancer and may influence RPS6KA2 expression in melanocytes-warranting further functional studies.",Molecular genetics & genomic medicine,2020-10,Heejong Sung; Paula L Hyland; Alexander Pemov; Jeremy A Sabourin; Andrea M Baldwin; Sara Bass; Kedest Teshome; Wen Luo; Brigitte C Widemann; Douglas R Stewart; Alexander F Wilson
10.1186/s12885-020-07397-w,PMID:32948135,Anti-cancer agent 3-bromopyruvate reduces growth of MPNST and inhibits metabolic pathways in a representative in-vitro model.,"BACKGROUND: Anticancer compound 3-bromopyruvate (3-BrPA) suppresses cancer cell growth via targeting glycolytic and mitochondrial metabolism. The malignant peripheral nerve sheath tumor (MPNST), a very aggressive, therapy resistant, and Neurofibromatosis type 1 associated neoplasia, shows a high metabolic activity and affected patients may therefore benefit from 3-BrPA treatment. To elucidate the specific mode of action, we used a controlled cell model overexpressing proteasome activator (PA) 28, subsequently leading to p53 inactivation and oncogenic transformation and therefore reproducing an important pathway in MPNST and overall tumor pathogenesis. METHODS: Viability of MPNST cell lines S462, NSF1, and T265 in response to increasing doses (0-120 μM) of 3-BrPA was analyzed by CellTiter-Blue® assay. Additionally, we investigated viability, reactive oxygen species (ROS) production (dihydroethidium assay), nicotinamide adenine dinucleotide dehydrogenase activity (NADH-TR assay) and lactate production (lactate assay) in mouse B8 fibroblasts overexpressing PA28 in response to 3-BrPA application. For all experiments normal and nutrient deficient conditions were tested. MPNST cell lines were furthermore characterized immunohistochemically for Ki67, p53, bcl2, bcl6, cyclin D1, and p21. RESULTS: MPNST significantly responded dose dependent to 3-BrPA application, whereby S462 cells were most responsive. Human control cells showed a reduced sensitivity. In PA28 overexpressing cancer cell model 3-BrPA application harmed mitochondrial NADH dehydrogenase activity mildly and significantly failed to inhibit lactate production. PA28 overexpression was associated with a functional glycolysis as well as a partial resistance to stress provoked by nutrient deprivation. 3-BrPA treatment was not associated with an increase of ROS. Starvation sensitized MPNST to treatment. CONCLUSIONS: Aggressive MPNST cells are sensitive to 3-BrPA therapy in-vitro with and without starvation. In a PA28 overexpression cancer cell model leading to p53 inactivation, thereby reflecting a key molecular feature in human NF1 associated MPNST, known functions of 3-BrPA to block mitochondrial activity and glycolysis were reproduced, however oncogenic cells displayed a partial resistance. To conclude, 3-BrPA was sufficient to reduce NF1 associated MPNST viability potentially due inhibition of glycolysis which should lead to the initiation of further studies and promises a potential benefit for NF1 patients.",BMC cancer,2020-09-18,Christian Linke; Markus Wösle; Anja Harder
10.1007/s00401-020-02230-x,PMID:33025139,"Epigenomic, genomic, and transcriptomic landscape of schwannomatosis.","Schwannomatosis (SWNTS) is a genetic cancer predisposition syndrome that manifests as multiple and often painful neuronal tumors called schwannomas (SWNs). While germline mutations in SMARCB1 or LZTR1, plus somatic mutations in NF2 and loss of heterozygosity in chromosome 22q have been identified in a subset of patients, little is known about the epigenomic and genomic alterations that drive SWNTS-related SWNs (SWNTS-SWNs) in a majority of the cases. We performed multiplatform genomic analysis and established the molecular signature of SWNTS-SWNs. We show that SWNTS-SWNs harbor distinct genomic features relative to the histologically identical non-syndromic sporadic SWNs (NS-SWNS). We demonstrate the existence of four distinct DNA methylation subgroups of SWNTS-SWNs that are associated with specific transcriptional programs and tumor location. We show several novel recurrent non-22q deletions and structural rearrangements. We detected the SH3PXD2A-HTRA1 gene fusion in SWNTS-SWNs, with predominance in LZTR1-mutant tumors. In addition, we identified specific genetic, epigenetic, and actionable transcriptional programs associated with painful SWNTS-SWNs including PIGF, VEGF, MEK, and MTOR pathways, which may be harnessed for management of this syndrome.",Acta neuropathologica,2021-01,Sheila Mansouri; Suganth Suppiah; Yasin Mamatjan; Irene Paganini; Jeffrey C Liu; Shirin Karimi; Vikas Patil; Farshad Nassiri; Olivia Singh; Yogi Sundaravadanam; Prisni Rath; Roberta Sestini; Francesca Gensini; Sameer Agnihotri; Jaishri Blakeley; Kimberly Ostrow; David Largaespada; Scott R Plotkin; Anat Stemmer-Rachamimov; Marcela Maria Ferrer; Trevor J Pugh; Kenneth D Aldape; Laura Papi; Gelareh Zadeh
10.1158/0008-5472.CAN-20-1365,PMID:33032988,Combined Inhibition of SHP2 and MEK Is Effective in Models of NF1-Deficient Malignant Peripheral Nerve Sheath Tumors.,"Loss of the RAS GTPase-activating protein (RAS-GAP) NF1 drives aberrant activation of RAS/MEK/ERK signaling and other effector pathways in the majority of malignant peripheral nerve sheath tumors (MPNST). These dysregulated pathways represent potential targets for therapeutic intervention. However, studies of novel single agents including MEK inhibitors (MEKi) have demonstrated limited efficacy both preclinically and clinically, with little advancement in overall patient survival. By interrogation of kinome activity through an unbiased screen and targeted evaluation of the signaling response to MEK inhibition, we have identified global activation of upstream receptor tyrosine kinases (RTK) that converges on activation of RAS as a mechanism to limit sensitivity to MEK inhibition. As no direct inhibitors of pan-RAS were available, an inhibitor of the protein tyrosine phosphatase SHP2, a critical mediator of RAS signal transduction downstream of multiple RTK, represented an alternate strategy. The combination of MEKi plus SHP099 was superior to MEKi alone in models of NF1-MPNST, including those with acquired resistance to MEKi. Our findings have immediate translational implications and may inform future clinical trials for patients with MPNST harboring alterations in ",Cancer research,2020-12-01,Jiawan Wang; Kai Pollard; Amy N Allen; Tushar Tomar; Dirk Pijnenburg; Zhan Yao; Fausto J Rodriguez; Christine A Pratilas
10.1002/jcsm.12632,PMID:33078583,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,"BACKGROUND: Neurofibromatosis type 1 (NF1) is a multi-organ disease caused by mutations in neurofibromin 1 (NF1). Amongst other features, NF1 patients frequently show reduced muscle mass and strength, impairing patients' mobility and increasing the risk of fall. The role of Nf1 in muscle and the cause for the NF1-associated myopathy are mostly unknown. METHODS: To dissect the function of Nf1 in muscle, we created muscle-specific knockout mouse models for NF1, inactivating Nf1 in the prenatal myogenic lineage either under the Lbx1 promoter or under the Myf5 promoter. Mice were analysed during prenatal and postnatal myogenesis and muscle growth. RESULTS: Nf1 CONCLUSIONS: Our results demonstrate a cell autonomous role for Nf1 in myogenic cells during postnatal muscle growth required for metabolic and proteostatic homeostasis. Furthermore, Nf1 deficiency in muscle drives cross-tissue communication and mobilization of lipid reserves.","Journal of cachexia, sarcopenia and muscle",2020-12,Xiaoyan Wei; Julia Franke; Mario Ost; Kristina Wardelmann; Stefan Börno; Bernd Timmermann; David Meierhofer; Andre Kleinridders; Susanne Klaus; Sigmar Stricker
10.1038/s41598-020-74920-1,PMID:33082502,Image segmentation of plexiform neurofibromas from a deep neural network using multiple b-value diffusion data.,"We assessed the accuracy of semi-automated tumor volume maps of plexiform neurofibroma (PN) generated by a deep neural network, compared to manual segmentation using diffusion weighted imaging (DWI) data. NF1 Patients were recruited from a phase II clinical trial for the treatment of PN. Multiple b-value DWI was imaged over the largest PN. All DWI datasets were registered and intensity normalized prior to segmentation with a multi-spectral neural network classifier (MSNN). Manual volumes of PN were performed on 3D-T2 images registered to diffusion images and compared to MSNN volumes with the Sørensen-Dice coefficient. Intravoxel incoherent motion (IVIM) parameters were calculated from resulting volumes. 35 MRI scans were included from 14 subjects. Sørensen-Dice coefficient between the semi-automated and manual segmentation was 0.77 ± 0.016. Perfusion fraction (f) was significantly higher for tumor versus normal tissue (0.47 ± 0.42 vs. 0.30 ± 0.22, p = 0.02), similarly, true diffusion (D) was significantly higher for PN tumor versus normal (0.0018 ± 0.0003 vs. 0.0012 ± 0.0002, p < 0.0001). By contrast, the pseudodiffusion coefficient (D*) was significantly lower for PN tumor versus normal (0.024 ± 0.01 vs. 0.031 ± 0.005, p < 0.0001). Volumes generated by a neural network from multiple diffusion data on PNs demonstrated good correlation with manual volumes. IVIM analysis of multiple b-value diffusion data demonstrates significant differences between PN and normal tissue.",Scientific reports,2020-10-20,Chang Y Ho; John M Kindler; Scott Persohn; Stephen F Kralik; Kent A Robertson; Paul R Territo
10.1002/mgg3.1530,PMID:33085177,The development of the PlexiQoL: A patient-reported outcome measure for adults with neurofibromatosis type 1-associated plexiform neurofibromas.,"BACKGROUND: To develop and validate a patient-reported outcome (PRO) measure of quality of life (QoL), specific to patients with Neurofibromatosis Type 1 (NF1)-associated plexiform neurofibromas (pNFs), suitable for use in clinical efficacy trials. The study was conducted in parallel in the UK and US. METHODS: Qualitative interviews were conducted with patients to generate questionnaire content. Face and content validity of the draft scale was assessed by cognitive debriefing interviews (CDIs). A postal validation survey was conducted to identify the final version of the questionnaire (the PlexiQoL), establish its unidimensionality, and assess its psychometric properties. RESULTS: Thematic analysis was performed on 42 interview transcripts. Thirty-one CDIs revealed that patients found the draft scale to be comprehensible, relevant, and easy to complete. The postal validation survey was completed by 273 patients. Rasch analysis identified an 18-item unidimensional scale that showed excellent internal consistency, reproducibility, and sensitivity to differences in patient-perceived pNF severity, general health, and the use of pain medication. CONCLUSIONS: The PlexiQoL is the first disease-specific PRO assessing the ability of adults with NF-1 associated pNFs to meet their basic human needs. Clinical trials are planned to assess the sensitivity to change of the PlexiQoL in people undergoing treatment for pNFs.",Molecular genetics & genomic medicine,2020-12,Alice Heaney; Jeanette Wilburn; Matthew Rouse; Shannon Langmead; Jaishri O Blakeley; Susan Huson; Stephen P McKenna
10.1074/jbc.RA120.014960,PMID:33273014,mTOR kinase inhibition disrupts neuregulin 1-ERBB3 autocrine signaling and sensitizes NF2-deficient meningioma cellular models to IGF1R inhibition.,"Meningiomas (MNs), arising from the arachnoid/meningeal layer, are nonresponsive to chemotherapies, with ∼50% showing loss of the Neurofibromatosis 2 (NF2) tumor suppressor gene. Previously, we established NF2 loss activates mechanistic target of rapamycin complex 1 (mTORC1) and mechanistic target of rapamycin complex 2 (mTORC2) signaling, leading to clinical trials for NF2 and MN. Recently our omics studies identified activated ephrin (EPH) receptor and Src family kinases upon NF2 loss. Here, we report increased expression of several ligands in NF2-null human arachnoidal cells (ACs) and the MN cell line Ben-Men-1, particularly neuregulin-1/heregulin (NRG1), and confirm increased NRG1 secretion and activation of V-ERB-B avian erythroblastic leukemia viral oncogene homolog 3 (ERBB3) receptor kinase. Conditioned-medium from NF2-null ACs or exogenous NRG1 stimulated ERBB3, EPHA2, and mTORC1/2 signaling, suggesting pathway crosstalk. NF2-null cells treated with an ERBB3-neutralizing antibody partially downregulated mTOR pathway activation but showed no effect on viability. mTORC1/2 inhibitor treatment decreased NRG1 expression and downregulated ERBB3 while re-activating pAkt T308, suggesting a mechanism independent of NRG1-ERBB3 but likely involving activation of another upstream receptor kinase. Transcriptomics after mTORC1/2 inhibition confirmed decreased ERBB3/ERBB4 while revealing increased expression of insulin-like growth factor receptor 1 (IGF1R). Drug treatment co-targeting mTORC1/2 and IGF1R/insulin receptor attenuated pAkt T308 and showed synergistic effects on viability. Our findings indicate potential autocrine signaling where NF2 loss leads to secretion/activation of NRG1-ERBB3 signaling. mTORC1/2 inhibition downregulates NRG1-ERBB3, while upregulating pAkt T308 through an adaptive response involving IGF1R/insulin receptor and co-targeting these pathways may prove effective for treatment of NF2-deficient MN.",The Journal of biological chemistry,2021,Roberta L Beauchamp; Serkan Erdin; Luke Witt; Justin T Jordan; Scott R Plotkin; James F Gusella; Vijaya Ramesh
10.1177/0963689720964383,PMID:33356508,C6 Cell Injection into the Optic Nerve of Long-Evans Rats: A Short-Term Model of Optic Pathway Gliomas.,"The optic pathway glioma (OPG) is a slow-growing brain tumor that arises along the optic nerve or its downstream connections and causing vision to gradually worsen with time. This tumor forms in children with a genetic condition called neurofibromatosis type 1 (NF1), causing tumors to grow on nerves. In normal conditions, glial cells are there to support and protect nerve cells but, in NF1-OPG, glial cells have a genetic defect and grow out of control forming a tumor called a glioma. There are no rat models of NF1-OPG that can be used to explore various treatment options, and mouse models make interventional studies difficult due to their small eye size. We have created a model in which to study the progression of tumor growth in the optic nerve and establish the anatomical and functional consequences of the model and determine its suitability to serve as a surrogate for human disease. C6 rat glioma cells were injected into the optic nerve of Long-Evans rats and allowed to proliferate for 2 weeks. The eye clearly showed proptosis and lens opacity was observed, likely due to increased intraocular pressure caused by growing tumors. Hematoxylin-eosin staining showed marked cellularity, with hyperchromatism and pleomorphism. There was prominent area of necrosis with neoplastic cells palisading around the penumbra. Immunostaining with markers such as S100, β-tubulin III, Foxp3, CD45, Vimentin, and Ki67 confirmed low-grade tumor formation, with a mild immune response. Our results show the utility of a surgically induced rat model of OPG that may be used for exploring various treatment options for NF1 ocular tumors.",Cell transplantation,2020,Deepti Singh; Pierre C Dromel; Tatiana Perepelkina; Petr Baranov; Michael Young
10.1021/acs.jpcb.0c09742,PMID:33369425,Machine Learning of Allosteric Effects: The Analysis of Ligand-Induced Dynamics to Predict Functional Effects in TRAP1.,"Allosteric molecules provide a powerful means to modulate protein function. However, the effect of such ligands on distal orthosteric sites cannot be easily described by classical docking methods. Here, we applied machine learning (ML) approaches to expose the links between local dynamic patterns and different degrees of allosteric inhibition of the ATPase function in the molecular chaperone TRAP1. We focused on 11 novel allosteric modulators with similar affinities to the target but with inhibitory efficacy between the 26.3 and 76%. Using a set of experimentally related local descriptors, ML enabled us to connect the molecular dynamics (MD) accessible to ligand-bound (perturbed) and unbound (unperturbed) systems to the degree of ATPase allosteric inhibition. The ML analysis of the comparative perturbed ensembles revealed a redistribution of dynamic states in the inhibitor-bound versus inhibitor-free systems following allosteric binding. Linear regression models were built to quantify the percentage of experimental variance explained by the predicted inhibitor-bound TRAP1 states. Our strategy provides a comparative MD-ML framework to infer allosteric ligand functionality. Alleviating the time scale issues which prevent the routine use of MD, a combination of MD and ML represents a promising strategy to support ",The journal of physical chemistry. B,2021-01-14,Mariarosaria Ferraro; Elisabetta Moroni; Emiliano Ippoliti; Silvia Rinaldi; Carlos Sanchez-Martin; Andrea Rasola; Luca F Pavarino; Giorgio Colombo
10.1186/s13072-020-00380-6,PMID:33436083,Distinctive epigenomic alterations in NF1-deficient cutaneous and plexiform neurofibromas drive differential MKK/p38 signaling.,"Benign peripheral nerve sheath tumors are the clinical hallmark of Neurofibromatosis Type 1. They account for substantial morbidity and mortality in NF1. Cutaneous (CNF) and plexiform neurofibromas (PNF) share nearly identical histology, but maintain different growth rates and risk of malignant conversion. The reasons for this disparate clinical behavior are not well explained by recent genome or transcriptome profiling studies. We hypothesized that CNFs and PNFs are epigenetically distinct tumor types that exhibit differential signaling due to genome-wide and site-specific methylation events. We interrogated the methylation profiles of 45 CNFs and 17 PNFs from NF1 subjects with the Illumina EPIC 850K methylation array. Based on these profiles, we confirm that CNFs and PNFs are epigenetically distinct tumors with broad differences in higher-order chromatin states and specific methylation events altering genes involved in key biological and cellular processes, such as inflammation, RAS/MAPK signaling, actin cytoskeleton rearrangement, and oxytocin signaling. Based on our identification of two separate DMRs associated with alternative leading exons in MAP2K3, we demonstrate differential RAS/MKK3/p38 signaling between CNFs and PNFs. Epigenetic reinforcement of RAS/MKK/p38 was a defining characteristic of CNFs leading to pro-inflammatory signaling and chromatin conformational changes, whereas PNFs signaled predominantly through RAS/MEK. Tumor size also correlated with specific CpG methylation events. Taken together, these findings confirm that NF1 deficiency influences the epigenetic regulation of RAS signaling fates, accounting for observed differences in CNF and PNF clinical behavior. The extension of these findings is that CNFs may respond differently than PNFs to RAS-targeted therapeutics raising the possibility of targeting p38-mediated inflammation for CNF treatment.",Epigenetics & chromatin,2021-01-13,Jamie L Grit; Benjamin K Johnson; Patrick S Dischinger; Curt J Essenburg; Marie Adams; Stacy Campbell; Kai Pollard; Christine A Pratilas; Tim J Triche; Carrie R Graveel; Matthew R Steensma
10.1038/s41591-020-01193-6,PMID:33442015,Cabozantinib for neurofibromatosis type 1-related plexiform neurofibromas: a phase 2 trial.,"Neurofibromatosis type 1 (NF1) plexiform neurofibromas (PNs) are progressive, multicellular neoplasms that cause morbidity and may transform to sarcoma. Treatment of Nf1",Nature medicine,2021-01,Michael J Fisher; Chie-Schin Shih; Steven D Rhodes; Amy E Armstrong; Pamela L Wolters; Eva Dombi; Chi Zhang; Steven P Angus; Gary L Johnson; Roger J Packer; Jeffrey C Allen; Nicole J Ullrich; Stewart Goldman; David H Gutmann; Scott R Plotkin; Tena Rosser; Kent A Robertson; Brigitte C Widemann; Abbi E Smith; Waylan K Bessler; Yongzheng He; Su-Jung Park; Julie A Mund; Li Jiang; Khadijeh Bijangi-Vishehsaraei; Coretta Thomas Robinson; Gary R Cutter; Bruce R Korf; Jaishri O Blakeley; D Wade Clapp
10.1001/jamanetworkopen.2020.35479,PMID:33507258,Assessment of RAS Dependency for BRAF Alterations Using Cancer Genomic Databases.,"IMPORTANCE: Understanding RAS dependency and mechanisms of RAS activation in non-V600 BRAF variant cancers has important clinical implications. This is the first study to date to systematically assess RAS dependency of BRAF alterations with real-world cancer genomic databases. OBJECTIVE: To evaluate RAS dependency of individual BRAF alterations through alteration coexistence analysis using cancer genomic databases. DESIGN AND SETTING: A cross-sectional data analysis of 119 538 nonredundant cancer samples using cancer genomics databases including GENIE (Genomics Evidence Neoplasia Information Exchange) and databases in cBioPortal including TCGA (The Cancer Genome Atlas) (accessed March 24, 2020), in addition to 2745 cancer samples from Mayo Clinic Genomics Laboratory (January 1, 2015, to July 1, 2020). Frequencies and odds ratios of coexisting alterations of RAS (KRAS, NRAS and HRAS) and RAS regulatory genes (NF1, PTPN11 and CBL) were calculated for individual BRAF alterations, and compared according to the current BRAF alteration classification; cancer type specificity of coexisting alterations of RAS or RAS regulatory genes was also evaluated. MAIN OUTCOMES AND MEASURES: Primary outcome measurement is enrichment of RAS (KRAS, NRAS and HRAS) alterations in BRAF variant cancers. Secondary outcome measurement is enrichment of RAS regulatory gene (NF1, PTPN11, and CBL) in BRAF variant cancers. RESULTS: A total of 2745 cancer samples from 2708 patients (female/male ratio: 1.0) tested by Mayo Clinic Genomics Laboratory and 119 538 patients (female/male ratio: 1.1) from GENIE and cBioPortal database were included in the study. In 119 538 nonredundant cancer samples, class 1 BRAF alterations and BRAF fusions were found to be mutually exclusive to alterations of RAS or RAS regulatory genes (odds ratio range 0.03-0.13 and 0.03-0.73 respectively), confirming their RAS independency. Both class 2 and class 3 BRAF alterations show variable and overlapping levels of enriched RAS alterations (odds ratio range: 0.03-5.9 and 0.63-2.52 respectively), suggesting heterogeneity in RAS dependency and a need to revisit BRAF alteration classification. For RAS-dependent BRAF alterations, the coexisting alterations also involve RAS regulatory genes by enrichment analysis (for example, S467L shows an odds ratio of 8.26 for NF1, 9.87 for PTPN11, and 15.23 for CBL) and occur in a variety of cancer types with some coalterations showing cancer type specificity (for example, HRAS variations account for 46.7% of all coexisting RAS alterations in BRAF variant bladder cancers, but 0% in non-small cell lung cancers). Variant-level assessment shows that BRAF alterations involving the same codon may differ in RAS dependency. In addition, RAS dependency of previously unclassified BRAF alterations could be assessed. CONCLUSIONS AND RELEVANCE: Current BRAF alteration classification based on in vitro assays does not accurately predict RAS dependency in vivo for non-V600 BRAF alterations. RAS-dependent BRAF variant cancers with different mechanisms of RAS activation suggest the need for different treatment strategies.",JAMA network open,2021-01-04,Yiqing Zhao; Hanzhong Yu; Cris M Ida; Kevin C Halling; Benjamin R Kipp; Katherine Geiersbach; Kandelaria M Rumilla; Sounak Gupta; Ming-Tseh Lin; Gang Zheng
10.1200/JCO.20.02220,PMID:33507822,NF106: A Neurofibromatosis Clinical Trials Consortium Phase II Trial of the MEK Inhibitor Mirdametinib (PD-0325901) in Adolescents and Adults With NF1-Related Plexiform Neurofibromas.,"PURPOSE: Patients with neurofibromatosis type 1 (NF1) frequently develop plexiform neurofibromas (PNs), which can cause significant morbidity. We performed a phase II trial of the MAPK/ERK kinase inhibitor, mirdametinib (PD-0325901), in patients with NF1 and inoperable PNs. The primary objective was response rate based on volumetric magnetic resonance imaging analysis. METHODS: Inclusion criteria included age ≥ 16 years and a PN that was either progressive or causing significant morbidity. First-dose pharmacokinetics were performed. Patients completed patient-reported outcome measures. Patients received mirdametinib by mouth twice a day at 2 mg/m RESULTS: Nineteen patients were enrolled, and all 19 received mirdametinib. The median age was 24 years (range, 16-39 years); the median baseline tumor volume was 363.8 mL (range, 3.9-5,161 mL). Eight of the 19 patients (42%) achieved a partial response of the target PN by course 12, and 10 (53%) had stable disease. One patient (5%) developed progressive disease at course 8. Significant and durable decreases were observed in pain ratings. CONCLUSION: To our knowledge, this analysis represents the first characterization of the activity and pharmacokinetics of mirdametinib in patients with NF1 and PNs and is the first published response study for MAPK/ERK kinase inhibitors in adults with NF1 and PNs. Mirdametinib given at 2 mg/m",Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2021-03-01,Brian D Weiss; Pamela L Wolters; Scott R Plotkin; Brigitte C Widemann; James H Tonsgard; Jaishri Blakeley; Jeffrey C Allen; Elizabeth Schorry; Bruce Korf; Nathan J Robison; Stewart Goldman; Alexander A Vinks; Chie Emoto; Tsuyoshi Fukuda; Coretta T Robinson; Gary Cutter; Lloyd Edwards; Eva Dombi; Nancy Ratner; Roger Packer; Michael J Fisher
10.3389/fpsyt.2020.585700,PMID:33519543,Autism Spectrum Disorder Symptom Profile Across the RASopathies.,"Dysregulation of the Ras MAPK signaling pathway is implicated in the pathogenesis of autism spectrum disorder (ASD). The RASopathies, a group of disorders caused by mutations of the Ras/MAPK pathway genes, share many overlapping clinical features. Studies suggest a high prevalence of ASD in the RASopathies, but detailed characterization of the ASD profile is lacking. The aim of this study was to compare the ASD symptom profile of three distinct RASopathies associated with both gain-of-function and loss-of-function mutations: neurofibromatosis type 1 (NF1), Noonan syndrome (NS), and cardiofaciocutaneous syndrome (CFC). Participants were drawn from existing databases if they had a diagnosis of a RASopathy, met the criteria for ASD, and were able to communicate verbally. We compared the phenotypic profile of NF1 + ASD (",Frontiers in psychiatry,2020,Marie-Maude Geoffray; Bruno Falissard; Jonathan Green; Browyn Kerr; D Gareth Evans; Susan Huson; Emma Burkitt-Wright; Shruti Garg
