toolName,toolType,_pmid,_doi,_publicationTitle,_year,_confidence,_usageType,nf_specific,completeness_score,priority,strainNomenclature,animalModelGeneticDisorder,animalModelOfManifestation,targetAntigen,hostOrganism,clonality,organ,cellLineGeneticDisorder,cellLineManifestation,cellLineCategory,insertName,vectorType,vectorBackbone,promoter,softwareName,softwareType,softwareVersion,sourceRepository,modelType,derivationSource,cellTypes,organoidType,modelSystemType,patientDiagnosis,hostStrain,tumorType,assessmentName,assessmentType,targetPopulation,diseaseSpecific,numberOfItems,_context,filter_reason
Nuclear Pore Complex Proteins,antibodies,PMID:38907342,10.1186/s40478-024-01821-z,"snRNA-seq of human cutaneous neurofibromas before and after selumetinib treatment implicates role of altered Schwann cell states, inter-cellular signaling, and extracellular matrix in treatment response.",,0.9,Experimental Usage,False,0.33,Low,,,,Nuclear Pore Complex Proteins,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Nuclei were then stained with 1–1.5ug (depending on pellet size) of TotalSeq™ anti-Nuclear Pore Complex Proteins Hashtag Antibody's (B0451, B0452, B0453, or B0457)",Antibody target not in NF pathway/tumor biology gene list: Nuclear Pore Complex Proteins
Nuclear Pore Complex Proteins,antibodies,PMID:38907342,10.1186/s40478-024-01821-z,"snRNA-seq of human cutaneous neurofibromas before and after selumetinib treatment implicates role of altered Schwann cell states, inter-cellular signaling, and extracellular matrix in treatment response.",,0.9,Experimental Usage,False,0.33,Low,,,,Nuclear Pore Complex Proteins,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Nuclei were then stained with 1–1.5ug (depending on pellet size) of TotalSeq™ anti-Nuclear Pore Complex Proteins Hashtag Antibody's (B0451, B0452, B0453, or B0457)",Antibody target not in NF pathway/tumor biology gene list: Nuclear Pore Complex Proteins
CD11b,antibodies,PMID:38907342,10.1186/s40478-024-01821-z,"snRNA-seq of human cutaneous neurofibromas before and after selumetinib treatment implicates role of altered Schwann cell states, inter-cellular signaling, and extracellular matrix in treatment response.",,0.95,Experimental Usage,False,0.33,Low,,,,CD11b,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,CD11b at 1:100 dilution (abcam Cat # ab52478) for myeloid cells,Antibody target not in NF pathway/tumor biology gene list: CD11b
SOX10,antibodies,PMID:38907342,10.1186/s40478-024-01821-z,"snRNA-seq of human cutaneous neurofibromas before and after selumetinib treatment implicates role of altered Schwann cell states, inter-cellular signaling, and extracellular matrix in treatment response.",,0.95,Experimental Usage,False,0.33,Low,,,,SOX10,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,SOX10 at 1:500 dilution (abcam Cat # ab155279) for Schwann cells,Antibody target not in NF pathway/tumor biology gene list: SOX10
Rabbit IgG,antibodies,PMID:38907342,10.1186/s40478-024-01821-z,"snRNA-seq of human cutaneous neurofibromas before and after selumetinib treatment implicates role of altered Schwann cell states, inter-cellular signaling, and extracellular matrix in treatment response.",,0.85,Experimental Usage,False,0.67,Low,,,,Rabbit IgG,Unknown,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,"treated with secondary antibody Goat anti-Rabbit, Alexa Fluor™ 488 1:2000",Secondary antibody (not an NF-specific research tool)
Rabbit IgG,antibodies,PMID:38907342,10.1186/s40478-024-01821-z,"snRNA-seq of human cutaneous neurofibromas before and after selumetinib treatment implicates role of altered Schwann cell states, inter-cellular signaling, and extracellular matrix in treatment response.",,0.85,Experimental Usage,False,0.67,Low,,,,Rabbit IgG,Unknown,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,"Goat anti-Rabbit, Alexa Fluor™ 594 1:2000 for 1 h at room temperature",Secondary antibody (not an NF-specific research tool)
HER1,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.9,Experimental Usage,False,0.67,Low,,,,HER1,Rabbit,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"rabbit anti-human HER1 (Abcam, ab52894)",Antibody target not in NF pathway/tumor biology gene list: HER1
HER2,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.9,Experimental Usage,False,0.67,Low,,,,HER2,Rabbit,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"rabbit anti-human HER2 (ZSGB-BIO, ZA-0023)",Antibody target not in NF pathway/tumor biology gene list: HER2
VEGFR2,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.9,Experimental Usage,False,0.67,Low,,,,VEGFR2,Rabbit,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"rabbit anti-human VEGFR2 (CST, 9698S)",Antibody target not in NF pathway/tumor biology gene list: VEGFR2
B7H3,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.9,Experimental Usage,False,0.67,Low,,,,B7H3,Rabbit,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"rabbit anti-human B7H3 (CST, #14058)",Antibody target not in NF pathway/tumor biology gene list: B7H3
CD171,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.9,Experimental Usage,False,0.67,Low,,,,CD171,Rabbit,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"rabbit anti-human CD171 (Abcam, ab208155)",Antibody target not in NF pathway/tumor biology gene list: CD171
EGFRvIII,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.9,Experimental Usage,False,0.67,Low,,,,EGFRvIII,Rabbit,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"rabbit anti-human EGFRvIII (ZSGB-BIO, ZA-0643)",Antibody target not in NF pathway/tumor biology gene list: EGFRvIII
TGFβ1,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.9,Experimental Usage,False,0.67,Low,,,,TGFβ1,Rabbit,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"rabbit anti-human TGFβ1 (Abcam, ab215715)",Antibody target not in NF pathway/tumor biology gene list: TGFβ1
PDL1,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.9,Experimental Usage,False,0.67,Low,,,,PDL1,Rabbit,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"rabbit anti-human PDL1 (Genetex, GTX104763)",Antibody target not in NF pathway/tumor biology gene list: PDL1
S100,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.9,Experimental Usage,False,0.67,Low,,,,S100,Rabbit,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"rabbit anti-human S100 (ZSGB-BIO, ZA-0225)",Antibody target not in NF pathway/tumor biology gene list: S100
S100β,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.9,Experimental Usage,False,0.33,Low,,,,S100β,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"S100β- Alexa Fluor 647 (Abcam, ab196175)",Antibody target not in NF pathway/tumor biology gene list: S100β
HER1,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.85,Experimental Usage,False,0.33,Low,,,,HER1,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"HER1-PE (352904), CD4-PE (317410), CD8a-APC (301014)",Antibody target not in NF pathway/tumor biology gene list: HER1
CD4,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.85,Experimental Usage,False,0.33,Low,,,,CD4,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"HER1-PE (352904), CD4-PE (317410), CD8a-APC (301014)",Antibody target not in NF pathway/tumor biology gene list: CD4
CD8a,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.85,Experimental Usage,False,0.33,Low,,,,CD8a,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"CD4-PE (317410), CD8a-APC (301014), CD45RO-PE (304206)",Antibody target not in NF pathway/tumor biology gene list: CD8a
CD45RO,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.85,Experimental Usage,False,0.33,Low,,,,CD45RO,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"CD8a-APC (301014), CD45RO-PE (304206), and CCR7-Percp (353242)",Antibody target not in NF pathway/tumor biology gene list: CD45RO
CCR7,antibodies,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.85,Experimental Usage,False,0.33,Low,,,,CCR7,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"CD45RO-PE (304206), and CCR7-Percp (353242) (all from BioLegend)",Antibody target not in NF pathway/tumor biology gene list: CCR7
β-actin,antibodies,PMID:34011935,10.1038/s41419-021-03802-9,Metalloproteinase 1 downregulation in neurofibromatosis 1: Therapeutic potential of antimalarial hydroxychloroquine and chloroquine.,,0.9,Experimental Usage,False,0.67,Low,,,,β-actin,Unknown,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,Antibodies used in western blotting targeting β-actin (#13E5),Generic reporter/tag/housekeeping antibody: β-actin
MEK1/2,antibodies,PMID:34011935,10.1038/s41419-021-03802-9,Metalloproteinase 1 downregulation in neurofibromatosis 1: Therapeutic potential of antimalarial hydroxychloroquine and chloroquine.,,0.85,Experimental Usage,False,0.33,Low,,,,MEK1/2,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Antibodies used in western blotting targeting...MEK1/2,Antibody target not in NF pathway/tumor biology gene list: MEK1/2
phospho-MEK1/2,antibodies,PMID:34011935,10.1038/s41419-021-03802-9,Metalloproteinase 1 downregulation in neurofibromatosis 1: Therapeutic potential of antimalarial hydroxychloroquine and chloroquine.,,0.9,Experimental Usage,False,0.67,Low,,,,phospho-MEK1/2,Unknown,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,phospho-MEK1/2 (#41G9),Antibody target not in NF pathway/tumor biology gene list: phospho-MEK1/2
phospho-ERK,antibodies,PMID:34011935,10.1038/s41419-021-03802-9,Metalloproteinase 1 downregulation in neurofibromatosis 1: Therapeutic potential of antimalarial hydroxychloroquine and chloroquine.,,0.9,Experimental Usage,False,0.67,Low,,,,phospho-ERK,Unknown,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,phospho-ERK (#D13.14.4E),Antibody target not in NF pathway/tumor biology gene list: phospho-ERK
MMP1,antibodies,PMID:34011935,10.1038/s41419-021-03802-9,Metalloproteinase 1 downregulation in neurofibromatosis 1: Therapeutic potential of antimalarial hydroxychloroquine and chloroquine.,,0.9,Experimental Usage,False,0.67,Low,,,,MMP1,Unknown,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,MMP1 (#E9S9N),Antibody target not in NF pathway/tumor biology gene list: MMP1
AHR,antibodies,PMID:34011935,10.1038/s41419-021-03802-9,Metalloproteinase 1 downregulation in neurofibromatosis 1: Therapeutic potential of antimalarial hydroxychloroquine and chloroquine.,,0.9,Experimental Usage,False,0.33,Low,,,,AHR,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Antibody for Aryl hydrocarbon receptor (AHR, #H-211)",Antibody target not in NF pathway/tumor biology gene list: AHR
collagen I,antibodies,PMID:34011935,10.1038/s41419-021-03802-9,Metalloproteinase 1 downregulation in neurofibromatosis 1: Therapeutic potential of antimalarial hydroxychloroquine and chloroquine.,,0.9,Experimental Usage,False,0.67,Low,,,,collagen I,Unknown,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,collagen I (#EPR7785),Antibody target not in NF pathway/tumor biology gene list: collagen I
S100 protein,antibodies,PMID:34011935,10.1038/s41419-021-03802-9,Metalloproteinase 1 downregulation in neurofibromatosis 1: Therapeutic potential of antimalarial hydroxychloroquine and chloroquine.,,0.85,Experimental Usage,False,0.33,Low,,,,S100 protein,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,anti-S100 protein antibody (Nichirei Biosciences Inc.),Antibody target not in NF pathway/tumor biology gene list: S100 protein
CD31,antibodies,PMID:41444363,10.1038/s41598-025-32031-9,Focused ultrasound-mediated drug delivery of bevacizumab in treating NF2-related schwannomatosis in an animal model.,,0.9,Experimental Usage,False,0.33,Low,,,,CD31,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Anti-CD31 (Abcam, ab7388) for vasculature",Antibody target not in NF pathway/tumor biology gene list: CD31
S100B,antibodies,PMID:41444363,10.1038/s41598-025-32031-9,Focused ultrasound-mediated drug delivery of bevacizumab in treating NF2-related schwannomatosis in an animal model.,,0.9,Experimental Usage,False,0.33,Low,,,,S100B,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Anti-S100B (Atlas Antibodies, HPA015768-100UL) antibodies for S100B protein",Antibody target not in NF pathway/tumor biology gene list: S100B
rabbit IgG,antibodies,PMID:41036607,10.1158/1535-7163.MCT-24-1053,Pharmacogenomic Synthetic Lethal Screens Reveal Hidden Vulnerabilities and New Therapeutic Approaches for Treatment of NF1-Associated Tumors.,,0.85,Experimental Usage,False,0.67,Low,,,,rabbit IgG,,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,"anti-rabbit IgG, and horseradish peroxidase–linked secondary 7074 (RRID: AB_2099233)",Secondary antibody (not an NF-specific research tool)
β-actin,antibodies,PMID:41036607,10.1158/1535-7163.MCT-24-1053,Pharmacogenomic Synthetic Lethal Screens Reveal Hidden Vulnerabilities and New Therapeutic Approaches for Treatment of NF1-Associated Tumors.,,0.9,Experimental Usage,False,1.00,Medium,,,,β-actin,Rabbit,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,β-Actin was probed as a loading control using β-actin (13E5) rabbit mAb #4970 (RRID: AB_2223172),Generic reporter/tag/housekeeping antibody: β-actin
S100,antibodies,PMID:30055648,10.1186/s13104-018-3630-0,Testing ATRA and MEK inhibitor PD0325901 effectiveness in a nude mouse model for human MPNST xenografts.,,0.9,Experimental Usage,False,1.00,Medium,,,,S100,Mouse,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,"antibodies against S100 (monoclonal, mouse, 10 μg/mL, Ventana S100-4C4.9) to demonstrate human Schwann cell origin",Antibody target not in NF pathway/tumor biology gene list: S100
Ki67,antibodies,PMID:30055648,10.1186/s13104-018-3630-0,Testing ATRA and MEK inhibitor PD0325901 effectiveness in a nude mouse model for human MPNST xenografts.,,0.9,Experimental Usage,False,1.00,Medium,,,,Ki67,Mouse,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,"anti-Ki67 (monoclonal, mouse, 0.4 μg/mL, Ventana Ki-67-30.9) to evaluate proliferation fraction",Antibody target not in NF pathway/tumor biology gene list: Ki67
CD34,antibodies,PMID:30055648,10.1186/s13104-018-3630-0,Testing ATRA and MEK inhibitor PD0325901 effectiveness in a nude mouse model for human MPNST xenografts.,,0.9,Experimental Usage,False,1.00,Medium,,,,CD34,Mouse,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,"anti-CD34 (monoclonal, mouse, 0.8 μg/mL, Ventana QBEnd/10) to demonstrate vessel and stem cell formation",Antibody target not in NF pathway/tumor biology gene list: CD34
p53,antibodies,PMID:30055648,10.1186/s13104-018-3630-0,Testing ATRA and MEK inhibitor PD0325901 effectiveness in a nude mouse model for human MPNST xenografts.,,0.9,Experimental Usage,False,1.00,Medium,,,,p53,Mouse,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,"anti-p53 (monoclonal, mouse, Ventana Bp-53-11), anti-p16 (monoclonal, mouse, 1 μg/mL, Ventana 725-4713)",Antibody target not in NF pathway/tumor biology gene list: p53
p16,antibodies,PMID:30055648,10.1186/s13104-018-3630-0,Testing ATRA and MEK inhibitor PD0325901 effectiveness in a nude mouse model for human MPNST xenografts.,,0.9,Experimental Usage,False,1.00,Medium,,,,p16,Mouse,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,"anti-p16 (monoclonal, mouse, 1 μg/mL, Ventana 725-4713), anti-vimentin (vimentin, monoclonal, mouse, 2.5 μg/mL, Ventana V9",Antibody target not in NF pathway/tumor biology gene list: p16
vimentin,antibodies,PMID:30055648,10.1186/s13104-018-3630-0,Testing ATRA and MEK inhibitor PD0325901 effectiveness in a nude mouse model for human MPNST xenografts.,,0.9,Experimental Usage,False,1.00,Medium,,,,vimentin,Mouse,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,"anti-vimentin (vimentin, monoclonal, mouse, 2.5 μg/mL, Ventana V9 and anti-actin (monoclonal, mouse, 0.02 μg/mL, Cell Margue 1A4)",Antibody target not in NF pathway/tumor biology gene list: vimentin
actin,antibodies,PMID:30055648,10.1186/s13104-018-3630-0,Testing ATRA and MEK inhibitor PD0325901 effectiveness in a nude mouse model for human MPNST xenografts.,,0.9,Experimental Usage,False,1.00,Medium,,,,actin,Mouse,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,"anti-actin (monoclonal, mouse, 0.02 μg/mL, Cell Margue 1A4). Staining was visualized using the ultraView™ Universal Alkaline Phosphatase Red Detection Kit",Generic reporter/tag/housekeeping antibody: actin
Ki67 antigen,antibodies,PMID:18451155,10.1158/0008-5472.CAN-07-6867,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,,0.95,Experimental Usage,False,0.33,Low,,,,Ki67 antigen,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Antibodies used for immunohistochemistry were against Ki67 antigen (Novocastra), glial fibrillary acidic protein (Gfap; Sigma)",Publication title lacks NF-specific terms: Pten haploinsufficiency accelerates formation of high-grade astrocytomas.
glial fibrillary acidic protein,antibodies,PMID:18451155,10.1158/0008-5472.CAN-07-6867,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,,0.95,Experimental Usage,False,0.33,Low,,,,glial fibrillary acidic protein,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Antibodies used for immunohistochemistry were against Ki67 antigen (Novocastra), glial fibrillary acidic protein (Gfap; Sigma), Pten (NeoMarkers)",Publication title lacks NF-specific terms: Pten haploinsufficiency accelerates formation of high-grade astrocytomas.
Pten,antibodies,PMID:18451155,10.1158/0008-5472.CAN-07-6867,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,,0.95,Experimental Usage,False,0.33,Low,,,,Pten,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"glial fibrillary acidic protein (Gfap; Sigma), Pten (NeoMarkers), nestin (BD Bioscience)",Publication title lacks NF-specific terms: Pten haploinsufficiency accelerates formation of high-grade astrocytomas.
nestin,antibodies,PMID:18451155,10.1158/0008-5472.CAN-07-6867,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,,0.95,Experimental Usage,False,0.33,Low,,,,nestin,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Pten (NeoMarkers), nestin (BD Bioscience), phosphorylated Akt (p-Akt; Cell Signaling)",Publication title lacks NF-specific terms: Pten haploinsufficiency accelerates formation of high-grade astrocytomas.
phosphorylated Akt,antibodies,PMID:18451155,10.1158/0008-5472.CAN-07-6867,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,,0.95,Experimental Usage,False,0.33,Low,,,,phosphorylated Akt,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"nestin (BD Bioscience), phosphorylated Akt (p-Akt; Cell Signaling), BrdUrd (DAKO)",Publication title lacks NF-specific terms: Pten haploinsufficiency accelerates formation of high-grade astrocytomas.
BrdUrd,antibodies,PMID:18451155,10.1158/0008-5472.CAN-07-6867,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,,0.95,Experimental Usage,False,0.33,Low,,,,BrdUrd,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphorylated Akt (p-Akt; Cell Signaling), BrdUrd (DAKO), Olig2 (Chemicon)",Publication title lacks NF-specific terms: Pten haploinsufficiency accelerates formation of high-grade astrocytomas.
Olig2,antibodies,PMID:18451155,10.1158/0008-5472.CAN-07-6867,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,,0.95,Experimental Usage,False,0.33,Low,,,,Olig2,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"BrdUrd (DAKO), Olig2 (Chemicon), or doublecortin (Santa Cruz)",Publication title lacks NF-specific terms: Pten haploinsufficiency accelerates formation of high-grade astrocytomas.
doublecortin,antibodies,PMID:18451155,10.1158/0008-5472.CAN-07-6867,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,,0.95,Experimental Usage,False,0.33,Low,,,,doublecortin,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Olig2 (Chemicon), or doublecortin (Santa Cruz). We used microwave antigen retrieval for all antibodies, except for doublecortin antibody",Publication title lacks NF-specific terms: Pten haploinsufficiency accelerates formation of high-grade astrocytomas.
β3-tubulin,antibodies,PMID:18451155,10.1158/0008-5472.CAN-07-6867,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,,0.95,Experimental Usage,False,0.33,Low,,,,β3-tubulin,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Antibodies used were against β3-tubulin (TuJ1; Covance), Gfap (Dako), CNPase (Chemicon), or nestin",Publication title lacks NF-specific terms: Pten haploinsufficiency accelerates formation of high-grade astrocytomas.
Gfap,antibodies,PMID:18451155,10.1158/0008-5472.CAN-07-6867,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,,0.95,Experimental Usage,False,0.33,Low,,,,Gfap,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"β3-tubulin (TuJ1; Covance), Gfap (Dako), CNPase (Chemicon), or nestin",Publication title lacks NF-specific terms: Pten haploinsufficiency accelerates formation of high-grade astrocytomas.
CNPase,antibodies,PMID:18451155,10.1158/0008-5472.CAN-07-6867,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,,0.95,Experimental Usage,False,0.33,Low,,,,CNPase,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Gfap (Dako), CNPase (Chemicon), or nestin",Publication title lacks NF-specific terms: Pten haploinsufficiency accelerates formation of high-grade astrocytomas.
Pten,antibodies,PMID:18451155,10.1158/0008-5472.CAN-07-6867,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,,0.95,Experimental Usage,False,0.33,Low,,,,Pten,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Antibodies used were against Pten (Cell Signaling), p-Akt, Akt, or β-actin (Sigma)",Publication title lacks NF-specific terms: Pten haploinsufficiency accelerates formation of high-grade astrocytomas.
β-actin,antibodies,PMID:18451155,10.1158/0008-5472.CAN-07-6867,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,,0.95,Experimental Usage,False,0.33,Low,,,,β-actin,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Antibodies used were against Pten (Cell Signaling), p-Akt, Akt, or β-actin (Sigma)",Publication title lacks NF-specific terms: Pten haploinsufficiency accelerates formation of high-grade astrocytomas.
S100A10,antibodies,PMID:26883872,10.1016/j.jprot.2016.02.004,3-D imaging mass spectrometry of protein distributions in mouse Neurofibromatosis 1 (NF1)-associated optic glioma.,,0.85,Experimental Usage,False,0.67,Low,,,,S100A10,,Polyclonal,,,,,,,,,,,,,,,,,,,,,,,,,,optic nerve sections were incubated with polyclonal anti-S100A10 antibodies (1:1000; R&D Systems),Antibody target not in NF pathway/tumor biology gene list: S100A10
secondary antibody,antibodies,PMID:26883872,10.1016/j.jprot.2016.02.004,3-D imaging mass spectrometry of protein distributions in mouse Neurofibromatosis 1 (NF1)-associated optic glioma.,,0.8,Experimental Usage,False,0.67,Low,,,,secondary antibody,,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,"followed by horseradish peroxidase-conjugated secondary antibodies (Vector Laboratories, Burlingame, CA, USA)",Secondary antibody (not an NF-specific research tool)
Cdk1,antibodies,PMID:35511749,10.1158/1535-7163.MCT-21-0947,A High-Throughput Screening Platform Identifies Novel Combination Treatments for Malignant Peripheral Nerve Sheath Tumors.,,0.9,Experimental Usage,False,1.00,Medium,,,,Cdk1,Rabbit,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,"Primary antibodies against Cdk1 (77055S), phospho-Cdk1 Tyr15 (9111T)... were purchased from Cell Signaling Technology",Antibody target not in NF pathway/tumor biology gene list: Cdk1
phospho-Cdk1 Tyr15,antibodies,PMID:35511749,10.1158/1535-7163.MCT-21-0947,A High-Throughput Screening Platform Identifies Novel Combination Treatments for Malignant Peripheral Nerve Sheath Tumors.,,0.9,Experimental Usage,False,1.00,Medium,,,,phospho-Cdk1 Tyr15,Rabbit,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,"Primary antibodies against Cdk1 (77055S), phospho-Cdk1 Tyr15 (9111T)... were purchased from Cell Signaling Technology",Antibody target not in NF pathway/tumor biology gene list: phospho-Cdk1 Tyr15
Caspase-3,antibodies,PMID:35511749,10.1158/1535-7163.MCT-21-0947,A High-Throughput Screening Platform Identifies Novel Combination Treatments for Malignant Peripheral Nerve Sheath Tumors.,,0.9,Experimental Usage,False,1.00,Medium,,,,Caspase-3,Rabbit,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,"Primary antibodies against... Caspase-3 (9662S), Cleaved Caspase-3 (9661S)... were purchased from Cell Signaling Technology",Antibody target not in NF pathway/tumor biology gene list: Caspase-3
Cleaved Caspase-3,antibodies,PMID:35511749,10.1158/1535-7163.MCT-21-0947,A High-Throughput Screening Platform Identifies Novel Combination Treatments for Malignant Peripheral Nerve Sheath Tumors.,,0.9,Experimental Usage,False,1.00,Medium,,,,Cleaved Caspase-3,Rabbit,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,"Primary antibodies against... Caspase-3 (9662S), Cleaved Caspase-3 (9661S)... were purchased from Cell Signaling Technology",Antibody target not in NF pathway/tumor biology gene list: Cleaved Caspase-3
Histone H3,antibodies,PMID:35511749,10.1158/1535-7163.MCT-21-0947,A High-Throughput Screening Platform Identifies Novel Combination Treatments for Malignant Peripheral Nerve Sheath Tumors.,,0.9,Experimental Usage,False,1.00,Medium,,,,Histone H3,Rabbit,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,"Primary antibodies against... Histone H3 (9715S), Acetyl-Histone H3 Lys18 (9675S)... were purchased from Cell Signaling Technology",Generic reporter/tag/housekeeping antibody: histone h3
Acetyl-Histone H3 Lys18,antibodies,PMID:35511749,10.1158/1535-7163.MCT-21-0947,A High-Throughput Screening Platform Identifies Novel Combination Treatments for Malignant Peripheral Nerve Sheath Tumors.,,0.9,Experimental Usage,False,1.00,Medium,,,,Acetyl-Histone H3 Lys18,Rabbit,Monoclonal,,,,,,,,,,,,,,,,,,,,,,,,,,"Primary antibodies against... Histone H3 (9715S), Acetyl-Histone H3 Lys18 (9675S)... were purchased from Cell Signaling Technology",Antibody target not in NF pathway/tumor biology gene list: Acetyl-Histone H3 Lys18
