pmid,doi,title,journal,year,pmc_id,publication_types
PMID:39145205,10.7717/peerj-cs.2173,An optimization algorithm for maximum quasi-clique problem based on information feedback model.,PeerJ. Computer science,2024,PMC11323172,Journal Article
PMID:39133944,10.3171/CASE24241,Rapid postradiation malignant transformation of a pilocytic astrocytoma in an adult with neurofibromatosis type 1: illustrative case.,Journal of neurosurgery. Case lessons,2024,PMC11323849,Journal Article
PMID:39130315,10.1007/s12070-024-04591-1,Malignant Nerve Sheath Tumour - A Case Report.,Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India,2024,PMC11306915,Journal Article
PMID:39130290,10.1007/s12070-024-04595-x,A rare Encounter with Pediatric Malignant Peripheral Nerve Sheath Tumor in Nasal Sinuses and Orbit.,Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India,2024,PMC11306660,Journal Article
PMID:39130231,10.1007/s12070-024-04594-y,A Case Report with Current Updates and Immunohistochemistry Features of Intraosseous Schwannoma.,Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India,2024,PMC11306658,Journal Article
PMID:39129390,10.1002/1878-0261.13704,Inhibition of autophagy as a novel treatment for neurofibromatosis type 1 tumors.,Molecular oncology,2025,PMC11887668,Journal Article
PMID:39124644,10.3390/jcm13154377,Minimally Invasive Plasma Device Management of Multiple Benign Skin Cancers Associated with Rare Genodermatoses-Case Series and Review of the Therapeutic Methods.,Journal of clinical medicine,2024,PMC11312861,Journal Article
PMID:39122888,10.1038/s44321-024-00102-5,Comprehensive molecular characterization of collecting duct carcinoma for therapeutic vulnerability.,EMBO molecular medicine,2024,PMC11393068,Journal Article
PMID:39110684,10.1371/journal.pone.0308207,Electrical stimulation of Schwann cells on electrospun hyaluronic acid carbon nanotube fibers.,PloS one,2024,PMC11305570,Journal Article
PMID:39105060,10.3389/fneur.2024.1410101,Analysis of visual evoked potentials in patients with neurofibromatosis type 1: new concepts.,Frontiers in neurology,2024,PMC11298334,Journal Article
PMID:39102750,10.3171/CASE24102,Concurrent multiple cerebral cavernous malformations and cauda equina paraganglioma: illustrative case.,Journal of neurosurgery. Case lessons,2024,PMC11301588,Journal Article
PMID:39100928,10.1016/j.isci.2024.110294,NF1-dependent disruption of the blood-nerve-barrier is improved by blockade of P2RY14.,iScience,2024,PMC11294707,Journal Article
PMID:39093127,10.1158/1078-0432.CCR-24-0797,Early Detection of Malignant and Premalignant Peripheral Nerve Tumors Using Cell-Free DNA Fragmentomics.,Clinical cancer research : an official journal of the American Association for Cancer Research,2024,PMC11443212,Journal Article
PMID:39083549,10.1371/journal.pone.0305121,Synergistic effect of PAK and Hippo pathway inhibitor combination in NF2-deficient Schwannoma.,PloS one,2024,PMC11290668,Journal Article
PMID:39074389,10.3171/CASE24242,Functional precision medicine assay for recurrent meningioma: a proof of principle. Illustrative case.,Journal of neurosurgery. Case lessons,2024,PMC11301594,Journal Article
PMID:39069534,10.1038/s41698-024-00631-9,Pathologic complete response to KEYNOTE522 and HER2-directed therapy for synchronous TNBC and HER2+ breast cancer.,NPJ precision oncology,2024,PMC11284213,Journal Article
PMID:39064911,10.3390/molecules29143333,Novel TiO,"Molecules (Basel, Switzerland)",2024,PMC11279453,Journal Article
PMID:39061237,10.3390/cancers16142599,Collection of Rare Peripheral Nerve Tumors-Insights from the German Registry.,Cancers,2024,PMC11275079,Journal Article
PMID:39061138,10.3390/cancers16142498,A Fibroblast-Derived Secretome Stimulates the Growth and Invasiveness of 3D Plexiform Neurofibroma Spheroids.,Cancers,2024,PMC11274591,Journal Article
PMID:39058094,10.1158/2159-8290.CD-23-1529,MARK2/MARK3 Kinases Are Catalytic Codependencies of YAP/TAZ in Human Cancer.,Cancer discovery,2024,PMC11609825,Journal Article
PMID:39054516,10.1186/s13000-024-01525-x,Revealing the clinical impact of MTOR and ARID2 gene mutations on MALT lymphoma of the alimentary canal using targeted sequencing.,Diagnostic pathology,2024,PMC11270975,Journal Article
PMID:39033203,10.1038/s41698-024-00644-4,Ancestry-associated co-alteration landscape of KRAS and EGFR-altered non-squamous NSCLC.,NPJ precision oncology,2024,PMC11271287,Journal Article
PMID:39023130,10.1093/neuonc/noae136,Maternal obesogenic diet operates at the tumor cell of origin to increase incidence and decrease latency of neurofibromatosis type 1 optic pathway glioma.,Neuro-oncology,2024,PMC11630557,Journal Article
PMID:39022906,10.1002/ajmg.c.32095,Expanding the phenotype of neurofibromatosis type 1 microdeletion syndrome.,"American journal of medical genetics. Part C, Seminars in medical genetics",2024,PMC12064146,Journal Article
PMID:39022466,10.7759/cureus.62455,"Investigating the Prevalence, Gender Predilection, and Inheritance Patterns of Genodermatoses: A Tertiary Hospital Study.",Cureus,2024,PMC11251906,Journal Article
PMID:39010263,10.1097/MAO.0000000000004252,Factors Affecting Speech Discrimination After Vestibular Schwannoma Resection.,"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",2024,PMC11324384,Journal Article
PMID:39006526,10.1093/nop/npae001,"Platform trial design for neurofibromatosis type 1, NF2-related schwannomatosis and non-NF2-related schwannomatosis: A potential model for rare diseases.",Neuro-oncology practice,2024,PMC11241353,Journal Article
PMID:39006253,10.62347/TPCM6776,Neurofibromin 2 modulates Mammalian Ste2-like kinases1/2 and large tumor suppressor gene1 expression in A549 lung cancer cell line.,American journal of translational research,2024,PMC11236635,Journal Article
PMID:39006074,10.7150/jca.84832,Genomic Alterations Correlated to Trastuzumab Resistance and Clinical Outcomes in HER2+/HR- Breast Cancers of Patients Living in Northwestern China.,Journal of Cancer,2024,PMC11242333,Journal Article
PMID:39005234,10.1002/advs.202402578,TRIM65/NF2/YAP1 Signaling Coordinately Orchestrates Metabolic and Immune Advantages in Hepatocellular Carcinoma.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2024,PMC11425264,Journal Article
PMID:39002525,10.1016/j.schres.2024.07.002,Disentangling negative and positive symptoms in schizophrenia and autism spectrum disorder.,Schizophrenia research,2024,PMC11384336,Journal Article
PMID:39001563,10.1002/ijc.35087,Expanding the landscape of oncogenic drivers and treatment options in acral and mucosal melanomas by targeted genomic profiling.,International journal of cancer,2024,PMC11570350,Journal Article
PMID:39001468,10.3390/cancers16132406,Genotype-Phenotype Correlation in Neurofibromatosis Type 1: Evidence for a Mild Phenotype Associated with Splicing Variants Leading to In-Frame Skipping of ,Cancers,2024,PMC11240586,Journal Article
PMID:38997291,10.1038/s41467-024-50262-8,Loss of tumor suppressors promotes inflammatory tumor microenvironment and enhances LAG3+T cell mediated immune suppression.,Nature communications,2024,PMC11245525,Journal Article
PMID:38990917,10.1371/journal.pone.0305548,Optical coherence tomography of the macular ganglion cell layer in children with neurofibromatosis type 1 is a useful tool in the assessment for optic pathway gliomas.,PloS one,2024,PMC11239031,Journal Article
PMID:38990653,10.1172/jci.insight.176802,Spatial transcriptomics implicates impaired BMP signaling in NF1 fracture pseudarthrosis in murine and patient tissues.,JCI insight,2024,PMC11343587,Journal Article
PMID:38981629,10.17712/nsj.2024.3.20230003,The genetic spectrum of ,"Neurosciences (Riyadh, Saudi Arabia)",2024,PMC11305348,Journal Article
PMID:38976158,10.1245/s10434-024-15793-w,Demographics and Clinical Decision Making in Patients with Germline Moderate Penetrance Non-BRCA Mutations in Breast Cancer Related Genes.,Annals of surgical oncology,2024,PMC11452274,Journal Article
PMID:38951698,10.1038/s41416-024-02770-z,Cancer risk in individuals with polydactyly: a Swedish population-based cohort study.,British journal of cancer,2024,PMC11333495,Journal Article
PMID:38946881,10.1093/noajnl/vdae083,Survival after resection of malignant peripheral nerve sheath tumors: Introducing and validating a novel type-specific prognostic model.,Neuro-oncology advances,2024,PMC11212065,Journal Article
PMID:38945076,10.1016/j.redox.2024.103249,Selective nitration of Hsp90 acts as a metabolic switch promoting tumor cell proliferation.,Redox biology,2024,PMC11261529,Journal Article
PMID:38940356,10.4274/tjo.galenos.2024.48017,Multimodal Imaging Characteristics and Diagnostic Value of Choroidal Nodules in Patients with Neurofibromatosis Type 1.,Turkish journal of ophthalmology,2024,PMC11589307,Journal Article
PMID:38931352,10.3390/ph17060685,PET Imaging of Neurofibromatosis Type 1 with a Fluorine-18 Labeled Tryptophan Radiotracer.,"Pharmaceuticals (Basel, Switzerland)",2024,PMC11206478,Journal Article
PMID:38929451,10.3390/ani14121833,Liver Histopathological and Immunohistochemical Evaluation from ,Animals : an open access journal from MDPI,2024,PMC11201016,Journal Article
PMID:38923593,10.1111/1346-8138.17276,The impact of cutaneous neurofibromas on quality of life and mental health in neurofibromatosis type 1.,The Journal of dermatology,2024,PMC11483957,Journal Article
PMID:38923198,10.1002/cam4.7417,Adaption of neurosurgical resection patterns for pediatric low-grade glioma spanning two decades-Report from the German LGG-studies 1996-2018.,Cancer medicine,2024,PMC11194681,Journal Article
PMID:38921472,10.3390/metabo14060337,Metabolic Insight into Glioma Heterogeneity: Mapping Whole Exome Sequencing to In Vivo Imaging with Stereotactic Localization and Deep Learning.,Metabolites,2024,PMC11205750,Journal Article
PMID:38918262,10.1007/s00381-024-06498-2,Surgical options of chiasmatic hypothalamic glioma-a relevant part of therapy in an interdisciplinary approach for tumor control.,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,2024,PMC11511755,Journal Article
PMID:38913608,10.1371/journal.pone.0304778,Dietary intervention rescues a bone porosity phenotype in a murine model of Neurofibromatosis Type 1 (NF1).,PloS one,2024,PMC11195983,Journal Article
PMID:38904222,10.1158/1535-7163.MCT-23-0870,The SOS1 Inhibitor MRTX0902 Blocks KRAS Activation and Demonstrates Antitumor Activity in Cancers Dependent on KRAS Nucleotide Loading.,Molecular cancer therapeutics,2024,PMC11443210,Journal Article
PMID:38903495,10.3389/fimmu.2024.1383125,Clinical and genetic characteristics of ,Frontiers in immunology,2024,PMC11188379,Journal Article
PMID:38900740,10.1371/journal.pone.0301040,Revisiting the NPcis mouse model: A new tool to model plexiform neurofibroma.,PloS one,2024,PMC11189233,Journal Article
PMID:38895905,10.1002/cam4.7384,Comprehensive genomic profiling and therapeutic implications for Taiwanese patients with treatment-naïve breast cancer.,Cancer medicine,2024,PMC11187859,Journal Article
PMID:38895115,10.3389/fimmu.2024.1375413,Enhanced IL-12 transgene expression improves oncolytic viroimmunotherapy.,Frontiers in immunology,2024,PMC11184146,Journal Article
PMID:38893158,10.3390/cancers16112039,Preoperative Classification of Peripheral Nerve Sheath Tumors on MRI Using Radiomics.,Cancers,2024,PMC11170987,Journal Article
PMID:38893140,10.3390/cancers16112020,Management and Clinical Outcomes of Breast Cancer in Women Diagnosed with Hereditary Cancer Syndromes in a Clinic-Based Sample from Colombia.,Cancers,2024,PMC11171067,Journal Article
PMID:38893082,10.3390/cancers16111961,Integrating Ataxia Evaluation into Tumor-Induced Hearing Loss Model to Comprehensively Study NF2-Related Schwannomatosis.,Cancers,2024,PMC11171041,Journal Article
PMID:38893021,10.3390/jcm13113311,Magnetic Resonance Imaging of Central Nervous System Manifestations of Type 1 Neurofibromatosis: Pictorial Review and Retrospective Study of Their Frequency in a Cohort of Patients.,Journal of clinical medicine,2024,PMC11172829,Journal Article
PMID:38893011,10.3390/jcm13113300,First Clinical Experience with a New Device for the Removal of Cochlear Schwannomas.,Journal of clinical medicine,2024,PMC11172928,Journal Article
PMID:38886664,10.1186/s12864-024-10464-2,Selection signatures of wool color in Gangba sheep revealed by genome-wide SNP discovery.,BMC genomics,2024,PMC11181613,Journal Article
PMID:38879607,10.1038/s41467-024-49298-7,G6PD and ACSL3 are synthetic lethal partners of NF2 in Schwann cells.,Nature communications,2024,PMC11180199,Journal Article
PMID:38877653,10.1002/ctm2.1723,Integrative genomic analyses of European intrahepatic cholangiocarcinoma: Novel ROS1 fusion gene and PBX1 as prognostic marker.,Clinical and translational medicine,2024,PMC11178519,Journal Article
PMID:38874808,10.1007/s00439-024-02683-0,"Genetic/epigenetic effects in NF1 microdeletion syndrome: beyond the haploinsufficiency, looking at the contribution of not deleted genes.",Human genetics,2024,PMC11186880,Journal Article
PMID:38864448,10.1080/21622965.2024.2365383,"Social challenges, autism spectrum disorder, and attention deficit/hyperactivity disorder in youth with neurofibromatosis type I.",Applied neuropsychology. Child,2026,PMC11635006,Journal Article
PMID:38859614,10.1177/13591053241255053,"Beliefs, screening attitudes and breast cancer awareness of young women with neurofibromatosis type 1: A reflexive thematic analysis.",Journal of health psychology,2025,PMC11894900,Journal Article
PMID:38858602,10.1038/s44318-024-00146-w,K128 ubiquitination constrains RAS activity by expanding its binding interface with GAP proteins.,The EMBO journal,2024,PMC11251195,Journal Article
PMID:38841328,10.1159/000536162,First Co-Occurrence of Griscelli Syndrome Type 2 and Neurofibromatosis Type 1.,Molecular syndromology,2024,PMC11149965,Journal Article
PMID:38832931,10.1158/0008-5472.CAN-23-2785,The DNA Methyltransferase Inhibitor 5-Aza-4'-thio-2'-Deoxycytidine Induces C>G Transversions and Acute Lymphoid Leukemia Development.,Cancer research,2024,PMC11293964,Journal Article
PMID:38817895,10.3389/fonc.2024.1340184,Analysis of tumor microenvironment composition in vestibular schwannomas: insights into NF2-associated and sporadic variations and their clinical correlations.,Frontiers in oncology,2024,PMC11137168,Journal Article
PMID:38817584,10.1039/d4sc01221f,Redox regulation of Ni hydroxides with controllable phase composition towards biomass-derived polyol electro-refinery.,Chemical science,2024,PMC11134318,Journal Article
PMID:38816530,10.1038/s41593-024-01654-y,Nf1 mutation disrupts activity-dependent oligodendroglial plasticity and motor learning in mice.,Nature neuroscience,2024,PMC11303248,Journal Article
PMID:38799507,10.3389/fcell.2024.1375441,,Frontiers in cell and developmental biology,2024,PMC11116614,Journal Article
PMID:38799426,10.3389/fimmu.2024.1378048,Plasma proteomics analysis of Chinese HIV-1 infected individuals focusing on the immune and inflammatory factors afford insight into the viral control mechanism.,Frontiers in immunology,2024,PMC11116669,Journal Article
PMID:38785480,10.3390/curroncol31050199,Incidence of Ophthalmological Complications in NF-1 Patients Treated with MEK Inhibitors.,"Current oncology (Toronto, Ont.)",2024,PMC11119759,Journal Article
PMID:38774799,10.1016/j.jaccas.2024.102261,Myocardial Infarction and Coronary Anomalies in a 25-Year-Old Neurofibromatosis Type 1 Patient.,JACC. Case reports,2024,PMC11103597,Journal Article
PMID:38769783,10.1111/os.14096,Surgical Treatment Outcomes of Anterior-Only Correction and Reconstruction for Severe Cervical Kyphotic Deformity with Neurofibromatosis-1: A Retrospective Study with a 5-Year Follow-Up.,Orthopaedic surgery,2024,PMC11216833,Journal Article
PMID:38755192,10.1038/s41439-024-00279-8,"NF1 with 47,XYY mosaicism diagnosed by mandibular neurofibromas.",Human genome variation,2024,PMC11099053,Journal Article
PMID:38753003,10.1007/s00381-024-06393-w,Outcomes of surgical revascularization for pediatric moyamoya disease and syndrome.,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,2024,PMC11269374,Journal Article
PMID:38746898,10.1021/acsmedchemlett.4c00029,"Design, Synthesis, and Bioevaluation of Transcriptional Enhanced Assocciated Domain (TEAD) PROTAC Degraders.",ACS medicinal chemistry letters,2024,PMC11089546,Journal Article
PMID:38746526,10.25259/JNRP_510_2023,The profile of epilepsy and its characteristics in children with neurocutaneous syndromes.,Journal of neurosciences in rural practice,2024,PMC11090591,Journal Article
PMID:38744290,10.1016/j.crmeth.2024.100772,A platform for rapid patient-derived cutaneous neurofibroma organoid establishment and screening.,Cell reports methods,2024,PMC11133839,Journal Article
PMID:38739347,10.1186/s40792-024-01915-9,Malignant perineurioma derived from the retroperitoneum with an aggressive clinical course: a case report.,Surgical case reports,2024,PMC11091025,Journal Article
PMID:38730662,10.3390/cancers16091707,Utility of Clinical Next Generation Sequencing Tests in KIT/PDGFRA/SDH Wild-Type Gastrointestinal Stromal Tumors.,Cancers,2024,PMC11083047,Journal Article
PMID:38727854,10.1007/s12105-024-01645-2,Columnar Cell Thyroid Carcinoma: A Heterogeneous Entity Demonstrating Overlap Between Papillary Thyroid Carcinoma and Follicular Neoplasms.,Head and neck pathology,2024,PMC11087446,Journal Article
PMID:38726048,10.1016/j.jpra.2024.02.007,Free Fibula Flap for Congenital Pseudarthrosis of the Tibia: Indications and Challenges.,JPRAS open,2024,PMC11078598,Journal Article
PMID:38721358,10.1093/noajnl/vdae036,Effect of food on selumetinib pharmacokinetics and gastrointestinal tolerability in adolescents with neurofibromatosis type 1-related plexiform neurofibromas.,Neuro-oncology advances,2024,PMC11078060,Journal Article
PMID:38721077,10.31662/jmaj.2023-0161,Real-world Settings for the Surgical Treatment of Neurofibroma in Patients with Neurofibromatosis Type 1.,JMA journal,2024,PMC11074565,Journal Article
PMID:38716347,10.17879/freeneuropathology-2024-5377,Malignant glioma in L-2-Hydroxyglutaric Aciduria: thorough molecular characterization of a case and literature review.,Free neuropathology,2024,PMC11075094,Journal Article
PMID:38714355,10.1158/1535-7163.MCT-23-0510,MEK Inhibition Enhances the Antitumor Effect of Radiotherapy in NF1-Deficient Glioblastoma.,Molecular cancer therapeutics,2024,PMC11374499,Journal Article
PMID:38711847,10.3389/fonc.2024.1398252,Health-related quality of life in patients with peripheral nerve tumors: results from the German multicentric Peripheral Nerve Tumor Registry.,Frontiers in oncology,2024,PMC11070577,Journal Article
PMID:38711096,10.1186/s41021-024-00306-8,Genome-wide somatic mutation analysis of sinonasal adenocarcinoma with and without wood dust exposure.,Genes and environment : the official journal of the Japanese Environmental Mutagen Society,2024,PMC11071320,Journal Article
PMID:38709287,10.1007/s00595-024-02838-6,Surgical resection of advanced intrathoracic tumors through a combination of the hemiclamshell and transmanubrial approaches.,Surgery today,2024,PMC11341681,Journal Article
PMID:38685949,10.3389/fneur.2024.1284574,Early-life immune activation is a vulnerability factor for adult epileptogenesis in neurofibromatosis type 1 in male mice.,Frontiers in neurology,2024,PMC11056566,Journal Article
PMID:38679635,10.1007/s12672-024-00997-z,Overexpression of SYNGAP1 suppresses the proliferation of rectal adenocarcinoma via Wnt/β-Catenin signaling pathway.,Discover oncology,2024,PMC11056356,Journal Article
PMID:38673061,10.3390/jpm14040434,Variation Analysis in Premenopausal and Postmenopausal Breast Cancer Cases.,Journal of personalized medicine,2024,PMC11051104,Journal Article
PMID:38672622,10.3390/cancers16081540,BUB1 Promotes Gemcitabine Resistance in Pancreatic Cancer Cells by Inhibiting Ferroptosis.,Cancers,2024,PMC11048608,Journal Article
PMID:38672561,10.3390/cancers16081479,Bevacizumab Treatment for Patients with ,Cancers,2024,PMC11047890,Journal Article
PMID:38669390,10.1097/MD.0000000000037966,The immune response-related genomic alterations in patients with malignant melanoma.,Medicine,2024,PMC11049764,Journal Article
PMID:38655100,10.1210/jendso/bvae059,Not Only ,Journal of the Endocrine Society,2024,PMC11036102,Journal Article
PMID:38651727,10.1097/XCS.0000000000001098,Genomic and Transcriptomic Landscape of RET Wild-Type Medullary Thyroid Cancer and Potential Use of Mitogen-Activated Protein Kinase-Targeted Therapy.,Journal of the American College of Surgeons,2024,PMC11168784,Journal Article
PMID:38650741,10.1117/12.3005434,Investigating Causal Genetic Effects on Overall Survival of Glioblastoma Patients using Normalizing Flow and Structural Causal Model.,Proceedings of SPIE--the International Society for Optical Engineering,2024,PMC11034818,Journal Article
PMID:38644819,10.1016/j.heliyon.2024.e29263,DRI Triton SS-OCT applied to detect choroidal nodules in paediatric patients affected by NF1.,Heliyon,2024,PMC11033099,Journal Article
PMID:38642130,10.1007/s10238-024-01342-y,Genomic characterization and detection of potential therapeutic targets for peritoneal mesothelioma in current practice.,Clinical and experimental medicine,2024,PMC11032274,Journal Article
PMID:38641672,10.1186/s13046-024-03036-5,The histone lysine acetyltransferase KAT2B inhibits cholangiocarcinoma growth: evidence for interaction with SP1 to regulate NF2-YAP signaling.,Journal of experimental & clinical cancer research : CR,2024,PMC11027350,Journal Article
PMID:38635940,10.1200/GO.23.00417,"Uptake of Risk-Reducing Measures, Cascade Testing, and Related Challenges Among Carriers of Breast Cancer-Associated Germline Pathogenic Variants in Mexico.",JCO global oncology,2024,PMC11191870,Journal Article
PMID:38623309,10.1155/2024/5558566,Supplementation of Heat-Treated ,Journal of nutrition and metabolism,2024,PMC11018375,Journal Article
PMID:38621478,10.1016/j.bpsc.2024.04.003,Influences of RASopathies on Neuroanatomical Variation in Children.,Biological psychiatry. Cognitive neuroscience and neuroimaging,2024,PMC11381177,Journal Article
PMID:38611661,10.3390/diagnostics14070748,Susceptibility-Weighted MRI for Predicting NF-2 Mutations and S100 Protein Expression in Meningiomas.,"Diagnostics (Basel, Switzerland)",2024,PMC11012050,Journal Article
PMID:38611025,10.3390/cancers16071347,Targeted DNA Sequencing of Cutaneous Melanoma Identifies Prognostic and Predictive Alterations.,Cancers,2024,PMC11011039,Journal Article
PMID:38605427,10.1210/clinem/dgae241,"Opposing Effects of Cannabidiol in Patient-derived Neuroendocrine Tumor, Pheochromocytoma/Paraganglioma Primary Cultures.",The Journal of clinical endocrinology and metabolism,2024,PMC12102718,Journal Article
PMID:38603731,10.1371/journal.pone.0302017,Raman difference spectroscopy and U-Net convolutional neural network for molecular analysis of cutaneous neurofibroma.,PloS one,2024,PMC11008861,Journal Article
PMID:38603649,10.1200/PO.23.00597,,JCO precision oncology,2024,PMC11161258,Journal Article
PMID:38600934,10.4317/jced.61363,"Dental Developmental Stages and Decayed, Missing, and Restored Teeth in Neurofibromatosis Type 1-affected Children and Adolescents.",Journal of clinical and experimental dentistry,2024,PMC11003283,Journal Article
PMID:38596211,10.3389/fgene.2024.1331278,Mutation analysis and clinical profile of South African patients with Neurofibromatosis type 1 (NF1) phenotype.,Frontiers in genetics,2024,PMC11002079,Journal Article
PMID:38595983,10.1016/j.omton.2024.200783,Conditionally replicative adenovirus as a therapy for malignant peripheral nerve sheath tumors.,Molecular therapy. Oncology,2024,PMC10959710,Journal Article
PMID:38591341,10.1161/JAHA.123.034048,Genetic Testing for Supravalvar Aortic Stenosis: What to Do When It Is Not Williams Syndrome.,Journal of the American Heart Association,2024,PMC11262489,Journal Article
PMID:38584901,10.12890/2024_004432,Uncommon Thigh Mass in Neurofibromatosis Type 1: Unveiling Aggressive Epithelioid Sarcoma.,European journal of case reports in internal medicine,2024,PMC10997394,Journal Article
PMID:38565986,10.1186/s12711-024-00880-z,Whole-genome resequencing of Chinese indigenous sheep provides insight into the genetic basis underlying climate adaptation.,"Genetics, selection, evolution : GSE",2024,PMC10988870,Journal Article
PMID:38565978,10.1186/s12014-024-09478-5,Simultaneous targeted and discovery-driven clinical proteotyping using hybrid-PRM/DIA.,Clinical proteomics,2024,PMC10988896,Journal Article
PMID:38543265,10.3390/pharmaceutics16030371,Silver Nanoparticles Selectively Treat Neurofibromatosis Type 1-Associated Plexiform Neurofibroma Cells at Doses That Do Not Affect Patient-Matched Schwann Cells.,Pharmaceutics,2024,PMC10975375,Journal Article
PMID:38542259,10.3390/ijms25063285,Undifferentiated Carcinoma with Osteoclast-like Giant Cells of the Pancreas: Molecular Genetic Analysis of 13 Cases.,International journal of molecular sciences,2024,PMC10970188,Journal Article
PMID:38542016,10.3390/jcm13061792,Dermatologic Effects of Selumetinib in Pediatric Patients with Neurofibromatosis Type 1: Clinical Challenges and Therapeutic Management.,Journal of clinical medicine,2024,PMC10971430,Journal Article
PMID:38533410,10.2147/JMDH.S454921,Epidemiology and Outcomes of Neurofibromatosis Type 1 (NF-1): Multicenter Tertiary Experience.,Journal of multidisciplinary healthcare,2024,PMC10964784,Journal Article
PMID:38521834,10.1038/s41598-024-57401-7,The impact of mental health on health-related quality of life in patients with NF2-related Schwannomatosis.,Scientific reports,2024,PMC10960868,Journal Article
PMID:38513082,10.1182/bloodadvances.2024012565,Therapy-related chronic myelomonocytic leukemia does not have the high-risk features of a therapy-related neoplasm.,Blood advances,2024,PMC11170163,Journal Article
PMID:38511139,10.3389/fonc.2024.1338022,Looking beyond year 1 in the molecular era of pediatric brain tumor diagnosis: confirmatory testing of germline variants found on tumor sequencing.,Frontiers in oncology,2024,PMC10952109,Journal Article
PMID:38505587,10.3389/fonc.2024.1336577,Clinical and genomic characterization of chemoradiation-resistant HPV-positive oropharyngeal squamous cell carcinoma.,Frontiers in oncology,2024,PMC10949886,Journal Article
PMID:38504181,10.1186/s12864-024-10181-w,RNA-binding proteins potentially regulate the alternative splicing of apoptotic genes during knee osteoarthritis progression.,BMC genomics,2024,PMC10949708,Journal Article
PMID:38502231,10.1172/JCI176748,STING activation reprograms the microenvironment to sensitize NF1-related malignant peripheral nerve sheath tumors for immunotherapy.,The Journal of clinical investigation,2024,PMC11093615,Journal Article
PMID:38499890,10.1186/s41687-024-00714-y,"The PlexiQoL, a patient-reported outcome measure on quality of life in neurofibromatosis type 1-associated plexiform neurofibroma: translation, cultural adaptation and validation into the Dutch language for the Netherlands.",Journal of patient-reported outcomes,2024,PMC10948685,Journal Article
PMID:38493052,10.1016/j.abd.2023.08.011,Association of sociodemographic and clinical factors with the quality of life of Brazilian individuals with Neurofibromatosis type 1: a cross-sectional study.,Anais brasileiros de dermatologia,2024,PMC11220916,Journal Article
PMID:38485198,10.3174/ajnr.A8166,High-Grade Astrocytoma with Piloid Features: A Dual Institutional Review of Imaging Findings of a Novel Entity.,AJNR. American journal of neuroradiology,2024,PMC11288576,Journal Article
PMID:38482423,10.21037/tcr-23-1179,,Translational cancer research,2024,PMC10928596,Journal Article
PMID:38481600,10.1210/jendso/bvae038,Patient Sex and Origin Influence Distribution of Driver Genes and Clinical Presentation of Paraganglioma.,Journal of the Endocrine Society,2024,PMC10928507,Journal Article
PMID:38481529,10.3389/fcell.2024.1359561,Generation of heterozygous and homozygous NF1 lines from human-induced pluripotent stem cells using CRISPR/Cas9 to investigate bone defects associated with neurofibromatosis type 1.,Frontiers in cell and developmental biology,2024,PMC10935092,Journal Article
PMID:38476930,10.1093/noajnl/vdae024,"Preclinical evaluation of the third-generation, bi-steric mechanistic target of rapamycin complex 1-selective inhibitor RMC-6272 in ",Neuro-oncology advances,2024,PMC10929445,Journal Article
PMID:38475852,10.1186/s13023-024-03093-1,Pilot study of the effectiveness of a telehealth group for improving peer relationships for adolescents with neurofibromatosis type 1.,Orphanet journal of rare diseases,2024,PMC10935956,Journal Article
PMID:38473416,10.3390/cancers16051059,"Dynamic Survival Risk Prognostic Model and Genomic Landscape for Atypical Teratoid/Rhabdoid Tumors: A Population-Based, Real-World Study.",Cancers,2024,PMC10930634,Journal Article
PMID:38470751,10.3390/nano14050420,Steering of Vortices by Magnetic Field Tilting in Open Superconductor Nanotubes.,"Nanomaterials (Basel, Switzerland)",2024,PMC10935186,Journal Article
PMID:38468867,10.1093/noajnl/vdae021,"Discrimination of benign, atypical, and malignant peripheral nerve sheath tumors in neurofibromatosis type 1 using diffusion-weighted MRI.",Neuro-oncology advances,2024,PMC10926940,Journal Article
PMID:38458648,10.26508/lsa.202302229,C5aR plus MEK inhibition durably targets the tumor milieu and reveals tumor cell phagocytosis.,Life science alliance,2024,PMC10923703,Journal Article
PMID:38456063,10.3389/fncel.2024.1328963,Transcranial Direct Current Stimulation in neurogenetic syndromes: new treatment perspectives for Down syndrome?,Frontiers in cellular neuroscience,2024,PMC10917937,Journal Article
PMID:38454755,10.31616/asj.2023.0294,Functional and Radiological Outcomes of All-Posterior Surgical Correction of Dystrophic Curves in Patients with Neurofibromatosis Type 1.,Asian spine journal,2024,PMC11065515,Journal Article
PMID:38448973,10.1186/s12920-024-01843-5,Correlation between large rearrangements and patient phenotypes in NF1 deletion syndrome: an update and review.,BMC medical genomics,2024,PMC10919053,Journal Article
PMID:38448539,10.1038/s41598-024-55254-8,Novel biosensor for high-throughput detection of progesterone receptor-interacting endocrine disruptors.,Scientific reports,2024,PMC10917811,Journal Article
