_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType,assessmentName
PMID:28193237,10.1186/s12955-017-0607-y,Evaluation of quality of life in adults with neurofibromatosis 1 (NF1) using the Impact of NF1 on Quality Of Life (INF1-QOL) questionnaire.,,"The EuroQol (EQ 5D) contains a global health score and covers Mobility, Self-care, Usual Activities, Pain/Discomfort, Anxiety and Depression",0.9,Accept,Experimental Usage,EuroQol (EQ 5D)
PMID:28193237,10.1186/s12955-017-0607-y,Evaluation of quality of life in adults with neurofibromatosis 1 (NF1) using the Impact of NF1 on Quality Of Life (INF1-QOL) questionnaire.,,Disease severity was determined using the Riccardi NF severity grade classification 1 to 4,0.85,Accept,Experimental Usage,Riccardi NF severity grade classification
PMID:28193237,10.1186/s12955-017-0607-y,Evaluation of quality of life in adults with neurofibromatosis 1 (NF1) using the Impact of NF1 on Quality Of Life (INF1-QOL) questionnaire.,,Adults (18 years or older) who fulfilled the diagnostic criteria for NF1 (NIH Consensus Development Conference 1987),0.8,Accept,Experimental Usage,NIH Consensus Development Conference diagnostic criteria
PMID:27021207,10.1002/ajmg.a.37623,Acceptance and commitment therapy in youth with neurofibromatosis type 1 (NF1) and chronic pain and their parents: A pilot study of feasibility and preliminary efficacy.,,"...response of three or higher on a pain interference item (1–5 scales) from a self-report or parent-report QOL measure (Impact of Pediatric Illness Scale [ Wolters et al., 2010 ])...",0.85,Accept,Experimental Usage,Impact of Pediatric Illness Scale
PMID:27021207,10.1002/ajmg.a.37623,Acceptance and commitment therapy in youth with neurofibromatosis type 1 (NF1) and chronic pain and their parents: A pilot study of feasibility and preliminary efficacy.,,...two scales developed by the authors for the current study assessed pain management techniques used by the patients (Pain Management Inventory) and treatment adherence...,0.8,Accept,Development,Pain Management Inventory
PMID:27021207,10.1002/ajmg.a.37623,Acceptance and commitment therapy in youth with neurofibromatosis type 1 (NF1) and chronic pain and their parents: A pilot study of feasibility and preliminary efficacy.,,...pain management techniques used by the patients (Pain Management Inventory) and treatment adherence and study satisfaction (Post-Treatment Questionnaire)...,0.8,Accept,Development,Post-Treatment Questionnaire
PMID:40437318,10.1186/s41747-025-00594-x,Quantitative MRI of dorsal root ganglion alterations in neurofibromatosis type 1 patients with or without pain.,,"All participants underwent imaging of the lumbosacral plexus at the same 3-T scanner (PRISMAfit, Siemens Healthineers, Erlangen, Germany)",0.85,Accept,Experimental Usage,PRISMAfit
PMID:40437318,10.1186/s41747-025-00594-x,Quantitative MRI of dorsal root ganglion alterations in neurofibromatosis type 1 patients with or without pain.,,The inclusion criteria for the pain group were an average pain score of ≥ 3 on the visual analogue 0–10 scale over the previous 10 weeks,0.85,Accept,Experimental Usage,visual analogue scale
PMID:27458360,10.3389/fnhum.2016.00334,COMT Val(158)Met Polymorphism Is Associated with Verbal Working Memory in Neurofibromatosis Type 1.,,"All participants completed the age-appropriate digit-span subtest of the Wechsler Adult and Children Intelligence Scales (Wechsler, 2002, 2004)",0.85,Accept,Experimental Usage,Wechsler Adult and Children Intelligence Scales
PMID:27458360,10.3389/fnhum.2016.00334,COMT Val(158)Met Polymorphism Is Associated with Verbal Working Memory in Neurofibromatosis Type 1.,,"All participants completed...the Corsi block-tapping task (Kessels et al., 2000, 2008). Both are span tasks where the examiner presents a growing sequence",0.8,Accept,Experimental Usage,Corsi block-tapping task
PMID:27458360,10.3389/fnhum.2016.00334,COMT Val(158)Met Polymorphism Is Associated with Verbal Working Memory in Neurofibromatosis Type 1.,,General intellectual functioning was assessed by the third version of the Brazilian Wechsler Intelligence Scales (WAIS-III or WISC-III for adults and children,0.9,Accept,Experimental Usage,WAIS-III
PMID:27458360,10.3389/fnhum.2016.00334,COMT Val(158)Met Polymorphism Is Associated with Verbal Working Memory in Neurofibromatosis Type 1.,,General intellectual functioning was assessed by the third version of the Brazilian Wechsler Intelligence Scales (WAIS-III or WISC-III for adults and children,0.9,Accept,Experimental Usage,WISC-III
PMID:27458360,10.3389/fnhum.2016.00334,COMT Val(158)Met Polymorphism Is Associated with Verbal Working Memory in Neurofibromatosis Type 1.,,"We adopted the arithmetic subtest from the School Achievement Test (Stein, 1994), as an objective measure of school performance",0.85,Accept,Experimental Usage,School Achievement Test
PMID:27458360,10.3389/fnhum.2016.00334,COMT Val(158)Met Polymorphism Is Associated with Verbal Working Memory in Neurofibromatosis Type 1.,,Socioeconomic status (SES) was assessed using the Brazilian Criterion for Economic Classification (CCEB) according to the criteria established,0.8,Accept,Experimental Usage,Brazilian Criterion for Economic Classification (CCEB)
PMID:18632543,10.1001/jama.300.3.287,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,,Primary outcomes were scores on a Rey complex figure test (delayed recall)...performance on the Rey complex figure test (CFT) (delayed recall; assessing nonverbal long-term memory),0.9,Accept,Experimental Usage,Rey complex figure test
PMID:18632543,10.1001/jama.300.3.287,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,,"cancellation test (speed), prism adaptation...performance on the cancellation test (speed; assessing attention)",0.85,Accept,Experimental Usage,cancellation test
PMID:18632543,10.1001/jama.300.3.287,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,,performance on a prism adaptation task (measurement of adaptation of the angle of hand movements in response to prism glass distortion),0.8,Accept,Experimental Usage,prism adaptation task
PMID:18632543,10.1001/jama.300.3.287,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,,"Secondary outcome measures were scores on the cancellation test (standard deviation), Stroop color word test, block design",0.9,Accept,Experimental Usage,Stroop color word test
PMID:18632543,10.1001/jama.300.3.287,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,,"IQ below 48, which was assessed at baseline using the Wechsler Intelligence Scale for Children–Revised, Dutch version",0.95,Accept,Experimental Usage,Wechsler Intelligence Scale for Children–Revised
PMID:18632543,10.1001/jama.300.3.287,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,,the block design test and object assembly test of the Wechsler Intelligence Scale for Children–Revised,0.85,Accept,Experimental Usage,block design test
PMID:18632543,10.1001/jama.300.3.287,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,,the block design test and object assembly test of the Wechsler Intelligence Scale for Children–Revised,0.85,Accept,Experimental Usage,object assembly test
PMID:18632543,10.1001/jama.300.3.287,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,,"the Rey CFT (copy), the Beery developmental test of visual-motor integration, and the judgment of line orientation task",0.9,Accept,Experimental Usage,Beery developmental test of visual-motor integration
PMID:18632543,10.1001/jama.300.3.287,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,,"the Beery developmental test of visual-motor integration, and the judgment of line orientation task",0.85,Accept,Experimental Usage,judgment of line orientation task
PMID:38990917,10.1371/journal.pone.0305548,Optical coherence tomography of the macular ganglion cell layer in children with neurofibromatosis type 1 is a useful tool in the assessment for optic pathway gliomas.,,"Optical coherence tomography images were obtained using Cirrus HD-OCT device (Cirrus; Carl Zeiss Meditec, Dublin, CA, USA). Cirrus uses ganglion cell + inner plexiform layer...",0.9,Accept,Experimental Usage,"Cirrus HD-OCT device (Cirrus; Carl Zeiss Meditec, Dublin, CA, USA)"
PMID:38990917,10.1371/journal.pone.0305548,Optical coherence tomography of the macular ganglion cell layer in children with neurofibromatosis type 1 is a useful tool in the assessment for optic pathway gliomas.,,In the youngest group VA was assessed with Teller acuity cards or Cardiff acuity cards while older children were tested with Lea or KM cards,0.85,Accept,Experimental Usage,Teller acuity cards
PMID:38990917,10.1371/journal.pone.0305548,Optical coherence tomography of the macular ganglion cell layer in children with neurofibromatosis type 1 is a useful tool in the assessment for optic pathway gliomas.,,In the youngest group VA was assessed with Teller acuity cards or Cardiff acuity cards while older children were tested with Lea or KM cards,0.85,Accept,Experimental Usage,Cardiff acuity cards
PMID:38990917,10.1371/journal.pone.0305548,Optical coherence tomography of the macular ganglion cell layer in children with neurofibromatosis type 1 is a useful tool in the assessment for optic pathway gliomas.,,while older children were tested with Lea or KM (Konstantin Moutakis) cards. Visual acuity was reported as logMAR units,0.85,Accept,Experimental Usage,Lea cards
PMID:38990917,10.1371/journal.pone.0305548,Optical coherence tomography of the macular ganglion cell layer in children with neurofibromatosis type 1 is a useful tool in the assessment for optic pathway gliomas.,,while older children were tested with Lea or KM (Konstantin Moutakis) cards. Visual acuity was reported as logMAR units,0.85,Accept,Experimental Usage,KM (Konstantin Moutakis) cards
PMID:38990917,10.1371/journal.pone.0305548,Optical coherence tomography of the macular ganglion cell layer in children with neurofibromatosis type 1 is a useful tool in the assessment for optic pathway gliomas.,,Visual fields were assessed with the Humphrey Field Analyzer perimetry as previously described. The VFI is a single number that summarizes each patient's visual field status,0.9,Accept,Experimental Usage,Humphrey Field Analyzer perimetry
PMID:38990917,10.1371/journal.pone.0305548,Optical coherence tomography of the macular ganglion cell layer in children with neurofibromatosis type 1 is a useful tool in the assessment for optic pathway gliomas.,,In children ≥4 years of age VA at initial visit was compared with World Health Organization Categories of Childhood VI scale for reference,0.8,Accept,Experimental Usage,World Health Organization Categories of Childhood VI scale
PMID:28029918,10.1056/NEJMoa1605943,Activity of Selumetinib in Neurofibromatosis Type 1-Related Plexiform Neurofibromas.,,Response to treatment was monitored by using volumetric magnetic resonance imaging analysis to measure the change in size of the plexiform neurofibroma,0.85,Accept,Experimental Usage,volumetric magnetic resonance imaging analysis
PMID:28029918,10.1056/NEJMoa1605943,Activity of Selumetinib in Neurofibromatosis Type 1-Related Plexiform Neurofibromas.,,"Adherence to the dosing schedule was assessed by administration of the Responsibility for Medication Questionnaire, by review of a patient diary",0.8,Accept,Experimental Usage,Responsibility for Medication Questionnaire
PMID:28029918,10.1056/NEJMoa1605943,Activity of Selumetinib in Neurofibromatosis Type 1-Related Plexiform Neurofibromas.,,"Adverse events were graded according to National Cancer Institute Common Terminology Criteria for Adverse Events, version 4.0",0.85,Accept,Experimental Usage,"National Cancer Institute Common Terminology Criteria for Adverse Events, version 4.0"
PMID:18636037,10.1097/MAO.0b013e31817f7398,The ErbB inhibitors trastuzumab and erlotinib inhibit growth of vestibular schwannoma xenografts in nude mice: a preliminary study.,,"Mice were removed from the barrier facility and imaged in a small animal MRI (Varian Unity/INOVA 4.7 Tesla scanner, Varian Inc., Palo Alto, CA).",0.8,Accept,Experimental Usage,Varian Unity/INOVA 4.7 Tesla scanner
PMID:18636037,10.1097/MAO.0b013e31817f7398,The ErbB inhibitors trastuzumab and erlotinib inhibit growth of vestibular schwannoma xenografts in nude mice: a preliminary study.,,"Digital images were captured on a Leica DMIRE2 epifluorescence microscope (Bannockburn, IL) equipped with a CCD camera and Leica FW4000 software.",0.8,Accept,Experimental Usage,Leica DMIRE2 epifluorescence microscope
PMID:40737523,10.2196/71728,Clinician Perspectives of a Magnetic Resonance Imaging-Based 3D Volumetric Analysis Tool for Neurofibromatosis Type 2-Related Schwannomatosis: Qualitative Pilot Study.,,A Likert scale questionnaire was used to survey clinicians' levels of agreement with 25 statements related to 2D and 3D tumor analyses,0.9,Accept,Experimental Usage,Likert scale questionnaire
PMID:35723774,10.1007/s10072-022-06203-8,A randomized controlled trial of remote microphone listening devices to treat auditory deficits in children with neurofibromatosis type 1.,,Speech perception ability in background noise was evaluated in device-active and inactive conditions using the CNC-word test.,0.85,Accept,Experimental Usage,CNC-word test
PMID:35723774,10.1007/s10072-022-06203-8,A randomized controlled trial of remote microphone listening devices to treat auditory deficits in children with neurofibromatosis type 1.,,Listening and communication ratings (LIFE-R Questionnaire) were obtained at baseline and at the end of each treatment phase.,0.9,Accept,Experimental Usage,LIFE-R Questionnaire
PMID:40529476,10.1016/j.xjidi.2025.100380,Using Durometers to Quantify Stiffness as an Outcome Measure for Cutaneous Neurofibroma in Neurofibromatosis Type 1.,,One was the Rex Gauge durometer (REX) produced by Rex Gauge LLC...We tested 2 different instruments for their ability to accurately and reproducibly measure cNF stiffness,0.95,Accept,Experimental Usage,Rex Gauge durometer
PMID:40529476,10.1016/j.xjidi.2025.100380,Using Durometers to Quantify Stiffness as an Outcome Measure for Cutaneous Neurofibroma in Neurofibromatosis Type 1.,,the other was the SkinFibroMeter (DEFLIN) made by Delfin Technologies...We tested 2 different instruments for their ability to accurately and reproducibly measure cNF stiffness,0.95,Accept,Experimental Usage,Delfin SkinFibroMeter
PMID:40529476,10.1016/j.xjidi.2025.100380,Using Durometers to Quantify Stiffness as an Outcome Measure for Cutaneous Neurofibroma in Neurofibromatosis Type 1.,,"Different models of the REX are available for varying hardness levels, with the Rex Gauge OO being specifically designed to measure the hardness of foams, gels, and animal tissue",0.9,Accept,Experimental Usage,Rex Gauge OO
PMID:39225289,10.1111/srt.70020,Comparing 3D imaging devices for the measurement of cutaneous neurofibromas in patients with Neurofibromatosis Type 1.,,"Images of up to eight cNFs from each participant were captured and analysed using each 3D imaging system: Vectra H1 (Canfield Scientific Inc, Fairfield, NJ, USA)",0.95,Accept,Experimental Usage,Vectra H1
PMID:39225289,10.1111/srt.70020,Comparing 3D imaging devices for the measurement of cutaneous neurofibromas in patients with Neurofibromatosis Type 1.,,"Images of up to eight cNFs from each participant were captured and analysed using each 3D imaging system: ...LifeViz Micro (QuantifiCare, Biot, France)",0.95,Accept,Experimental Usage,LifeViz Micro
PMID:39225289,10.1111/srt.70020,Comparing 3D imaging devices for the measurement of cutaneous neurofibromas in patients with Neurofibromatosis Type 1.,,"Images of up to eight cNFs from each participant were captured and analysed using each 3D imaging system: ...Cherry Imaging (Yokneam, Israel)",0.95,Accept,Experimental Usage,Cherry Imaging
PMID:25012216,10.1186/s40478-014-0082-1,A neuronal function of the tumor suppressor protein merlin.,,...the compound motor action potential (CMAP) – correlating with the number of functional axons – is an indicator for axonal damage...,0.85,Accept,Experimental Usage,compound motor action potential (CMAP)
PMID:25012216,10.1186/s40478-014-0082-1,A neuronal function of the tumor suppressor protein merlin.,,"...By measuring nerve properties as conduction velocity or potential amplitudes of the signal, it is possible to characterize the origin of peripheral nerve diseases...",0.8,Accept,Experimental Usage,nerve conduction velocity
PMID:25917366,10.1038/mp.2015.48,HCN channels are a novel therapeutic target for cognitive dysfunction in Neurofibromatosis type 1.,,"The water maze task was performed as previously described. Before performing the water maze task, the mice were handled for a week.",0.9,Accept,Experimental Usage,Morris water maze
PMID:25917366,10.1038/mp.2015.48,HCN channels are a novel therapeutic target for cognitive dysfunction in Neurofibromatosis type 1.,,"Motor learning was assessed with the accelerating rotarod (Ugo Basile, Comerio Varese, Italy) as previously described.",0.85,Accept,Experimental Usage,Rotarod
PMID:34049498,10.1186/s11689-021-09364-3,Early differences in auditory processing relate to Autism Spectrum Disorder traits in infants with Neurofibromatosis Type I.,,"We recorded EEG data with an EGI (Philips Neuro, Oregon, USA) 128-electrode Hydrocel Sensor Net, with the vertex electrode (approximate position of Cz in 10–20 co-ordinate system)",0.85,Accept,Experimental Usage,EGI 128-electrode Hydrocel Sensor Net
PMID:34049498,10.1186/s11689-021-09364-3,Early differences in auditory processing relate to Autism Spectrum Disorder traits in infants with Neurofibromatosis Type I.,,"The Mullen Scales of Early Learning (MSEL) is a standardised measure that assesses developmental ability across five domains: Gross Motor, Visual Reception, Fine Motor, Receptive Language and Expressive Language",0.9,Accept,Experimental Usage,Mullen Scales of Early Learning (MSEL)
PMID:34049498,10.1186/s11689-021-09364-3,Early differences in auditory processing relate to Autism Spectrum Disorder traits in infants with Neurofibromatosis Type I.,,The Autism Observation Score for Infants (AOSI) is a standardised research assessment that examines ASD traits in infants in the first two years of life,0.9,Accept,Experimental Usage,Autism Observation Score for Infants (AOSI)
PMID:34049498,10.1186/s11689-021-09364-3,Early differences in auditory processing relate to Autism Spectrum Disorder traits in infants with Neurofibromatosis Type I.,,The IBQ-R is a parent-report questionnaire consisting of 191 items and 14 scales that relate to different aspects of infant temperament,0.9,Accept,Experimental Usage,Infant Behaviour Questionnaire-Revised (IBQ-R)
PMID:34049498,10.1186/s11689-021-09364-3,Early differences in auditory processing relate to Autism Spectrum Disorder traits in infants with Neurofibromatosis Type I.,,Parents completed the MacArthur Bates Communicative Development Inventory (CDI) long form at a follow-up 14-month time point. The CDI measures early language abilities,0.9,Accept,Experimental Usage,MacArthur Bates Communicative Development Inventory (CDI)
PMID:34049498,10.1186/s11689-021-09364-3,Early differences in auditory processing relate to Autism Spectrum Disorder traits in infants with Neurofibromatosis Type I.,,All participants had their diagnosis confirmed via molecular testing of cord blood samples or clinical diagnosis based on NIH consensus criteria,0.8,Accept,Experimental Usage,NIH consensus criteria
PMID:25340526,10.1371/journal.pone.0107760,Nilotinib is more potent than imatinib for treating plexiform neurofibroma in vitro and in vivo.,,"Sonographic measurement was performed using a Vevo 2100 micro-imaging system (VisualSonics, Amsterdam, Netherlands), which is a high-frequency, high-resolution digital imaging platform",0.85,Accept,Experimental Usage,Vevo 2100 micro-imaging system
PMID:24619350,10.1007/s00415-014-7303-1,Longitudinal evaluation of quality of life in 288 patients with neurofibromatosis 2.,,The disease-focused NF2 impact on quality of life (NFTI-QOL) patient questionnaire was assessed as an outcome measure for treatment in a multi-centre study.,0.95,Accept,Experimental Usage,NFTI-QOL
PMID:28589254,10.1007/s00259-017-3733-1,Characterisation of malignant peripheral nerve sheath tumours in neurofibromatosis-1 using heterogeneity analysis of ,,"18F-FDG PET/CT scans were all acquired to the same protocol in the same institution on one of two scanners (Discovery VCT or DST, GE Healthcare, Chicago, IL, USA)",0.85,Accept,Experimental Usage,"Discovery VCT (GE Healthcare, Chicago, IL, USA)"
PMID:28589254,10.1007/s00259-017-3733-1,Characterisation of malignant peripheral nerve sheath tumours in neurofibromatosis-1 using heterogeneity analysis of ,,"18F-FDG PET/CT scans were all acquired to the same protocol in the same institution on one of two scanners (Discovery VCT or DST, GE Healthcare, Chicago, IL, USA)",0.85,Accept,Experimental Usage,"DST (GE Healthcare, Chicago, IL, USA)"
PMID:31053133,10.1186/s13023-019-1067-8,Burden of adult neurofibromatosis 1: development and validation of a burden assessment tool.,,"This study sought to develop a self-administered questionnaire in French to assess the burden of NF1 (BoN), then translate and linguistically and cross-culturally validate it",0.95,Accept,Development,Burden of NF1 (BoN) questionnaire
PMID:31053133,10.1186/s13023-019-1067-8,Burden of adult neurofibromatosis 1: development and validation of a burden assessment tool.,,all participants were asked to complete three previously validated self-administered questionnaires: the Dermatology Life Quality Index [DLQI] questionnaire,0.9,Accept,Experimental Usage,Dermatology Life Quality Index (DLQI)
PMID:31053133,10.1186/s13023-019-1067-8,Burden of adult neurofibromatosis 1: development and validation of a burden assessment tool.,,The PSS is the most widely used psychological instrument for measuring the perception of stress. Composed of 10 items rated from 'never' to 'often',0.9,Accept,Experimental Usage,Perceived Stress Scale (PSS)
PMID:31053133,10.1186/s13023-019-1067-8,Burden of adult neurofibromatosis 1: development and validation of a burden assessment tool.,,"The SF12 is a short version of the SF-36, namely a generic instrument to measure population health with a physical composite score and mental composite score",0.9,Accept,Experimental Usage,SF12
PMID:28725547,10.1016/j.nicl.2017.06.032,Spatial working memory in neurofibromatosis 1: Altered neural activity and functional connectivity.,,"Full-Scale IQ ≥ 70 (as determined by the Wechsler Abbreviated Scale of Intelligence [WASI]; Wechsler, 2011)",0.85,Accept,Experimental Usage,Wechsler Abbreviated Scale of Intelligence (WASI)
PMID:28725547,10.1016/j.nicl.2017.06.032,Spatial working memory in neurofibromatosis 1: Altered neural activity and functional connectivity.,,"same measures from the Wechsler Adult Intelligence Scale, Version 4 (WAIS-IV; Wechsler, 2014) for the healthy controls",0.85,Accept,Experimental Usage,"Wechsler Adult Intelligence Scale, Version 4 (WAIS-IV)"
PMID:28725547,10.1016/j.nicl.2017.06.032,Spatial working memory in neurofibromatosis 1: Altered neural activity and functional connectivity.,,"Working memory capacity was measured behaviorally using the University of Maryland Letter–Number Sequencing (LNS) task (Gold et al., 1997)",0.8,Accept,Experimental Usage,University of Maryland Letter–Number Sequencing (LNS) task
PMID:28725547,10.1016/j.nicl.2017.06.032,Spatial working memory in neurofibromatosis 1: Altered neural activity and functional connectivity.,,"Participants viewed a visual array presenting 1, 3, 5, or 7 circles on the screen followed by a probe circle...as described in detail in Montojo et al. (2014)",0.8,Accept,Experimental Usage,Spatial capacity working memory (SCAP) task
PMID:37608248,10.1186/s11689-023-09492-y,Aberrant oscillatory activity in neurofibromatosis type 1: an EEG study of resting state and working memory.,,"EEG data were recorded using an ActiveTwo system (BioSemi, Amsterdam, Netherlands) with 64 EEG channels in standard 10–10 system locations plus HEOG, VEOG, and mastoids",0.9,Accept,Experimental Usage,"ActiveTwo system (BioSemi, Amsterdam, Netherlands)"
PMID:37608248,10.1186/s11689-023-09492-y,Aberrant oscillatory activity in neurofibromatosis type 1: an EEG study of resting state and working memory.,,parent-reported Adaptive Behaviour Composite (ABC) scores on the Vineland Adaptive Behaviour Scale (VABS-III),0.95,Accept,Experimental Usage,Vineland Adaptive Behaviour Scale (VABS-III)
PMID:41602242,10.7759/cureus.100193,Perspectives of Patients and Providers on Chronic Pain Assessment in Neurofibromatosis Type 1 (NF1): A Qualitative Study.,,"...responses to the Brief Pain Inventory Short Form (BPI-SF) [ 8 ], Patient Health Questionnaire (PHQ) [ 19 ]...a pain severity aggregate score of ≥3 on the BPI-SF [ 8 ] for pain experienced in the previous 2 weeks...",0.95,Accept,Experimental Usage,Brief Pain Inventory Short Form (BPI-SF)
PMID:41602242,10.7759/cureus.100193,Perspectives of Patients and Providers on Chronic Pain Assessment in Neurofibromatosis Type 1 (NF1): A Qualitative Study.,,"...responses to the Brief Pain Inventory Short Form (BPI-SF) [ 8 ], Patient Health Questionnaire (PHQ) [ 19 ], Structured Clinical Interview for DSM Self Report version (SCID-SR)...",0.95,Accept,Experimental Usage,Patient Health Questionnaire (PHQ)
PMID:41602242,10.7759/cureus.100193,Perspectives of Patients and Providers on Chronic Pain Assessment in Neurofibromatosis Type 1 (NF1): A Qualitative Study.,,"...Patient Health Questionnaire (PHQ) [ 19 ], Structured Clinical Interview for DSM Self Report version (SCID-SR) [ 20 ], and Generalized Anxiety Disorder 7 Item version (GAD-7)...",0.95,Accept,Experimental Usage,Structured Clinical Interview for DSM Self Report version (SCID-SR)
PMID:41602242,10.7759/cureus.100193,Perspectives of Patients and Providers on Chronic Pain Assessment in Neurofibromatosis Type 1 (NF1): A Qualitative Study.,,"...Structured Clinical Interview for DSM Self Report version (SCID-SR) [ 20 ], and Generalized Anxiety Disorder 7 Item version (GAD-7) [ 21 ]...evidence of moderate to severe depression or anxiety on the PHQ or GAD-7...",0.95,Accept,Experimental Usage,Generalized Anxiety Disorder 7 Item version (GAD-7)
PMID:41602242,10.7759/cureus.100193,Perspectives of Patients and Providers on Chronic Pain Assessment in Neurofibromatosis Type 1 (NF1): A Qualitative Study.,,...The PHQ-9 and GAD-7 are copyrighted by Pfizer Inc. and are freely available for research and clinical use without requiring special permissions...,0.9,Accept,Experimental Usage,PHQ-9
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,Children with NF1 that screen at risk for ASD on the parent-rated Social Responsiveness Scale 2nd Edition will be invited back to complete...,0.95,Accept,Experimental Usage,Social Responsiveness Scale 2nd Edition
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,...will be invited back to complete the Autism Diagnostic Observation Scale 2nd Edition and Autism Diagnostic Interview-Revised...,0.95,Accept,Experimental Usage,Autism Diagnostic Observation Scale 2nd Edition
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,...complete the Autism Diagnostic Observation Scale 2nd Edition and Autism Diagnostic Interview-Revised to determine whether they fulfil ASD diagnostic criteria.,0.95,Accept,Experimental Usage,Autism Diagnostic Interview-Revised
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,WPPSI-IV 10 subtests providing 5 indices and full scale IQ Y,0.9,Accept,Experimental Usage,WPPSI-IV
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,WISC-V 10 subtests providing 5 indices and full scale IQ S,0.9,Accept,Experimental Usage,WISC-V
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,TEA-Ch Sky Search Assessing the ability to selectively attend to and identify 20 visual targets among distractors S,0.85,Accept,Experimental Usage,TEA-Ch Sky Search
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,TEA-Ch Score! 10 trials assessing the ability to sustain attention by mentally counting aurally administered tones S,0.85,Accept,Experimental Usage,TEA-Ch Score!
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,"Shape School 4 conditions (each with 15 items) assessing inhibition, task-switching and working memory abilities in a shape and colour naming task Y",0.85,Accept,Experimental Usage,Shape School
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,NEPSY-II Inhibition 6 items assessing the ability to inhibit automatic responses in favour of novel responses while quickly and efficiently naming shapes and directions S,0.85,Accept,Experimental Usage,NEPSY-II Inhibition
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,"Tower of Hanoi 6 items assessing set shifting, response inhibition, working memory and the ability to hold a set of rules in mind in order to reach an end-state goal Y",0.85,Accept,Experimental Usage,Tower of Hanoi
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,TEA-Ch Creature Counting 7 trials assessing the ability to accurately switch and redirect attention to count up/down S,0.85,Accept,Experimental Usage,TEA-Ch Creature Counting
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,"WIAT-II Abbreviated 3 subtests assessing numerical operations, spelling and single word reading S",0.85,Accept,Experimental Usage,WIAT-II Abbreviated
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,"NEPSY-II Affect Recognition 36 items assessing the ability to match facial expressions from photographs of children's faces Y, S",0.85,Accept,Experimental Usage,NEPSY-II Affect Recognition
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,Benton Facial Recognition Test 13 items assessing the ability to recognise a target face from a selection of distractors S,0.85,Accept,Experimental Usage,Benton Facial Recognition Test
PMID:31558455,10.1136/bmjopen-2019-030601,Understanding autism spectrum disorder and social functioning in children with neurofibromatosis type 1: protocol for a cross-sectional multimodal study.,,"NEPSY-II ToM 21 items assessing the ability to comprehend the perspectives, intentions and beliefs of another person Y, S",0.85,Accept,Experimental Usage,NEPSY-II ToM
