pmid,title,doi,journal,year,source,query_type
PMID:34692515,SUZ12 Loss Amplifies the Ras/ERK Pathway by Activating Adenylate Cyclase 1 in NF1-Associated Neurofibromas.,10.3389/fonc.2021.738300,Frontiers in oncology,2021,pubmed,bench
PMID:34681018,Structural Protein Analysis of Driver Gene Mutations in Conjunctival Melanoma.,10.3390/genes12101625,Genes,2021,pubmed,bench
PMID:34664663,Longitudinal Investigation of Early Motor Development in Neurofibromatosis Type 1.,10.1093/jpepsy/jsab090,Journal of pediatric psychology,2022,pubmed,bench
PMID:34652463,Long-term Follow-up and Histological Correlation of Peripheral Nervous System Alterations in Neurofibromatosis Type 2.,10.1007/s00062-021-01102-5,Clinical neuroradiology,2022,pubmed,bench
PMID:34630515,Assessment of Mosaicism and Detection of Cryptic Alleles in CRISPR/Cas9-Engineered Neurofibromatosis Type 1 and ,10.3389/fgene.2021.721045,Frontiers in genetics,2021,pubmed,bench
PMID:34626534,SPRED2 loss-of-function causes a recessive Noonan syndrome-like phenotype.,10.1016/j.ajhg.2021.09.007,American journal of human genetics,2021,pubmed,bench
PMID:34604833,Insights into the Pathogenesis of NF1-Associated Neoplasms.,10.1016/j.xjidi.2021.100044,JID innovations : skin science from molecules to population health,2021,pubmed,bench
PMID:34604751,Feasibility of magnetic resonance-guided high-intensity focused ultrasound treatment targeting distinct nodular lesions in neurofibromatosis type 1.,10.1093/noajnl/vdab116,Neuro-oncology advances,2021,pubmed,bench
PMID:34604034,Neurofibromatosis: Molecular Pathogenesis and Natural Compounds as Potential Treatments.,10.3389/fonc.2021.698192,Frontiers in oncology,2021,pubmed,bench
PMID:34603530,Autophagy is involved in neurofibromatosis type I gene-modulated osteogenic differentiation in human bone mesenchymal stem cells.,10.3892/etm.2021.10697,Experimental and therapeutic medicine,2021,pubmed,bench
PMID:34576341,Blockade of Serotonin 5-HT,10.3390/ijms221810178,International journal of molecular sciences,2021,pubmed,bench
PMID:34573290,Performance Evaluation of SpliceAI for the Prediction of Splicing of ,10.3390/genes12091308,Genes,2021,pubmed,bench
PMID:34566848,Impacts of NF1 Gene Mutations and Genetic Modifiers in Neurofibromatosis Type 1.,10.3389/fneur.2021.704639,Frontiers in neurology,2021,pubmed,bench
PMID:34534577,Combined Cyclin-Dependent Kinase Inhibition Overcomes MAPK/Extracellular Signal-Regulated Kinase Kinase Inhibitor Resistance in Plexiform Neurofibroma of Neurofibromatosis Type I.,10.1016/j.jid.2021.07.164,The Journal of investigative dermatology,2022,pubmed,bench
PMID:34487172,Machine learning approach to differentiation of peripheral schwannomas and neurofibromas: A multi-center study.,10.1093/neuonc/noab211,Neuro-oncology,2022,pubmed,bench
PMID:36325164,Genetic and Environmental Contributions to Autism Spectrum Disorder Through Mechanistic Target of Rapamycin.,10.1016/j.bpsgos.2021.08.005,Biological psychiatry global open science,2022,pubmed,bench
PMID:34464388,Cell-free DNA ultra-low-pass whole genome sequencing to distinguish malignant peripheral nerve sheath tumor (MPNST) from its benign precursor lesion: A cross-sectional study.,10.1371/journal.pmed.1003734,PLoS medicine,2021,pubmed,bench
PMID:34445326,Toward Understanding the Mechanisms of Malignant Peripheral Nerve Sheath Tumor Development.,10.3390/ijms22168620,International journal of molecular sciences,2021,pubmed,bench
PMID:34441036,Ultrasound-Guided Moving Shot Radiofrequency Ablation of Benign Soft Tissue Neoplasm.,10.3390/medicina57080830,"Medicina (Kaunas, Lithuania)",2021,pubmed,bench
PMID:34428430,Treatment during a developmental window prevents NF1-associated optic pathway gliomas by targeting Erk-dependent migrating glial progenitors.,10.1016/j.devcel.2021.08.004,Developmental cell,2021,pubmed,bench
PMID:34377779,Impact of MEK Inhibitor Therapy on Neurocognitive Functioning in NF1.,10.1212/NXG.0000000000000616,Neurology. Genetics,2021,pubmed,bench
PMID:34352618,Characterization of UMi031-A-2 inducible pluripotent stem cell line with a neurofibromatosis type 2-associated mutation.,10.1016/j.scr.2021.102474,Stem cell research,2021,pubmed,bench
PMID:34345017,Tumorigenesis in neurofibromatosis type 1: role of the microenvironment.,10.1038/s41388-021-01979-z,Oncogene,2021,pubmed,bench
PMID:34337379,Conformational flexibility determines the Nf2/merlin tumor suppressor functions.,10.1016/j.mbplus.2021.100074,Matrix biology plus,2021,pubmed,bench
PMID:34298962,Cd34+ Stromal Cells/Telocytes in Normal and Pathological Skin.,10.3390/ijms22147342,International journal of molecular sciences,2021,pubmed,bench
PMID:34297428,RNA-sequencing highlights differential regulated pathways involved in cell cycle and inflammation in orbitofacial neurofibromas.,10.1111/bpa.13007,"Brain pathology (Zurich, Switzerland)",2022,pubmed,bench
PMID:34268254,Telomerase Dysfunction in the Tumorigenesis of Genetic Disorders.,10.22088/IJMCM.BUMS.10.1.56,International journal of molecular and cellular medicine,2021,pubmed,bench
PMID:34264955,Brigatinib causes tumor shrinkage in both NF2-deficient meningioma and schwannoma through inhibition of multiple tyrosine kinases but not ALK.,10.1371/journal.pone.0252048,PloS one,2021,pubmed,bench
PMID:34257422,Increased risk for dementia in neurofibromatosis type 1.,10.1038/s41436-021-01261-3,Genetics in medicine : official journal of the American College of Medical Genetics,2021,pubmed,bench
PMID:34257279,Neurofibromin regulates metabolic rate via neuronal mechanisms in Drosophila.,10.1038/s41467-021-24505-x,Nature communications,2021,pubmed,bench
PMID:34230200,Imaging Evaluation of Plexiform Neurofibromas in Neurofibromatosis Type 1: A Survey-Based Assessment.,10.1212/WNL.0000000000012437,Neurology,2021,pubmed,bench
PMID:34230196,Reliability of Handheld Dynamometry to Measure Focal Muscle Weakness in Neurofibromatosis Types 1 and 2.,10.1212/WNL.0000000000012439,Neurology,2021,pubmed,bench
PMID:34229750,Integrated in silico MS-based phosphoproteomics and network enrichment analysis of RASopathy proteins.,10.1186/s13023-021-01934-x,Orphanet journal of rare diseases,2021,pubmed,bench
PMID:34144233,RASopathies: The musculoskeletal consequences and their etiology and pathogenesis.,10.1016/j.bone.2021.116060,Bone,2021,pubmed,bench
PMID:34131650,Irradiation of ,10.1093/noajnl/vdab063,Neuro-oncology advances,2021,pubmed,bench
PMID:34121041,"SOCS, SPRED, and NR4a: Negative regulators of cytokine signaling and transcription in immune tolerance.",10.2183/pjab.97.016,"Proceedings of the Japan Academy. Series B, Physical and biological sciences",2021,pubmed,bench
PMID:34079083,WNT5A inhibition alters the malignant peripheral nerve sheath tumor microenvironment and enhances tumor growth.,10.1038/s41388-021-01773-x,Oncogene,2021,pubmed,bench
PMID:34075397,PAK1 inhibition reduces tumor size and extends the lifespan of mice in a genetically engineered mouse model of Neurofibromatosis Type 2 (NF2).,10.1093/hmg/ddab106,Human molecular genetics,2021,pubmed,bench
PMID:34065204,RABL6A Regulates Schwann Cell Senescence in an RB1-Dependent Manner.,10.3390/ijms22105367,International journal of molecular sciences,2021,pubmed,bench
PMID:34053190,Transcriptomic signature of painful human neurofibromatosis type 2 schwannomas.,10.1002/acn3.51386,Annals of clinical and translational neurology,2021,pubmed,bench
PMID:34049498,Early differences in auditory processing relate to Autism Spectrum Disorder traits in infants with Neurofibromatosis Type I.,10.1186/s11689-021-09364-3,Journal of neurodevelopmental disorders,2021,pubmed,bench
PMID:34043012,RNA sequence analysis reveals ITGAL/CD11A as a stromal regulator of murine low-grade glioma growth.,10.1093/neuonc/noab130,Neuro-oncology,2022,pubmed,bench
PMID:34040258,NF1 mutation drives neuronal activity-dependent initiation of optic glioma.,10.1038/s41586-021-03580-6,Nature,2021,pubmed,bench
PMID:34025587,Phakomatoses and Endocrine Gland Tumors: Noteworthy and (Not so) Rare Associations.,10.3389/fendo.2021.678869,Frontiers in endocrinology,2021,pubmed,bench
PMID:34012067,Revised diagnostic criteria for neurofibromatosis type 1 and Legius syndrome: an international consensus recommendation.,10.1038/s41436-021-01170-5,Genetics in medicine : official journal of the American College of Medical Genetics,2021,pubmed,bench
PMID:34011935,Metalloproteinase 1 downregulation in neurofibromatosis 1: Therapeutic potential of antimalarial hydroxychloroquine and chloroquine.,10.1038/s41419-021-03802-9,Cell death & disease,2021,pubmed,bench
PMID:34010628,Stem-like cells drive NF1-associated MPNST functional heterogeneity and tumor progression.,10.1016/j.stem.2021.04.029,Cell stem cell,2021,pubmed,bench
PMID:33972401,Associative Learning Requires Neurofibromin to Modulate GABAergic Inputs to Drosophila Mushroom Bodies.,10.1523/JNEUROSCI.1605-20.2021,The Journal of neuroscience : the official journal of the Society for Neuroscience,2021,pubmed,bench
PMID:33964370,Dysregulation of the ESRP2-NF2-YAP/TAZ axis promotes hepatobiliary carcinogenesis in non-alcoholic fatty liver disease.,10.1016/j.jhep.2021.04.033,Journal of hepatology,2021,pubmed,bench
PMID:33963966,Cognitive and Electrophysiological Correlates of Working Memory Impairments in Neurofibromatosis Type 1.,10.1007/s10803-021-05043-3,Journal of autism and developmental disorders,2022,pubmed,bench
PMID:33948356,Cordycepin inhibits the proliferation of malignant peripheral nerve sheath tumor cells through the p53/Sp1/tubulin pathway.,,American journal of cancer research,2021,pubmed,bench
PMID:33946854,Hexokinase 2 in Cancer: A Prima Donna Playing Multiple Characters.,10.3390/ijms22094716,International journal of molecular sciences,2021,pubmed,bench
PMID:33903738,Identifying challenges in neurofibromatosis: a modified Delphi procedure.,10.1038/s41431-021-00892-z,European journal of human genetics : EJHG,2021,pubmed,bench
PMID:33879870,Typical 22q11.2 deletion syndrome appears to confer a reduced risk of schwannoma.,10.1038/s41436-021-01175-0,Genetics in medicine : official journal of the American College of Medical Genetics,2021,pubmed,bench
PMID:33863389,MEK inhibitors - novel targeted therapies of neurofibromatosis associated benign and malignant lesions.,10.1186/s40364-021-00281-0,Biomarker research,2021,pubmed,bench
PMID:33850471,Increased nuclear translation of YAP might act as a potential therapeutic target for NF1-related plexiform neurofibroma.,10.7150/ijms.52431,International journal of medical sciences,2021,pubmed,bench
PMID:33818262,ABI-auditory brainstem implant.,10.1080/00016489.2021.1888486,Acta oto-laryngologica,2021,pubmed,bench
PMID:33778620,Abdominal Vascular Complications in Neurofibromatosis Type 1.,10.1148/ryct.2020200079,Radiology. Cardiothoracic imaging,2020,pubmed,bench
PMID:33767727,Molecular Diagnosis of Neurofibromatosis by Multigene Panel Testing.,10.3389/fgene.2021.603195,Frontiers in genetics,2021,pubmed,bench
PMID:33757576,Hyperpigmented spots at fundus examination: a new ocular sign in Neurofibromatosis Type I.,10.1186/s13023-021-01773-w,Orphanet journal of rare diseases,2021,pubmed,bench
PMID:33730566,Distinct progenitor behavior underlying neocortical gliogenesis related to tumorigenesis.,10.1016/j.celrep.2021.108853,Cell reports,2021,pubmed,bench
PMID:33721151,Neurofibromatosis in the Era of Precision Medicine: Development of MEK Inhibitors and Recent Successes with Selumetinib.,10.1007/s11912-021-01032-y,Current oncology reports,2021,pubmed,bench
PMID:33673681,Hybrid Minigene Assay: An Efficient Tool to Characterize mRNA Splicing Profiles of ,10.3390/cancers13050999,Cancers,2021,pubmed,bench
PMID:33622177,Chrysophanol inhibits the osteoglycin/mTOR and activats NF2 signaling pathways to reduce viability and proliferation of malignant meningioma cells.,10.1080/21655979.2021.1885864,Bioengineered,2021,pubmed,bench
PMID:33604573,New developments in neurofibromatosis type 2 and vestibular schwannoma.,10.1093/noajnl/vdaa153,Neuro-oncology advances,2021,pubmed,bench
PMID:33591953,Chromosome 8 gain is associated with high-grade transformation in MPNST.,10.1172/jci.insight.146351,JCI insight,2021,pubmed,bench
PMID:33588442,Diagnostic Pathology of Tumors of Peripheral Nerve.,10.1093/neuros/nyab021,Neurosurgery,2021,pubmed,bench
PMID:33574795,Genetic and Epigenetic Causes of Pituitary Adenomas.,10.3389/fendo.2020.596554,Frontiers in endocrinology,2020,pubmed,bench
PMID:33574490,Using antisense oligonucleotides for the physiological modulation of the alternative splicing of NF1 exon 23a during PC12 neuronal differentiation.,10.1038/s41598-021-83152-w,Scientific reports,2021,pubmed,bench
PMID:33541905,Longitudinal Assessment of Enhancing Foci of Abnormal Signal Intensity in Neurofibromatosis Type 1.,10.3174/ajnr.A6974,AJNR. American journal of neuroradiology,2021,pubmed,bench
PMID:33530415,Cutaneous Findings in Neurofibromatosis Type 1.,10.3390/cancers13030463,Cancers,2021,pubmed,bench
PMID:33519543,Autism Spectrum Disorder Symptom Profile Across the RASopathies.,10.3389/fpsyt.2020.585700,Frontiers in psychiatry,2020,pubmed,bench
PMID:33511762,Protein synthesis as a modifiable target for autism-related dendritic spine pathophysiologies.,10.1111/febs.15733,The FEBS journal,2022,pubmed,bench
PMID:33486672,Signaling pathways in human osteoclasts differentiation: ERK1/2 as a key player.,10.1007/s11033-020-06128-5,Molecular biology reports,2021,pubmed,bench
PMID:33484105,Circulating free DNA in the plasma of individuals with neurofibromatosis type 1.,10.1002/ajmg.a.62081,American journal of medical genetics. Part A,2021,pubmed,bench
PMID:33470897,Photodynamic Therapy for Benign Cutaneous Neurofibromas Using Aminolevulinic Acid Topical Application and 633 nm Red Light Illumination.,10.1089/photob.2020.4957,"Photobiomodulation, photomedicine, and laser surgery",2021,pubmed,bench
PMID:33449435,The Hippo pathway: Horizons for innovative treatments of peripheral nerve diseases.,10.1111/jns.12431,Journal of the peripheral nervous system : JPNS,2021,pubmed,bench
PMID:33447574,Pancreatic neuroendocrine tumours: spectrum of imaging findings.,10.21037/gs-20-537,Gland surgery,2020,pubmed,bench
PMID:33445724,Neurofibromatosis Type 2 (NF2) and the Implications for Vestibular Schwannoma and Meningioma Pathogenesis.,10.3390/ijms22020690,International journal of molecular sciences,2021,pubmed,bench
PMID:33436083,Distinctive epigenomic alterations in NF1-deficient cutaneous and plexiform neurofibromas drive differential MKK/p38 signaling.,10.1186/s13072-020-00380-6,Epigenetics & chromatin,2021,pubmed,bench
PMID:33414453,PLPP/CIN-mediated NF2-serine 10 dephosphorylation regulates F-actin stability and Mdm2 degradation in an activity-dependent manner.,10.1038/s41419-020-03325-9,Cell death & disease,2021,pubmed,bench
PMID:33413690,Human cutaneous neurofibroma matrisome revealed by single-cell RNA sequencing.,10.1186/s40478-020-01103-4,Acta neuropathologica communications,2021,pubmed,bench
PMID:33375955,Stereotactic Radiosurgery for Vestibular Schwannomas: Tumor Control Probability Analyses and Recommended Reporting Standards.,10.1016/j.ijrobp.2020.11.019,"International journal of radiation oncology, biology, physics",2021,pubmed,bench
PMID:35118300,Mediastinal tumors of peripheral nerve origin (so-called neurogenic tumors).,10.21037/med-20-43,"Mediastinum (Hong Kong, China)",2020,pubmed,bench
PMID:33368180,A rare disease and education: Neurofibromatosis type 1 decreases educational attainment.,10.1111/cge.13907,Clinical genetics,2021,pubmed,bench
PMID:33356508,C6 Cell Injection into the Optic Nerve of Long-Evans Rats: A Short-Term Model of Optic Pathway Gliomas.,10.1177/0963689720964383,Cell transplantation,2020,pubmed,bench
PMID:33279959,"Stepwise crosstalk between aberrant Nf1, Tp53 and Rb signalling pathways induces gliomagenesis in zebrafish.",10.1093/brain/awaa404,Brain : a journal of neurology,2021,pubmed,bench
PMID:33273014,mTOR kinase inhibition disrupts neuregulin 1-ERBB3 autocrine signaling and sensitizes NF2-deficient meningioma cellular models to IGF1R inhibition.,10.1074/jbc.RA120.014960,The Journal of biological chemistry,2021,pubmed,bench
PMID:33233664,Importance of Cullin4 Ubiquitin Ligase in Malignant Pleural Mesothelioma.,10.3390/cancers12113460,Cancers,2020,pubmed,bench
PMID:33209717,Germline predisposition to genitourinary rhabdomyosarcoma.,10.21037/tau-20-76,Translational andrology and urology,2020,pubmed,bench
PMID:33160273,Modeling tumors of the peripheral nervous system associated with Neurofibromatosis type 1: Reprogramming plexiform neurofibroma cells.,10.1016/j.scr.2020.102068,Stem cell research,2020,pubmed,bench
PMID:33121128,"Neurofibromin Structure, Functions and Regulation.",10.3390/cells9112365,Cells,2020,pubmed,bench
PMID:33117026,Neurofibromatosis Type 1: Ocular Electrophysiological and Perimetric Anomalies.,10.2147/EB.S255184,Eye and brain,2020,pubmed,bench
PMID:33094349,Genetic Events and Signaling Mechanisms Underlying Schwann Cell Fate in Development and Cancer.,10.1093/neuros/nyaa455,Neurosurgery,2021,pubmed,bench
PMID:33082502,Image segmentation of plexiform neurofibromas from a deep neural network using multiple b-value diffusion data.,10.1038/s41598-020-74920-1,Scientific reports,2020,pubmed,bench
PMID:33080011,"Temporal, spatial, and genetic constraints contribute to the patterning and penetrance of murine neurofibromatosis-1 optic glioma.",10.1093/neuonc/noaa237,Neuro-oncology,2021,pubmed,bench
PMID:33078583,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,10.1002/jcsm.12632,"Journal of cachexia, sarcopenia and muscle",2020,pubmed,bench
PMID:33066259,Understanding the Biological Activities of Vitamin D in Type 1 Neurofibromatosis: New Insights into Disease Pathogenesis and Therapeutic Design.,10.3390/cancers12102965,Cancers,2020,pubmed,bench
PMID:33061783,Subcutaneous neurofibroma as a cause of lameness in a warmblood horse: Neurofibroma in a horse.,10.1294/jes.31.45,Journal of equine science,2020,pubmed,bench
PMID:33032988,Combined Inhibition of SHP2 and MEK Is Effective in Models of NF1-Deficient Malignant Peripheral Nerve Sheath Tumors.,10.1158/0008-5472.CAN-20-1365,Cancer research,2020,pubmed,bench
PMID:33023333,Serum-derived exosomes from neurofibromatosis type 1 congenital tibial pseudarthrosis impaired bone by promoting osteoclastogenesis and inhibiting osteogenesis.,10.1177/1535370220962737,"Experimental biology and medicine (Maywood, N.J.)",2021,pubmed,bench
PMID:32960816,Schwannoma development is mediated by Hippo pathway dysregulation and modified by RAS/MAPK signaling.,10.1172/jci.insight.141514,JCI insight,2020,pubmed,bench
PMID:32948135,Anti-cancer agent 3-bromopyruvate reduces growth of MPNST and inhibits metabolic pathways in a representative in-vitro model.,10.1186/s12885-020-07397-w,BMC cancer,2020,pubmed,bench
PMID:32901776,Cutaneous manifestations in neurofibromatosis type 1.,10.7417/CT.2020.2242,La Clinica terapeutica,2020,pubmed,bench
PMID:32882803,"Special Issue: ""Genomics and Models of Nerve Sheath Tumors"".",10.3390/genes11091024,Genes,2020,pubmed,bench
PMID:32869517,Genome-wide association study of café-au-lait macule number in neurofibromatosis type 1.,10.1002/mgg3.1400,Molecular genetics & genomic medicine,2020,pubmed,bench
PMID:32858845,Systems Biology Approaches Reveal Potential Phenotype-Modifier Genes in Neurofibromatosis Type 1.,10.3390/cancers12092416,Cancers,2020,pubmed,bench
PMID:32839340,Brain-wide structural and functional disruption in mice with oligodendrocyte-specific ,10.1073/pnas.2008391117,Proceedings of the National Academy of Sciences of the United States of America,2020,pubmed,bench
PMID:32814709,Phenotypic heterogeneity of neurofibromatosis type 1 in a large international registry.,10.1172/jci.insight.136262,JCI insight,2020,pubmed,bench
PMID:32781282,Nf1 heterozygous mice recapitulate the anthropometric and metabolic features of human neurofibromatosis type 1.,10.1016/j.trsl.2020.08.001,Translational research : the journal of laboratory and clinical medicine,2021,pubmed,bench
PMID:32733558,Secondary Prevention in Hereditary Breast and/or Ovarian Cancer Syndromes Other Than BRCA.,10.1155/2020/6384190,Journal of oncology,2020,pubmed,bench
PMID:32733557,"Gene Expression, Network Analysis, and Drug Discovery of Neurofibromatosis Type 2-Associated Vestibular Schwannomas Based on Bioinformatics Analysis.",10.1155/2020/5976465,Journal of oncology,2020,pubmed,bench
PMID:32733046,Congenital abnormalities of the retinal vasculature in neurofibromatosis type I.,10.1038/s41598-020-69852-9,Scientific reports,2020,pubmed,bench
PMID:32699356,Murine models of IDH-wild-type glioblastoma exhibit spatial segregation of tumor initiation and manifestation during evolution.,10.1038/s41467-020-17382-3,Nature communications,2020,pubmed,bench
PMID:32697994,Structural Insights into the SPRED1-Neurofibromin-KRAS Complex and Disruption of SPRED1-Neurofibromin Interaction by Oncogenic EGFR.,10.1016/j.celrep.2020.107909,Cell reports,2020,pubmed,bench
PMID:32694667,Functional and morphological cardiovascular alterations associated with neurofibromatosis 1.,10.1038/s41598-020-68908-0,Scientific reports,2020,pubmed,bench
PMID:32657748,The Neurofibromatoses.,10.3238/arztebl.2020.0354,Deutsches Arzteblatt international,2020,pubmed,bench
PMID:32655935,Inherited syndromes involving pancreatic neuroendocrine tumors.,10.21037/jgo.2020.03.09,Journal of gastrointestinal oncology,2020,pubmed,bench
PMID:32642741,Effect of age and neurofibromatosis type 1 status on white matter integrity in the optic radiations.,10.1093/noajnl/vdaa037,Neuro-oncology advances,2020,pubmed,bench
PMID:32642733,KIF11 and KIF15 mitotic kinesins are potential therapeutic vulnerabilities for malignant peripheral nerve sheath tumors.,10.1093/noajnl/vdz061,Neuro-oncology advances,2020,pubmed,bench
PMID:32642684,The inflammatory microenvironment in vestibular schwannoma.,10.1093/noajnl/vdaa023,Neuro-oncology advances,2020,pubmed,bench
PMID:32642668,Brain tumors in Neurofibromatosis type 1.,10.1093/noajnl/vdz040,Neuro-oncology advances,2019,pubmed,bench
PMID:32642666,The impact of host immune cells on the development of neurofibromatosis type 1: The abnormal immune system provides an immune microenvironment for tumorigenesis.,10.1093/noajnl/vdz037,Neuro-oncology advances,2019,pubmed,bench
PMID:32638973,Reduced bone mineral content and density in neurofibromatosis type 1 and its association with nutrient intake.,10.1590/1806-9282.66.5.666,Revista da Associacao Medica Brasileira (1992),2020,pubmed,bench
PMID:32628746,NF1 optic pathway glioma: analyzing risk factors for visual outcome and indications to treat.,10.1093/neuonc/noaa153,Neuro-oncology,2021,pubmed,bench
PMID:32608378,Advanced pharmacological therapies for neurofibromatosis type 1-related tumors.,10.23750/abm.v91i7-S.9961,Acta bio-medica : Atenei Parmensis,2020,pubmed,bench
PMID:32601387,A molecular basis for neurofibroma-associated skeletal manifestations in NF1.,10.1038/s41436-020-0885-3,Genetics in medicine : official journal of the American College of Medical Genetics,2020,pubmed,bench
PMID:32599735,From Genes to -Omics: The Evolving Molecular Landscape of Malignant Peripheral Nerve Sheath Tumor.,10.3390/genes11060691,Genes,2020,pubmed,bench
PMID:32571896,Haploinsufficiency of the ,10.1136/jmedgenet-2020-107062,Journal of medical genetics,2021,pubmed,bench
PMID:32560571,Telocytes in the Normal and Pathological Peripheral Nervous System.,10.3390/ijms21124320,International journal of molecular sciences,2020,pubmed,bench
PMID:32514759,"Role, function and challenges of multidisciplinary centres for rare diseases exemplified for neurofibromatosis type 1 syndrome.",10.1007/s00381-020-04708-1,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,2020,pubmed,bench
PMID:32494228,Molecular targets for NF1-associated malignant peripheral nerve sheath tumor.,10.1016/j.rpor.2020.04.010,Reports of practical oncology and radiotherapy : journal of Greatpoland Cancer Center in Poznan and Polish Society of Radiation Oncology,2020,pubmed,bench
PMID:32471868,Genetic disruption of the small GTPase RAC1 prevents plexiform neurofibroma formation in mice with neurofibromatosis type 1.,10.1074/jbc.RA119.010981,The Journal of biological chemistry,2020,pubmed,bench
PMID:32461616,"Characterising the loss-of-function impact of 5' untranslated region variants in 15,708 individuals.",10.1038/s41467-019-10717-9,Nature communications,2020,pubmed,bench
PMID:32461556,Assessing the origin of high-grade serous ovarian cancer using CRISPR-modification of mouse organoids.,10.1038/s41467-020-16432-0,Nature communications,2020,pubmed,bench
PMID:32457840,"TGFβ Signaling Increases Net Acid Extrusion, Proliferation and Invasion in Panc-1 Pancreatic Cancer Cells: SMAD4 Dependence and Link to Merlin/NF2 Signaling.",10.3389/fonc.2020.00687,Frontiers in oncology,2020,pubmed,bench
PMID:32438819,Honokiol Bis-Dichloroacetate Is a Selective Allosteric Inhibitor of the Mitochondrial Chaperone TRAP1.,10.1089/ars.2019.7972,Antioxidants & redox signaling,2021,pubmed,bench
PMID:32438526,Effects of Neurod1 Expression on Mouse and Human Schwannoma Cells.,10.1002/lary.28671,The Laryngoscope,2021,pubmed,bench
PMID:32419643,Long Noncoding RNA WT1-AS Inhibit Cell Malignancy via miR-494-3p in Glioma.,10.1177/1533033820919759,Technology in cancer research & treatment,2020,pubmed,bench
PMID:32408052,Mutation-Directed Therapeutics for Neurofibromatosis Type I.,10.1016/j.omtn.2020.04.012,Molecular therapy. Nucleic acids,2020,pubmed,bench
PMID:32383545,Hexokinase 2 displacement from mitochondria-associated membranes prompts Ca,10.15252/embr.201949117,EMBO reports,2020,pubmed,bench
PMID:32360730,Repeating or spacing learning sessions are strategies for memory improvement with shared molecular and neuronal components.,10.1016/j.nlm.2020.107233,Neurobiology of learning and memory,2020,pubmed,bench
PMID:32358581,Midkine activation of CD8,10.1038/s41467-020-15770-3,Nature communications,2020,pubmed,bench
PMID:32354889,Propranolol Specifically Suppresses the Viability of Tumorous Schwann Cells Derived from Plexiform Neurofibromas ,10.21873/invivo.11872,"In vivo (Athens, Greece)",2020,pubmed,bench
PMID:32353955,New Model Systems and the Development of Targeted Therapies for the Treatment of Neurofibromatosis Type 1-Associated Malignant Peripheral Nerve Sheath Tumors.,10.3390/genes11050477,Genes,2020,pubmed,bench
PMID:32352002,Human Organ-Specific 3D Cancer Models Produced by the Stromal Self-Assembly Method of Tissue Engineering for the Study of Solid Tumors.,10.1155/2020/6051210,BioMed research international,2020,pubmed,bench
PMID:32320652,Rational Design of Allosteric and Selective Inhibitors of the Molecular Chaperone TRAP1.,10.1016/j.celrep.2020.107531,Cell reports,2020,pubmed,bench
PMID:32317644,Author Correction: A VEGF receptor vaccine demonstrates preliminary efficacy in neurofibromatosis type 2.,10.1038/s41467-020-16007-z,Nature communications,2020,pubmed,bench
PMID:32299434,Merlin regulates signaling events at the nexus of development and cancer.,10.1186/s12964-020-00544-7,Cell communication and signaling : CCS,2020,pubmed,bench
PMID:32281771,Germline Mutations for Novel Candidate Predisposition Genes in Sporadic Schwannomatosis.,10.1097/CORR.0000000000001239,Clinical orthopaedics and related research,2020,pubmed,bench
PMID:32272491,The Use of MEK Inhibitors in Neurofibromatosis Type 1-Associated Tumors and Management of Toxicities.,10.1634/theoncologist.2020-0069,The oncologist,2020,pubmed,bench
PMID:32252413,Genomics of MPNST (GeM) Consortium: Rationale and Study Design for Multi-Omic Characterization of NF1-Associated and Sporadic MPNSTs.,10.3390/genes11040387,Genes,2020,pubmed,bench
PMID:32252313,A Novel Treatment Modality for Malignant Peripheral Nerve Sheath Tumor Using a Dual-Effect Liposome to Combine Photodynamic Therapy and Chemotherapy.,10.3390/pharmaceutics12040317,Pharmaceutics,2020,pubmed,bench
PMID:32245042,Kinome Profiling of NF1-Related MPNSTs in Response to Kinase Inhibition and Doxorubicin Reveals Therapeutic Vulnerabilities.,10.3390/genes11030331,Genes,2020,pubmed,bench
PMID:32240795,Germline and sporadic cancers driven by the RAS pathway: parallels and contrasts.,10.1016/j.annonc.2020.03.291,Annals of oncology : official journal of the European Society for Medical Oncology,2020,pubmed,bench
PMID:32212796,The Value of H3K27me3 Immunohistochemistry in Differentiating Malignant Peripheral Nerve Sheath Tumour with Its Histologic Mimickers.,10.31557/APJCP.2020.21.3.699,Asian Pacific journal of cancer prevention : APJCP,2020,pubmed,bench
PMID:32194680,ADAM9: A novel player in vestibular schwannoma pathogenesis.,10.3892/ol.2020.11299,Oncology letters,2020,pubmed,bench
PMID:32193699,Upregulated immuno-modulator PD-L1 in malignant peripheral nerve sheath tumors provides a potential biomarker and a therapeutic target.,10.1007/s00262-020-02548-1,"Cancer immunology, immunotherapy : CII",2020,pubmed,bench
PMID:32193437,Longitudinal phenotype development in a minipig model of neurofibromatosis type 1.,10.1038/s41598-020-61251-4,Scientific reports,2020,pubmed,bench
PMID:32182803,The Role of Polycomb Repressive Complex in Malignant Peripheral Nerve Sheath Tumor.,10.3390/genes11030287,Genes,2020,pubmed,bench
PMID:32152628,Longitudinal evaluation of peripheral nerve sheath tumors in neurofibromatosis type 1: growth analysis of plexiform neurofibromas and distinct nodular lesions.,10.1093/neuonc/noaa053,Neuro-oncology,2020,pubmed,bench
