pmid,title,doi,journal,year,query_type,source
PMID:23197650,Heterozygous inactivation of the Nf1 gene in myeloid cells enhances neointima formation via a rosuvastatin-sensitive cellular pathway.,10.1093/hmg/dds502,Human molecular genetics,2013.0,"bench,clinical",pubmed
PMID:23205330,Carbon dioxide laser treatment of cutaneous neurofibromas.,10.1007/s13555-012-0007-5,Dermatology and therapy,2012.0,bench,pubmed
PMID:23205844,"Understanding relationships between autism, intelligence, and epilepsy: a cross-disorder approach.",10.1111/dmcn.12044,Developmental medicine and child neurology,2013.0,"bench,clinical",pubmed
PMID:23213372,Stability of the tumor suppressor merlin depends on its ability to bind paxillin LD3 and associate with β1 integrin and actin at the plasma membrane.,10.1242/bio.20122121,Biology open,2012.0,bench,pubmed
PMID:23221337,Sustained MEK inhibition abrogates myeloproliferative disease in Nf1 mutant mice.,10.1172/JCI63193,The Journal of clinical investigation,2013.0,bench,pubmed
PMID:23221339,Normal hematopoiesis and neurofibromin-deficient myeloproliferative disease require Erk.,10.1172/JCI66167,The Journal of clinical investigation,2013.0,bench,pubmed
PMID:23221341,MEK inhibition exhibits efficacy in human and mouse neurofibromatosis tumors.,10.1172/JCI60578,The Journal of clinical investigation,2013.0,bench,pubmed
PMID:23225063,Dopamine deficiency underlies learning deficits in neurofibromatosis-1 mice.,10.1002/ana.23793,Annals of neurology,2013.0,bench,pubmed
PMID:23229624,Prenatal rapamycin results in early and late behavioral abnormalities in wildtype C57BL/6 mice.,10.1007/s10519-012-9571-9,Behavior genetics,2013.0,bench,pubmed
PMID:23239957,LEOPARD Syndrome: Clinical Features and Gene Mutations.,10.1159/000342251,Molecular syndromology,2012.0,clinical,pubmed
PMID:23239959,Partial Blindness to Submicron Topography in NF1 Haploinsufficient Cultured Fibroblasts Indicates a New Function of Neurofibromin in Regulation of Mechanosensoric.,10.1159/000342698,Molecular syndromology,2012.0,bench,pubmed
PMID:23244685,Molecular heterogeneity in malignant peripheral nerve sheath tumors associated with neurofibromatosis type 1.,10.1186/1479-7364-6-18,Human genomics,2012.0,bench,pubmed
PMID:23267122,"Neurofibromatosis type 2 protein, NF2: an uncoventional cell cycle regulator.",,Anticancer research,2013.0,bench,pubmed
PMID:23268719,Isobutylhydroxyamides from the pericarp of Nepalese Zanthoxylum armatum inhibit NF1-defective tumor cell line growth.,10.1021/np300696g,Journal of natural products,2013.0,bench,pubmed
PMID:23295772,Optic pathway gliomas in adolescence--time to challenge treatment choices?,10.1093/neuonc/nos312,Neuro-oncology,2013.0,bench,pubmed
PMID:23308224,"Neurofibromatosis type 2 tumor suppressor protein, NF2, induces proteasome-mediated degradation of JC virus T-antigen in human glioblastoma.",10.1371/journal.pone.0053447,PloS one,2013.0,bench,pubmed
PMID:23312374,Modeling cognitive dysfunction in neurofibromatosis-1.,10.1016/j.tins.2012.12.002,Trends in neurosciences,2013.0,bench,pubmed
PMID:23318430,EGFR-STAT3 signaling promotes formation of malignant peripheral nerve sheath tumors.,10.1038/onc.2012.579,Oncogene,2014.0,bench,pubmed
PMID:23325962,Congenital pseudarthrosis of the tibia: Management and complications.,10.4103/0019-5413.104184,Indian journal of orthopaedics,2012.0,bench,pubmed
PMID:23328114,Genomic imbalance of HMMR/RHAMM regulates the sensitivity and response of malignant peripheral nerve sheath tumour cells to aurora kinase inhibition.,10.18632/oncotarget.793,Oncotarget,2013.0,bench,pubmed
PMID:23348505,"Genomic analysis of non-NF2 meningiomas reveals mutations in TRAF7, KLF4, AKT1, and SMO.",10.1126/science.1233009,"Science (New York, N.Y.)",2013.0,bench,pubmed
PMID:23356716,Miniaturized handheld confocal microscopy identifies focal brain invasion in a mouse model of aggressive meningioma.,10.1111/bpa.12039,"Brain pathology (Zurich, Switzerland)",2013.0,bench,pubmed
PMID:23358504,Integrated proteomics identified novel activation of dynein IC2-GR-COX-1 signaling in neurofibromatosis type I (NF1) disease model cells.,10.1074/mcp.M112.024802,Molecular & cellular proteomics : MCP,2013.0,bench,pubmed
PMID:23362481,Radiofrequency ablation and excision of multiple cutaneous lesions in neurofibromatosis type 1.,10.5999/aps.2013.40.1.57,Archives of plastic surgery,2013.0,bench,pubmed
PMID:23406822,"Gyrification, cortical and subcortical morphometry in neurofibromatosis type 1: an uneven profile of developmental abnormalities.",10.1186/1866-1955-5-3,Journal of neurodevelopmental disorders,2013.0,bench,pubmed
PMID:23412344,Depletion of the novel p53-target gene carnitine palmitoyltransferase 1C delays tumor growth in the neurofibromatosis type I tumor model.,10.1038/cdd.2012.168,Cell death and differentiation,2013.0,"bench,clinical",pubmed
PMID:23413263,Loss of SOX10 function contributes to the phenotype of human Merlin-null schwannoma cells.,10.1093/brain/aws353,Brain : a journal of neurology,2013.0,bench,pubmed
PMID:23423222,RAS/MEK-independent gene expression reveals BMP2-related malignant phenotypes in the Nf1-deficient MPNST.,10.1158/1541-7786.MCR-12-0593,Molecular cancer research : MCR,2013.0,bench,pubmed
PMID:23424002,Reduced microglial CX3CR1 expression delays neurofibromatosis-1 glioma formation.,10.1002/ana.23813,Annals of neurology,2013.0,bench,pubmed
PMID:23431398,Predicting future morphological changes of lesions from radiotracer uptake in 18F-FDG-PET images.,10.1371/journal.pone.0057105,PloS one,2013.0,bench,pubmed
PMID:23432799,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",10.1186/1477-7525-11-21,Health and quality of life outcomes,2013.0,clinical,pubmed
PMID:23434321,CXCR4/CXCL12 mediate autocrine cell- cycle progression in NF1-associated malignant peripheral nerve sheath tumors.,10.1016/j.cell.2013.01.053,Cell,2013.0,bench,pubmed
PMID:23446537,"[Quality of life in children with neurofibromatosis type 1, based on their mothers' reports].",,Turk psikiyatri dergisi = Turkish journal of psychiatry,2013.0,clinical,pubmed
PMID:23450503,Proteus: Mythology to modern times.,10.4103/0970-1591.105748,Indian journal of urology : IJU : journal of the Urological Society of India,2012.0,bench,pubmed
PMID:23457139,Genetic aspects of pheochromocytoma.,,Advances in clinical and experimental medicine : official organ Wroclaw Medical University,2012.0,bench,pubmed
PMID:23457304,Platelet-derived growth factor-BB activates calcium/calmodulin-dependent and -independent mechanisms that mediate Akt phosphorylation in the neurofibromin-deficient human Schwann cell line ST88-14.,10.1074/jbc.M112.442244,The Journal of biological chemistry,2013.0,bench,pubmed
PMID:23475878,An unholy alliance: cooperation between BRAF and NF1 in melanoma development and BRAF inhibitor resistance.,10.1158/2159-8290.CD-13-0017,Cancer discovery,2013.0,bench,pubmed
PMID:23487764,NMR-based functional profiling of RASopathies and oncogenic RAS mutations.,10.1073/pnas.1218173110,Proceedings of the National Academy of Sciences of the United States of America,2013.0,bench,pubmed
PMID:23524941,"PAK1-deficiency/down-regulation reduces brood size, activates HSP16.2 gene and extends lifespan in Caenorhabditis elegans.",10.5582/ddt.2013.v7.1.29,Drug discoveries & therapeutics,2013.0,bench,pubmed
PMID:23535903,"Canonical Wnt/β-catenin signaling drives human schwann cell transformation, progression, and tumor maintenance.",10.1158/2159-8290.CD-13-0081,Cancer discovery,2013.0,bench,pubmed
PMID:23555837,Genetic interactions between neurofibromin and endothelin receptor B in mice.,10.1371/journal.pone.0059931,PloS one,2013.0,bench,pubmed
PMID:23567558,The FBW7-KLF2 axis regulates endothelial functions.,10.1038/cr.2013.50,Cell research,2013.0,bench,pubmed
PMID:23583712,Neurofibromin interacts with the cytoplasmic Dynein Heavy Chain 1 in melanosomes of human melanocytes.,10.1016/j.febslet.2013.03.035,FEBS letters,2013.0,bench,pubmed
PMID:23598837,Neurofibromatosis: types 1 and 2.,10.3174/ajnr.A3534,AJNR. American journal of neuroradiology,2013.0,bench,pubmed
PMID:23666797,"Merlin, the NF2 gene product.",10.1007/s12253-013-9644-y,Pathology oncology research : POR,2013.0,bench,pubmed
PMID:23669226,Normalizing tumor microenvironment to treat cancer: bench to bedside to biomarkers.,10.1200/JCO.2012.46.3653,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2013.0,bench,pubmed
PMID:23672502,Mechanobiological dysregulation of the epidermis and dermis in skin disorders and in degeneration.,10.1111/jcmm.12060,Journal of cellular and molecular medicine,2013.0,bench,pubmed
PMID:23682341,The impact of stereotactic radiosurgery in the management of neurofibromatosis type 2-related vestibular schwannomas.,10.4103/2152-7806.110663,Surgical neurology international,2013.0,bench,pubmed
PMID:23685747,Forward genetic screen for malignant peripheral nerve sheath tumor formation identifies new genes and pathways driving tumorigenesis.,10.1038/ng.2641,Nature genetics,2013.0,bench,pubmed
PMID:23702730,Pilocytic astrocytomas of the optic nerve and their relation to pilocytic astrocytomas elsewhere in the central nervous system.,10.1038/modpathol.2013.79,"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",2013.0,bench,pubmed
PMID:23714726,Therapeutic potential of HSP90 inhibition for neurofibromatosis type 2.,10.1158/1078-0432.CCR-12-3167,Clinical cancer research : an official journal of the American Association for Cancer Research,2013.0,bench,pubmed
PMID:23723300,Genotype-specific abnormalities in mitochondrial function associate with distinct profiles of energy metabolism and catecholamine content in pheochromocytoma and paraganglioma.,10.1158/1078-0432.CCR-12-3922,Clinical cancer research : an official journal of the American Association for Cancer Research,2013.0,bench,pubmed
PMID:23749527,Extending the convergence of canonical WNT signaling and classic cancer pathways for treatment of malignant peripheral nerve sheath tumors.,10.1158/2159-8290.CD-13-0192,Cancer discovery,2013.0,bench,pubmed
PMID:23762458,Motivational disturbances and effects of L-dopa administration in neurofibromatosis-1 model mice.,10.1371/journal.pone.0066024,PloS one,2013.0,bench,pubmed
PMID:23776757,Natural history of multiple meningiomas.,10.4103/2152-7806.112617,Surgical neurology international,2013.0,bench,pubmed
PMID:23848554,MicroRNAome profiling in benign and malignant neurofibromatosis type 1-associated nerve sheath tumors: evidences of PTEN pathway alterations in early NF1 tumorigenesis.,10.1186/1471-2164-14-473,BMC genomics,2013.0,bench,pubmed
PMID:23853621,A Novel Medical Treatment of Cushing's Due to Ectopic ACTH in a Patient With Neurofibromatosis Type 1.,10.5812/ijem.6898,International journal of endocrinology and metabolism,2013.0,clinical,pubmed
PMID:23858101,NF1 deletion generates multiple subtypes of soft-tissue sarcoma that respond to MEK inhibition.,10.1158/1535-7163.MCT-13-0189,Molecular cancer therapeutics,2013.0,bench,pubmed
PMID:23863460,Hyperactive Ras/MAPK signaling is critical for tibial nonunion fracture in neurofibromin-deficient mice.,10.1093/hmg/ddt333,Human molecular genetics,2013.0,"bench,clinical",pubmed
PMID:23863479,Tumor suppressor Nf2 limits expansion of the neural progenitor pool by inhibiting Yap/Taz transcriptional coactivators.,10.1242/dev.096537,"Development (Cambridge, England)",2013.0,bench,pubmed
PMID:23875798,The RASopathies.,10.1146/annurev-genom-091212-153523,Annual review of genomics and human genetics,2013.0,bench,pubmed
PMID:23891030,Imaging of the non-traumatic brachial plexus.,10.1016/j.diii.2013.06.015,Diagnostic and interventional imaging,2013.0,bench,pubmed
PMID:23907387,An integrative characterization of recurrent molecular aberrations in glioblastoma genomes.,10.1093/nar/gkt656,Nucleic acids research,2013.0,bench,pubmed
PMID:23928514,Natural compounds as potential treatments of NF2-deficient schwannoma and meningioma: cucurbitacin D and goyazensolide.,10.1097/MAO.0b013e3182956169,"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",2013.0,bench,pubmed
PMID:23934191,LIM domain kinases as potential therapeutic targets for neurofibromatosis type 2.,10.1038/onc.2013.320,Oncogene,2014.0,bench,pubmed
PMID:23934881,Rare variants in hypermutable genes underlie common morphology and growth traits in wild Saccharomyces paradoxus.,10.1534/genetics.113.155341,Genetics,2013.0,bench,pubmed
PMID:23935382,Reduced life expectancy seen in hereditary diseases which predispose to early-onset tumors.,10.2147/TACG.S35605,The application of clinical genetics,2013.0,bench,pubmed
PMID:23940289,Hypoxia-inducible factor signaling in pheochromocytoma: turning the rudder in the right direction.,10.1093/jnci/djt201,Journal of the National Cancer Institute,2013.0,bench,pubmed
PMID:23948079,Polyadenylation site-specific differences in the activity of the neuronal βCstF-64 protein in PC-12 cells.,10.1016/j.gene.2013.08.007,Gene,2013.0,bench,pubmed
PMID:23960073,"FRAX597, a small molecule inhibitor of the p21-activated kinases, inhibits tumorigenesis of neurofibromatosis type 2 (NF2)-associated Schwannomas.",10.1074/jbc.M113.510933,The Journal of biological chemistry,2013.0,bench,pubmed
PMID:24012335,Spatial organization of Hippo signaling at the plasma membrane mediated by the tumor suppressor Merlin/NF2.,10.1016/j.cell.2013.08.025,Cell,2013.0,bench,pubmed
PMID:24035394,Nf1 loss and Ras hyperactivation in oligodendrocytes induce NOS-driven defects in myelin and vasculature.,10.1016/j.celrep.2013.08.011,Cell reports,2013.0,bench,pubmed
PMID:24040940,Molecular-guided therapy predictions reveal drug resistance phenotypes and treatment alternatives in malignant peripheral nerve sheath tumors.,10.1186/1479-5876-11-213,Journal of translational medicine,2013.0,bench,pubmed
PMID:24065580,Prevalence of Sleep Disturbances in Children With Neurofibromatosis Type 1.,10.1177/0883073813500849,Journal of child neurology,2013.0,clinical,pubmed
PMID:24082600,"Synchronous tricompartmental benign CNS tumors with tonsillar herniation, cervicodorsal syringomyelia and hydrocephalus.",10.1007/s12262-012-0463-2,The Indian journal of surgery,2012.0,bench,pubmed
PMID:24101678,Autism traits in the RASopathies.,10.1136/jmedgenet-2013-101951,Journal of medical genetics,2014.0,"bench,clinical",pubmed
PMID:24101736,Detection of tumor progression in optic pathway glioma with and without neurofibromatosis type 1.,10.1093/neuonc/not120,Neuro-oncology,2013.0,bench,pubmed
PMID:24132643,EZH2-miR-30d-KPNB1 pathway regulates malignant peripheral nerve sheath tumour cell survival and tumourigenesis.,10.1002/path.4294,The Journal of pathology,2014.0,bench,pubmed
PMID:24133387,Intrathoracic malignant peripheral nerve sheath tumors: imaging features and implications for management.,10.2478/raon-2013-0047,Radiology and oncology,2013.0,bench,pubmed
PMID:24189137,Succinate-to-fumarate ratio as a new metabolic marker to detect the presence of SDHB/D-related paraganglioma: initial experimental and ex vivo findings.,10.1210/en.2013-1549,Endocrinology,2014.0,bench,pubmed
PMID:24197987,Vision specific quality of life in children with optic pathway gliomas.,10.1007/s11060-013-1300-6,Journal of neuro-oncology,2014.0,clinical,pubmed
PMID:24205087,Transcriptome analysis of Nautilus and pygmy squid developing eye provides insights in lens and eye evolution.,10.1371/journal.pone.0078054,PloS one,2013.0,bench,pubmed
PMID:24211110,Ras-Mek-Erk signaling regulates Nf1 heterozygous neointima formation.,10.1016/j.ajpath.2013.09.022,The American journal of pathology,2014.0,bench,pubmed
PMID:24213576,PPARβ/δ promotes HRAS-induced senescence and tumor suppression by potentiating p-ERK and repressing p-AKT signaling.,10.1038/onc.2013.477,Oncogene,2014.0,bench,pubmed
PMID:24216989,Lost in translation: ambiguity in nerve sheath tumor nomenclature and its resultant treatment effect.,10.3390/cancers5020519,Cancers,2013.0,bench,pubmed
PMID:24232507,Neuregulin-1 overexpression and Trp53 haploinsufficiency cooperatively promote de novo malignant peripheral nerve sheath tumor pathogenesis.,10.1007/s00401-013-1209-3,Acta neuropathologica,2014.0,bench,pubmed
PMID:24249801,Achieving consensus for clinical trials: the REiNS International Collaboration.,10.1212/01.wnl.0000435743.49414.b6,Neurology,2013.0,clinical,pubmed
PMID:24249802,Functional outcome measures for NF1-associated optic pathway glioma clinical trials.,10.1212/01.wnl.0000435745.95155.b8,Neurology,2013.0,clinical,pubmed
PMID:24249804,Recommendations for imaging tumor response in neurofibromatosis clinical trials.,10.1212/01.wnl.0000435744.57038.af,Neurology,2013.0,clinical,pubmed
PMID:24249805,Conclusions and future directions for the REiNS International Collaboration.,10.1212/01.wnl.0000435748.79908.c5,Neurology,2013.0,"bench,clinical",pubmed
PMID:24249806,Patient-reported outcomes in neurofibromatosis and schwannomatosis clinical trials.,10.1212/01.wnl.0000435747.02780.bf,Neurology,2013.0,clinical,pubmed
PMID:24259290,Inhibition of SIRT2 in merlin/NF2-mutant Schwann cells triggers necrosis.,10.18632/oncotarget.1422,Oncotarget,2013.0,bench,pubmed
PMID:24261697,High incidence of activating TERT promoter mutations in meningiomas undergoing malignant progression.,10.1111/bpa.12110,"Brain pathology (Zurich, Switzerland)",2014.0,bench,pubmed
PMID:24285727,Preclinical therapeutic efficacy of a novel pharmacologic inducer of apoptosis in malignant peripheral nerve sheath tumors.,10.1158/0008-5472.CAN-13-1934,Cancer research,2014.0,bench,pubmed
PMID:24294527,Activated Ras as a Therapeutic Target: Constraints on Directly Targeting Ras Isoforms and Wild-Type versus Mutated Proteins.,10.1155/2013/536529,ISRN oncology,2013.0,bench,pubmed
PMID:24295733,Rapamycin improves sociability in the BTBR T(+)Itpr3(tf)/J mouse model of autism spectrum disorders.,10.1016/j.brainresbull.2013.11.005,Brain research bulletin,2014.0,bench,pubmed
PMID:24297905,Regulation of Son of sevenless by the membrane-actin linker protein ezrin.,10.1073/pnas.1222078110,Proceedings of the National Academy of Sciences of the United States of America,2013.0,bench,pubmed
PMID:24309211,Neuronal merlin influences ERBB2 receptor expression on Schwann cells through neuregulin 1 type III signalling.,10.1093/brain/awt327,Brain : a journal of neurology,2014.0,bench,pubmed
PMID:24335216,Primary auditory cortical responses to electrical stimulation of the thalamus.,10.1152/jn.00749.2012,Journal of neurophysiology,2014.0,bench,pubmed
PMID:24336571,Genome-scale CRISPR-Cas9 knockout screening in human cells.,10.1126/science.1247005,"Science (New York, N.Y.)",2014.0,bench,pubmed
PMID:24346802,"Evaluation of Bcl-2, Bcl-x and cleaved caspase-3 in malignant peripheral nerve sheath tumors and neurofibromas.",10.1590/0001-3765201320120026,Anais da Academia Brasileira de Ciencias,2013.0,bench,pubmed
PMID:24371224,Tumor suppressor alterations cooperate to drive aggressive mesotheliomas with enriched cancer stem cells via a p53-miR-34a-c-Met axis.,10.1158/0008-5472.CAN-13-2062,Cancer research,2014.0,bench,pubmed
PMID:24375753,Sex Is a major determinant of neuronal dysfunction in neurofibromatosis type 1.,10.1002/ana.24093,Annals of neurology,2014.0,bench,pubmed
PMID:24386979,"Modulation of Ras signaling alters the toxicity of hydroquinone, a benzene metabolite and component of cigarette smoke.",10.1186/1471-2407-14-6,BMC cancer,2014.0,bench,pubmed
PMID:24414536,mTORC1 inhibition delays growth of neurofibromatosis type 2 schwannoma.,10.1093/neuonc/not242,Neuro-oncology,2014.0,bench,pubmed
PMID:24426510,"""Huge axillary mass - neurofibroma brachial plexus"".",10.1007/s12262-011-0330-6,The Indian journal of surgery,2013.0,bench,pubmed
PMID:24431436,Neurofibromin is the major ras inactivator in dendritic spines.,10.1523/JNEUROSCI.3096-13.2014,The Journal of neuroscience : the official journal of the Society for Neuroscience,2014.0,bench,pubmed
PMID:24443661,Compounds from ,10.1016/j.phytol.2013.09.007,Phytochemistry letters,2014.0,bench,pubmed
PMID:24450866,Schwannomas and their pathogenesis.,10.1111/bpa.12125,"Brain pathology (Zurich, Switzerland)",2014.0,bench,pubmed
PMID:24465906,"Multiscale, converging defects of macro-porosity, microstructure and matrix mineralization impact long bone fragility in NF1.",10.1371/journal.pone.0086115,PloS one,2014.0,bench,pubmed
PMID:24470552,Treatment of orthotopic malignant peripheral nerve sheath tumors with oncolytic herpes simplex virus.,10.1093/neuonc/not317,Neuro-oncology,2014.0,bench,pubmed
PMID:24500418,"Phase 2 randomized, flexible crossover, double-blinded, placebo-controlled trial of the farnesyltransferase inhibitor tipifarnib in children and young adults with neurofibromatosis type 1 and progressive plexiform neurofibromas.",10.1093/neuonc/nou004,Neuro-oncology,2014.0,clinical,pubmed
PMID:24503545,Expression of WW domain-containing oxidoreductase WOX1 in human nervous system tumors.,10.3233/ACP-140087,Analytical cellular pathology (Amsterdam),2013.0,bench,pubmed
PMID:24506781,Exon-skipping antisense oligonucleotides to correct missplicing in neurogenetic diseases.,10.1089/nat.2013.0461,Nucleic acid therapeutics,2014.0,bench,pubmed
PMID:24509877,MAF mediates crosstalk between Ras-MAPK and mTOR signaling in NF1.,10.1038/onc.2013.506,Oncogene,2014.0,bench,pubmed
PMID:24551382,Using image references in radiology reports to support enhanced report-to-image navigation.,,AMIA ... Annual Symposium proceedings. AMIA Symposium,2013.0,bench,pubmed
PMID:24558021,Proteomic screening identifies a YAP-driven signaling network linked to tumor cell proliferation in human schwannomas.,10.1093/neuonc/nou020,Neuro-oncology,2014.0,bench,pubmed
PMID:24559228,Abnormal late visual responses and alpha oscillations in neurofibromatosis type 1: a link to visual and attention deficits.,10.1186/1866-1955-6-4,Journal of neurodevelopmental disorders,2014.0,bench,pubmed
PMID:2456020,Expression of nerve growth factor receptor in paraffin-embedded soft tissue tumors.,,The American journal of pathology,1988.0,bench,pubmed
PMID:24582430,[Neurofibromatosis type 2 and its head and neck manifestations: literature review and population study in the Community of Cantabria and the province of Las Palmas].,10.1016/j.otorri.2013.12.001,Acta otorrinolaringologica espanola,2014.0,clinical,pubmed
PMID:24585726,Transposable elements and psychiatric disorders.,10.1002/ajmg.b.32225,"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics",2014.0,bench,pubmed
PMID:24595234,In vivo functional analysis of the human NF2 tumor suppressor gene in Drosophila.,10.1371/journal.pone.0090853,PloS one,2014.0,bench,pubmed
PMID:24596649,Gouty tophi.,10.3402/jchimp.v4.22920,Journal of community hospital internal medicine perspectives,2014.0,bench,pubmed
PMID:24603440,"The rate of nonallelic homologous recombination in males is highly variable, correlated between monozygotic twins and independent of age.",10.1371/journal.pgen.1004195,PLoS genetics,2014.0,bench,pubmed
PMID:24619350,Longitudinal evaluation of quality of life in 288 patients with neurofibromatosis 2.,10.1007/s00415-014-7303-1,Journal of neurology,2014.0,clinical,pubmed
PMID:24676424,Neurofibromatosis type 1 gene mutation analysis using sequence capture and high-throughput sequencing.,10.2340/00015555-1843,Acta dermato-venereologica,2014.0,bench,pubmed
PMID:24676443,Neurofibromatoses: part 1 - diagnosis and differential diagnosis.,10.1590/0004-282x20130241,Arquivos de neuro-psiquiatria,2014.0,clinical,pubmed
PMID:24681606,Co-targeting the MAPK and PI3K/AKT/mTOR pathways in two genetically engineered mouse models of schwann cell tumors reduces tumor grade and multiplicity.,10.18632/oncotarget.1609,Oncotarget,2014.0,bench,pubmed
PMID:24686726,Activation of Sonic hedgehog signaling in neural progenitor cells promotes glioma development in the zebrafish optic pathway.,10.1038/oncsis.2014.10,Oncogenesis,2014.0,bench,pubmed
PMID:24711647,ADAP2 in heart development: a candidate gene for the occurrence of cardiovascular malformations in NF1 microdeletion syndrome.,10.1136/jmedgenet-2013-102240,Journal of medical genetics,2014.0,bench,pubmed
PMID:24719295,Maximizing bone formation in posterior spine fusion using rhBMP-2 and zoledronic acid in wild type and NF1 deficient mice.,10.1002/jor.22628,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,2014.0,bench,pubmed
PMID:24726726,Molecular insights into NF2/Merlin tumor suppressor function.,10.1016/j.febslet.2014.04.001,FEBS letters,2014.0,bench,pubmed
PMID:24753394,Phase II trial of pirfenidone in children and young adults with neurofibromatosis type 1 and progressive plexiform neurofibromas.,10.1002/pbc.25041,Pediatric blood & cancer,2014.0,clinical,pubmed
PMID:24786638,Analyses of merlin/NF2 connection to FAK inhibitor responsiveness in serous ovarian cancer.,10.1016/j.ygyno.2014.04.044,Gynecologic oncology,2014.0,bench,pubmed
PMID:24815379,Application of COLD-PCR for improved detection of NF2 mosaic mutations.,10.1016/j.jmoldx.2014.02.007,The Journal of molecular diagnostics : JMD,2014.0,bench,pubmed
PMID:24817309,Nf2/Merlin controls spinal cord neural progenitor function in a Rac1/ErbB2-dependent manner.,10.1371/journal.pone.0097320,PloS one,2014.0,bench,pubmed
PMID:24824755,BNIP3 regulates AT101 [(-)-gossypol] induced death in malignant peripheral nerve sheath tumor cells.,10.1371/journal.pone.0096733,PloS one,2014.0,bench,pubmed
PMID:24832557,Trp53 haploinsufficiency modifies EGFR-driven peripheral nerve sheath tumorigenesis.,10.1016/j.ajpath.2014.04.006,The American journal of pathology,2014.0,bench,pubmed
PMID:24848258,Merlin deficiency predicts FAK inhibitor sensitivity: a synthetic lethal relationship.,10.1126/scitranslmed.3008639,Science translational medicine,2014.0,bench,pubmed
PMID:24862762,NHERF1/EBP50 controls morphogenesis of 3D colonic glands by stabilizing PTEN and ezrin-radixin-moesin proteins at the apical membrane.,10.1016/j.neo.2014.04.004,"Neoplasia (New York, N.Y.)",2014.0,bench,pubmed
PMID:24882693,Molecular conformation of the full-length tumor suppressor NF2/Merlin--a small-angle neutron scattering study.,10.1016/j.jmb.2014.05.011,Journal of molecular biology,2014.0,bench,pubmed
PMID:24891857,Ventrally located cervical dumbbell ganglioneuroma producing spinal cord compression.,10.14245/kjs.2013.10.4.246,Korean Journal of Spine,2013.0,bench,pubmed
PMID:24912773,Structural basis of DDB1-and-Cullin 4-associated Factor 1 (DCAF1) recognition by merlin/NF2 and its implication in tumorigenesis by CD44-mediated inhibition of merlin suppression of DCAF1 function.,10.1111/gtc.12161,Genes to cells : devoted to molecular & cellular mechanisms,2014.0,bench,pubmed
PMID:2491775,Genetic analysis of eight loci tightly linked to neurofibromatosis 1.,,American journal of human genetics,1989.0,bench,pubmed
PMID:2491777,Genetic linkage mapping of chromosome 17 markers and neurofibromatosis type I.,,American journal of human genetics,1989.0,bench,pubmed
PMID:2491778,Flanking markers for the gene causing von Recklinghausen neurofibromatosis (NF1).,,American journal of human genetics,1989.0,bench,pubmed
PMID:2491779,A refined genetic map of the region of chromosome 17 surrounding the von Recklinghausen neurofibromatosis (NF1) gene.,,American journal of human genetics,1989.0,bench,pubmed
PMID:2491781,Close flanking markers for neurofibromatosis type I (NF1).,,American journal of human genetics,1989.0,bench,pubmed
PMID:2491782,"Linkage analysis of neurofibromatosis type I, using chromosome 17 DNA markers.",,American journal of human genetics,1989.0,bench,pubmed
PMID:2491783,Physical mapping of the von Recklinghausen neurofibromatosis region on chromosome 17.,,American journal of human genetics,1989.0,bench,pubmed
PMID:2491784,Multipoint linkage analysis in neurofibromatosis type I: an international collaboration.,,American journal of human genetics,1989.0,bench,pubmed
PMID:2491785,"The order of loci in the pericentric region of chromosome 17, based on evidence from physical and genetic breakpoints.",,American journal of human genetics,1989.0,bench,pubmed
PMID:24925884,Correlation between in vivo 18F-FDG PET and immunohistochemical markers of glucose uptake and metabolism in pheochromocytoma and paraganglioma.,10.2967/jnumed.114.137034,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2014.0,bench,pubmed
PMID:24932921,Neurofibromin deficiency-associated transcriptional dysregulation suggests a novel therapy for tibial pseudoarthrosis in NF1.,10.1002/jbmr.2298,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2014.0,bench,pubmed
PMID:24936445,Role of Hyaluronic Acid Treatment in the Prevention of Keloid Scarring.,10.1016/j.jccw.2013.06.001,The journal of the American College of Clinical Wound Specialists,2012.0,clinical,pubmed
PMID:24958239,SVA retrotransposon insertion-associated deletion represents a novel mutational mechanism underlying large genomic copy number changes with non-recurrent breakpoints.,10.1186/gb-2014-15-6-r80,Genome biology,2014.0,bench,pubmed
PMID:24975854,Eliminating barriers to personalized medicine: learning from neurofibromatosis type 1.,10.1212/WNL.0000000000000652,Neurology,2014.0,bench,pubmed
PMID:24980480,Novel age-dependent targets in vestibular schwannomas.,10.1186/1479-7364-8-10,Human genomics,2014.0,bench,pubmed
PMID:24997609,"Asfotase-α improves bone growth, mineralization and strength in mouse models of neurofibromatosis type-1.",10.1038/nm.3583,Nature medicine,2014.0,bench,pubmed
PMID:25003081,An integrative analysis of meningioma tumors reveals the determinant genes and pathways of malignant transformation.,10.3389/fonc.2014.00147,Frontiers in oncology,2014.0,bench,pubmed
