pmid,title,is_research,screening_reasoning
21074722,"The NF2 tumor suppressor, Merlin, regulates epidermal development through the establishment of a junctional polarity complex.",True,Molecular mechanism research
21084862,Merlin's tumor suppression linked to inhibition of the E3 ubiquitin ligase CRL4 (DCAF1).,True,Molecular mechanism research
21111000,A novel imaging-compatible sciatic nerve schwannoma model.,True,Imaging-compatible animal model
21157378,Neurofibromatosis-1 heterozygosity increases microglia in a spatially and temporally restricted pattern relevant to mouse optic glioma formation and growth.,True,Mouse genetic model
2117565,The human homolog of murine Evi-2 lies between two von Recklinghausen neurofibromatosis translocations.,True,Genetic mapping research
21182951,Schwannomin/merlin promotes Schwann cell elongation and influences myelin segment length.,True,Molecular mechanism research
2119504,Genetic and physical map of the von Recklinghausen neurofibromatosis (NF1) region on chromosome 17.,True,Genetic mapping research
21196210,Genetic basis of tumorigenesis in NF1 malignant peripheral nerve sheath tumors.,True,Genetic tumorigenesis research
21199799,Dose-dependent effects of focal fractionated irradiation on secondary malignant neoplasms in Nf1 mutant mice.,True,Animal radiation model
2121371,The NF1 locus encodes a protein functionally related to mammalian GAP and yeast IRA proteins.,True,Genetic mechanism research
21216928,Interpreting mammalian target of rapamycin and cell growth inhibition in a genetically engineered mouse model of Nf1-deficient astrocytes.,True,Genetically engineered mouse model
21224727,Autophagy blockade enhances HDAC inhibitors' pro-apoptotic effects: potential implications for the treatment of a therapeutic-resistant malignancy.,True,Drug mechanism research
21255467,SMARCB1/INI1 germline mutations contribute to 10% of sporadic schwannomatosis.,True,Genetic mutation analysis
21324880,Comparative methylome analysis of benign and malignant peripheral nerve sheath tumors.,True,Comparative methylome analysis
21352477,Motor deficits in neurofibromatosis type 1 mice: the role of the cerebellum.,True,Animal behavioral model
21383154,Missense mutations in the NF2 gene result in the quantitative loss of merlin protein and minimally affect protein intrinsic function.,True,Molecular mechanism research
21402777,FERM domain phosphoinositide binding targets merlin to the membrane and is essential for its growth-suppressive function.,True,Molecular mechanism research
2142531,Chromosome 17p deletions and p53 gene mutations associated with the formation of malignant neurofibrosarcomas in von Recklinghausen neurofibromatosis.,True,Genetic mutation analysis
21439418,Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model.,True,Animal model of bone pathology
21454924,"miRNA signature of schwannomas: possible role(s) of ""tumor suppressor"" miRNAs in benign tumors.",True,MicroRNA signature research
21460792,Orthotopic xenografting of human luciferase-tagged malignant peripheral nerve sheath tumor cells for in vivo testing of candidate therapeutic agents.,True,Xenograft model for drug testing
21465658,Multiple increased osteoclast functions in individuals with neurofibromatosis type 1.,True,Cellular function research
21478499,Neurofibromin (Nf1) is required for skeletal muscle development.,True,Genetic muscle development model
21479127,Succinate Dehydrogenase Subunit B (SDHB) Is Expressed in Neurofibromatosis 1-Associated Gastrointestinal Stromal Tumors (Gists): Implications for the SDHB Expression Based Classification of Gists.,True,Molecular expression analysis
21551250,Susceptible stages in Schwann cells for NF1-associated plexiform neurofibroma development.,True,Cellular developmental model
21563229,Effects of splicing mutations on NF2-transcripts: transcript analysis and information theoretic predictions.,True,Genetic transcript analysis
21596366,Loss of BRCC3 deubiquitinating enzyme leads to abnormal angiogenesis and is associated with syndromic moyamoya.,True,Molecular mechanism research
21636709,Control of proliferation in astrocytoma cells by the receptor tyrosine kinase/PI3K/AKT signaling axis and the use of PI-103 and TCN as potential anti-astrocytoma therapies.,True,Molecular signaling research
21659924,"ErbB expression, activation, and inhibition with lapatinib and tyrphostin (AG825) in human vestibular schwannomas.",True,Molecular mechanism research
21666496,Comparative characterization of the human and mouse third ventricle germinal zones.,True,Comparative developmental model
2167436,"Evi-2, a common integration site involved in murine myeloid leukemogenesis.",True,Genetic integration research
21681782,Nf1 mutant mice with p19ARF gene loss develop accelerated hematopoietic disease resembling acute leukemia with a variable phenotype.,True,Genetically engineered mouse model
21686274,Inhibition of Cdc42-mediated activation of mixed lineage kinase 3 by the tumor suppressor protein merlin.,True,Molecular mechanism research
21697395,Discovery of a small molecule targeting IRA2 deletion in budding yeast and neurofibromin loss in malignant peripheral nerve sheath tumor cells.,True,Drug discovery research
21726432,MIA is a potential biomarker for tumour load in neurofibromatosis type 1.,True,Biomarker research
21727212,Nilotinib alone or in combination with selumetinib is a drug candidate for neurofibromatosis type 2.,True,Drug candidate research
21748792,Hyperactivation of mTOR critically regulates abnormal osteoclastogenesis in neurofibromatosis Type 1.,True,Cellular mechanism research
21750658,Multistep phosphorylation by oncogenic kinases enhances the degradation of the NF2 tumor suppressor merlin.,True,Molecular mechanism research
21778190,"AR42, a novel histone deacetylase inhibitor, as a potential therapy for vestibular schwannomas and meningiomas.",True,Drug mechanism research
21855613,Genetically engineered mouse models shed new light on the pathogenesis of neurofibromatosis type I-related neoplasms of the peripheral nervous system.,True,Genetically engineered mouse models
21878642,KIBRA protein phosphorylation is regulated by mitotic kinase aurora and protein phosphatase 1.,True,Molecular mechanism research
21896734,Neurofibromatosis-1 regulates mTOR-mediated astrocyte growth and glioma formation in a TSC/Rheb-independent manner.,True,Animal model research
21903164,Neurofibromatosis-1 heterozygosity impairs CNS neuronal morphology in a cAMP/PKA/ROCK-dependent manner.,True,Animal model research
21931722,The probable cell of origin of NF1- and PDGF-driven glioblastomas.,True,Cell line research
21949590,ALTERED CALCIUM CURRENTS AND AXONAL GROWTH IN Nf1 HAPLOINSUFFICIENT MICE.,True,Animal model research
21949657,The receptor tyrosine kinase Alk controls neurofibromin functions in Drosophila growth and learning.,True,Genetic model in Drosophila
21963652,PET imaging for attention deficit preclinical drug testing in neurofibromatosis-1 mice.,True,Animal model for PET imaging
21980365,The haploinsufficient hematopoietic microenvironment is critical to the pathological fracture repair in murine models of neurofibromatosis type 1.,True,Animal model research
22105171,Valosin-containing protein and neurofibromin interact to regulate dendritic spine density.,True,Molecular interaction research
22384355,The SPRED1 Variants Repository for Legius Syndrome.,True,Genetic variant repository
22433254,Lovastatin regulates brain spontaneous low-frequency brain activity in neurofibromatosis type 1.,True,Drug effect on brain activity
22449146,From neurodevelopment to neurodegeneration: the interaction of neurofibromin and valosin-containing protein/p97 in regulation of dendritic spine formation.,True,Molecular interaction research
22493273,Neurofibromatosis-like phenotype in Drosophila caused by lack of glucosylceramide extension.,True,Genetic model in Drosophila
22550514,Skin-derived precursor cells as an in vitro modelling tool for the study of type 1 neurofibromatosis.,True,Cell culture model development
22821737,The Learning Disabilities Network (LeaDNet): using neurofibromatosis type 1 (NF1) as a paradigm for translational research.,True,Research network development
22901811,ERK inhibition rescues defects in fate specification of Nf1-deficient neural progenitors and brain abnormalities.,True,Neural progenitor research
22916147,Applying microsatellite multiplex PCR analysis (MMPA) for determining allele copy-number status and percentage of normal cells within tumors.,True,Molecular analysis technique
22961690,Phase I trial and pharmacokinetic study of sorafenib in children with neurofibromatosis type I and plexiform neurofibromas.,True,Clinical drug trial
23055477,Neurofibromatosis type 1: modeling CNS dysfunction.,True,CNS dysfunction modeling
23071067,Genetically mediated Nf1 loss in mice promotes diverse radiation-induced tumors modeling second malignant neoplasms.,True,Animal model development
23087000,Dedifferentiation of neurons and astrocytes by oncogenes can induce gliomas in mice.,True,Animal model of cancer
23213372,Stability of the tumor suppressor merlin depends on its ability to bind paxillin LD3 and associate with β1 integrin and actin at the plasma membrane.,True,Molecular biology research tool
23221337,Sustained MEK inhibition abrogates myeloproliferative disease in Nf1 mutant mice.,True,Animal model research
23221339,Normal hematopoiesis and neurofibromin-deficient myeloproliferative disease require Erk.,True,Molecular signaling research
23221341,MEK inhibition exhibits efficacy in human and mouse neurofibromatosis tumors.,True,Therapeutic drug screening
23222849,Somatic neurofibromatosis type 1 (NF1) inactivation characterizes NF1-associated pilocytic astrocytoma.,True,Genetic characterization method
23225063,Dopamine deficiency underlies learning deficits in neurofibromatosis-1 mice.,True,Animal model behavioral research
23239959,Partial Blindness to Submicron Topography in NF1 Haploinsufficient Cultured Fibroblasts Indicates a New Function of Neurofibromin in Regulation of Mechanosensoric.,True,Cell culture research method
23244685,Molecular heterogeneity in malignant peripheral nerve sheath tumors associated with neurofibromatosis type 1.,True,Molecular characterization method
23267122,"Neurofibromatosis type 2 protein, NF2: an uncoventional cell cycle regulator.",True,Molecular biology research
23268719,Isobutylhydroxyamides from the pericarp of Nepalese Zanthoxylum armatum inhibit NF1-defective tumor cell line growth.,True,Cell line drug screening
23308224,"Neurofibromatosis type 2 tumor suppressor protein, NF2, induces proteasome-mediated degradation of JC virus T-antigen in human glioblastoma.",True,Molecular mechanism research
23312374,Modeling cognitive dysfunction in neurofibromatosis-1.,True,Cognitive modeling research
23318430,EGFR-STAT3 signaling promotes formation of malignant peripheral nerve sheath tumors.,True,Molecular signaling research
23328114,Genomic imbalance of HMMR/RHAMM regulates the sensitivity and response of malignant peripheral nerve sheath tumour cells to aurora kinase inhibition.,True,Genomic analysis method
23348505,"Genomic analysis of non-NF2 meningiomas reveals mutations in TRAF7, KLF4, AKT1, and SMO.",True,Genomic screening method
23356716,Miniaturized handheld confocal microscopy identifies focal brain invasion in a mouse model of aggressive meningioma.,True,Imaging research tool
23358504,Integrated proteomics identified novel activation of dynein IC2-GR-COX-1 signaling in neurofibromatosis type I (NF1) disease model cells.,True,Proteomics research method
23406822,"Gyrification, cortical and subcortical morphometry in neurofibromatosis type 1: an uneven profile of developmental abnormalities.",True,Neuroimaging research method
23412344,Depletion of the novel p53-target gene carnitine palmitoyltransferase 1C delays tumor growth in the neurofibromatosis type I tumor model.,True,Tumor model research
23413263,Loss of SOX10 function contributes to the phenotype of human Merlin-null schwannoma cells.,True,Molecular characterization method
23423222,RAS/MEK-independent gene expression reveals BMP2-related malignant phenotypes in the Nf1-deficient MPNST.,True,Genetic expression research
23424002,Reduced microglial CX3CR1 expression delays neurofibromatosis-1 glioma formation.,True,Animal model research
23432799,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",True,Clinical assessment tool development
23434321,CXCR4/CXCL12 mediate autocrine cell- cycle progression in NF1-associated malignant peripheral nerve sheath tumors.,True,Molecular signaling research
23446537,"[Quality of life in children with neurofibromatosis type 1, based on their mothers' reports].",True,Quality of life assessment tool
23457304,Platelet-derived growth factor-BB activates calcium/calmodulin-dependent and -independent mechanisms that mediate Akt phosphorylation in the neurofibromin-deficient human Schwann cell line ST88-14.,True,Cell line signaling research
23475878,An unholy alliance: cooperation between BRAF and NF1 in melanoma development and BRAF inhibitor resistance.,True,Molecular mechanism research
23487764,NMR-based functional profiling of RASopathies and oncogenic RAS mutations.,True,Computational research tool
23535903,"Canonical Wnt/β-catenin signaling drives human schwann cell transformation, progression, and tumor maintenance.",True,Molecular signaling research
23555837,Genetic interactions between neurofibromin and endothelin receptor B in mice.,True,Animal model genetic research
23583712,Neurofibromin interacts with the cytoplasmic Dynein Heavy Chain 1 in melanosomes of human melanocytes.,True,Molecular interaction research
23685747,Forward genetic screen for malignant peripheral nerve sheath tumor formation identifies new genes and pathways driving tumorigenesis.,True,Genetic screening method
23714726,Therapeutic potential of HSP90 inhibition for neurofibromatosis type 2.,True,Drug discovery research
23723300,Genotype-specific abnormalities in mitochondrial function associate with distinct profiles of energy metabolism and catecholamine content in pheochromocytoma and paraganglioma.,True,Molecular characterization method
23749527,Extending the convergence of canonical WNT signaling and classic cancer pathways for treatment of malignant peripheral nerve sheath tumors.,True,Molecular pathway research
23762458,Motivational disturbances and effects of L-dopa administration in neurofibromatosis-1 model mice.,True,Animal model behavioral research
23848554,MicroRNAome profiling in benign and malignant neurofibromatosis type 1-associated nerve sheath tumors: evidences of PTEN pathway alterations in early NF1 tumorigenesis.,True,MicroRNA profiling method
23858101,NF1 deletion generates multiple subtypes of soft-tissue sarcoma that respond to MEK inhibition.,True,Animal model drug screening
23863460,Hyperactive Ras/MAPK signaling is critical for tibial nonunion fracture in neurofibromin-deficient mice.,True,Animal model research
23863479,Tumor suppressor Nf2 limits expansion of the neural progenitor pool by inhibiting Yap/Taz transcriptional coactivators.,True,Molecular mechanism research
23907387,An integrative characterization of recurrent molecular aberrations in glioblastoma genomes.,True,Genomic characterization method
23928514,Natural compounds as potential treatments of NF2-deficient schwannoma and meningioma: cucurbitacin D and goyazensolide.,True,Drug discovery research
23934191,LIM domain kinases as potential therapeutic targets for neurofibromatosis type 2.,True,Potential therapeutic target research
23960073,"FRAX597, a small molecule inhibitor of the p21-activated kinases, inhibits tumorigenesis of neurofibromatosis type 2 (NF2)-associated Schwannomas.",True,Drug screening research
24012335,Spatial organization of Hippo signaling at the plasma membrane mediated by the tumor suppressor Merlin/NF2.,True,Molecular mechanism research
24035394,Nf1 loss and Ras hyperactivation in oligodendrocytes induce NOS-driven defects in myelin and vasculature.,True,Animal model research
24040940,Molecular-guided therapy predictions reveal drug resistance phenotypes and treatment alternatives in malignant peripheral nerve sheath tumors.,True,Drug resistance research method
24065580,Prevalence of Sleep Disturbances in Children With Neurofibromatosis Type 1.,True,Clinical assessment tool
24101736,Detection of tumor progression in optic pathway glioma with and without neurofibromatosis type 1.,True,Tumor progression imaging method
24132643,EZH2-miR-30d-KPNB1 pathway regulates malignant peripheral nerve sheath tumour cell survival and tumourigenesis.,True,Molecular mechanism research
24189137,Succinate-to-fumarate ratio as a new metabolic marker to detect the presence of SDHB/D-related paraganglioma: initial experimental and ex vivo findings.,True,Metabolic marker research
24197987,Vision specific quality of life in children with optic pathway gliomas.,True,Quality of life assessment tool
24211110,Ras-Mek-Erk signaling regulates Nf1 heterozygous neointima formation.,True,Animal model signaling research
24213576,PPARβ/δ promotes HRAS-induced senescence and tumor suppression by potentiating p-ERK and repressing p-AKT signaling.,True,Molecular mechanism research
24232507,Neuregulin-1 overexpression and Trp53 haploinsufficiency cooperatively promote de novo malignant peripheral nerve sheath tumor pathogenesis.,True,Animal model tumor research
24249801,Achieving consensus for clinical trials: the REiNS International Collaboration.,True,Clinical trial consensus method
24249802,Functional outcome measures for NF1-associated optic pathway glioma clinical trials.,True,Clinical outcome measure development
24249804,Recommendations for imaging tumor response in neurofibromatosis clinical trials.,True,Imaging research method
24249806,Patient-reported outcomes in neurofibromatosis and schwannomatosis clinical trials.,True,Patient-reported outcome tool
24259290,Inhibition of SIRT2 in merlin/NF2-mutant Schwann cells triggers necrosis.,True,Molecular mechanism research
24261697,High incidence of activating TERT promoter mutations in meningiomas undergoing malignant progression.,True,Molecular characterization method
24285727,Preclinical therapeutic efficacy of a novel pharmacologic inducer of apoptosis in malignant peripheral nerve sheath tumors.,True,Drug discovery research
24295733,Rapamycin improves sociability in the BTBR T(+)Itpr3(tf)/J mouse model of autism spectrum disorders.,True,Animal model behavioral research
24297905,Regulation of Son of sevenless by the membrane-actin linker protein ezrin.,True,Molecular interaction research
24309211,Neuronal merlin influences ERBB2 receptor expression on Schwann cells through neuregulin 1 type III signalling.,True,Molecular mechanism research
24336571,Genome-scale CRISPR-Cas9 knockout screening in human cells.,True,CRISPR screening method
24346802,"Evaluation of Bcl-2, Bcl-x and cleaved caspase-3 in malignant peripheral nerve sheath tumors and neurofibromas.",True,Molecular marker analysis
24375753,Sex Is a major determinant of neuronal dysfunction in neurofibromatosis type 1.,True,Animal model of neuronal dysfunction
24414536,mTORC1 inhibition delays growth of neurofibromatosis type 2 schwannoma.,True,Therapeutic drug targeting
24431436,Neurofibromin is the major ras inactivator in dendritic spines.,True,Molecular mechanism research
24465906,"Multiscale, converging defects of macro-porosity, microstructure and matrix mineralization impact long bone fragility in NF1.",True,Animal model of bone fragility
24470552,Treatment of orthotopic malignant peripheral nerve sheath tumors with oncolytic herpes simplex virus.,True,Oncolytic virus therapeutic model
24500418,"Phase 2 randomized, flexible crossover, double-blinded, placebo-controlled trial of the farnesyltransferase inhibitor tipifarnib in children and young adults with neurofibromatosis type 1 and progressive plexiform neurofibromas.",True,Clinical trial with therapeutic intervention
24506781,Exon-skipping antisense oligonucleotides to correct missplicing in neurogenetic diseases.,True,Antisense oligonucleotide genetic reagent
24558021,Proteomic screening identifies a YAP-driven signaling network linked to tumor cell proliferation in human schwannomas.,True,Proteomic screening method
24595234,In vivo functional analysis of the human NF2 tumor suppressor gene in Drosophila.,True,In vivo functional genetic analysis
24619350,Longitudinal evaluation of quality of life in 288 patients with neurofibromatosis 2.,True,Longitudinal quality of life assessment tool
24676424,Neurofibromatosis type 1 gene mutation analysis using sequence capture and high-throughput sequencing.,True,Genetic mutation analysis method
24681606,Co-targeting the MAPK and PI3K/AKT/mTOR pathways in two genetically engineered mouse models of schwann cell tumors reduces tumor grade and multiplicity.,True,Genetic mouse model
24686726,Activation of Sonic hedgehog signaling in neural progenitor cells promotes glioma development in the zebrafish optic pathway.,True,Zebrafish disease model
24719295,Maximizing bone formation in posterior spine fusion using rhBMP-2 and zoledronic acid in wild type and NF1 deficient mice.,True,Animal model with therapeutic intervention
24753394,Phase II trial of pirfenidone in children and young adults with neurofibromatosis type 1 and progressive plexiform neurofibromas.,True,Clinical drug trial
24815379,Application of COLD-PCR for improved detection of NF2 mosaic mutations.,True,Mutation detection method
24817309,Nf2/Merlin controls spinal cord neural progenitor function in a Rac1/ErbB2-dependent manner.,True,Genetic mouse model
24832557,Trp53 haploinsufficiency modifies EGFR-driven peripheral nerve sheath tumorigenesis.,True,Genetic mouse model
2491775,Genetic analysis of eight loci tightly linked to neurofibromatosis 1.,True,Genetic linkage mapping
2491777,Genetic linkage mapping of chromosome 17 markers and neurofibromatosis type I.,True,Genetic linkage mapping
2491778,Flanking markers for the gene causing von Recklinghausen neurofibromatosis (NF1).,True,Genetic marker identification
2491779,A refined genetic map of the region of chromosome 17 surrounding the von Recklinghausen neurofibromatosis (NF1) gene.,True,Genetic mapping
2491781,Close flanking markers for neurofibromatosis type I (NF1).,True,Genetic marker identification
2491782,"Linkage analysis of neurofibromatosis type I, using chromosome 17 DNA markers.",True,Genetic linkage analysis
2491783,Physical mapping of the von Recklinghausen neurofibromatosis region on chromosome 17.,True,Physical mapping method
2491784,Multipoint linkage analysis in neurofibromatosis type I: an international collaboration.,True,Multipoint linkage analysis
2491785,"The order of loci in the pericentric region of chromosome 17, based on evidence from physical and genetic breakpoints.",True,Genetic mapping method
24932921,Neurofibromin deficiency-associated transcriptional dysregulation suggests a novel therapy for tibial pseudoarthrosis in NF1.,True,Transcriptional dysregulation analysis
24958239,SVA retrotransposon insertion-associated deletion represents a novel mutational mechanism underlying large genomic copy number changes with non-recurrent breakpoints.,True,Genomic mutation mechanism
24997609,"Asfotase-α improves bone growth, mineralization and strength in mouse models of neurofibromatosis type-1.",True,Animal model with therapeutic intervention
25043591,Combined MEK inhibition and BMP2 treatment promotes osteoblast differentiation and bone healing in Nf1Osx -/- mice.,True,Animal model with therapeutic intervention
25074460,Neurofibromatosis type 1 molecular diagnosis: what can NGS do for you when you have a large gene with loss of function mutations?,True,Genetic sequencing method
25079666,Primary culture of human vestibular schwannomas.,True,Primary cell culture method
25113746,A murine model of neurofibromatosis type 2 that accurately phenocopies human schwannoma formation.,True,Murine disease model
25184332,Heat hyperalgesia and mechanical hypersensitivity induced by calcitonin gene-related peptide in a mouse model of neurofibromatosis.,True,Animal pain model
25246427,The impact of coexisting genetic mutations on murine optic glioma biology.,True,Genetic mouse model
25274808,Hippocampal dysregulation of neurofibromin-dependent pathways is associated with impaired spatial learning in engrailed 2 knock-out mice.,True,Animal behavioral model
25289889,Combinatorial therapy with tamoxifen and trifluoperazine effectively inhibits malignant peripheral nerve sheath tumor growth by targeting complementary signaling cascades.,True,Drug combination therapy screening
25325900,The use of next-generation sequencing in molecular diagnosis of neurofibromatosis type 1: a validation study.,True,Genetic sequencing validation
25329635,Genetic modifiers of neurofibromatosis type 1-associated café-au-lait macule count identified using multi-platform analysis.,True,Genetic modifier analysis
25335493,Expanding the mutational spectrum of LZTR1 in schwannomatosis.,True,Genetic mutation spectrum
25336744,The tumor suppressor Nf2 regulates corpus callosum development by inhibiting the transcriptional coactivator Yap.,True,Developmental mouse model
25340526,Nilotinib is more potent than imatinib for treating plexiform neurofibroma in vitro and in vivo.,True,Drug screening method
25360213,A chemical biology approach identified PI3K as a potential therapeutic target for neurofibromatosis type 2.,True,Chemical biology screening
25367036,NF1 regulation of RAS/ERK signaling is required for appropriate granule neuron progenitor expansion and migration in cerebellar development.,True,Developmental mouse model
25377441,Development and validation of the English Pain Interference Index and Pain Interference Index-Parent report.,True,"Pain assessment tool development/home/runner/work/nf-research-tools-schema/nf-research-tools-schema/tool_coverage/scripts/screen_publication_titles.py:85: DeprecationWarning: The model 'claude-3-5-haiku-20241022' is deprecated and will reach end-of-life on February 19th, 2026."
25433207,Nf2-Yap signaling controls the expansion of DRG progenitors and glia during DRG development.,True,Developmental mouse model
25437375,"Abnormal relationship between GABA, neurophysiology and impulsive behavior in neurofibromatosis type 1.",True,Neurophysiological research method
25452392,Evidence of polyclonality in neurofibromatosis type 2-associated multilobulated vestibular schwannomas.,True,Molecular characterization technique
25475340,Validity and interexaminer reliability of a new method to quantify skin neurofibromas of neurofibromatosis 1 using paper frames.,True,Clinical assessment tool development
25480913,Mutations in LZTR1 add to the complex heterogeneity of schwannomatosis.,True,Genetic mutation analysis
25483400,Nf1 regulates alcohol dependence-associated excessive drinking and gamma-aminobutyric acid release in the central amygdala in mice and is associated with alcohol dependence in humans.,True,Animal model research
2551169,Transplacental induction of peripheral nervous tumor in the Syrian golden hamster by N-nitroso-N-ethylurea. A new animal model for von Recklinghausen's neurofibromatosis.,True,Animal model development
25517743,NF GEMMs already! The power and promise of mouse tumor models.,True,Genetic mouse model research
25534823,Akt- or MEK-mediated mTOR inhibition suppresses Nf1 optic glioma growth.,True,Molecular pathway research
25535838,Transient inhibition of the ERK pathway prevents cerebellar developmental defects and improves long-term motor functions in murine models of neurofibromatosis type 1.,True,Animal model research
25549701,Exome sequencing on malignant meningiomas identified mutations in neurofibromatosis type 2 (NF2) and meningioma 1 (MN1) genes.,True,Genetic sequencing method
25551830,Soluble AXL: a possible circulating biomarker for neurofibromatosis type 1 related tumor burden.,True,Biomarker identification
25557241,Outcomes of preimplantation genetic diagnosis in neurofibromatosis type 1.,True,Genetic screening tool
25596744,Group I Paks as therapeutic targets in NF2-deficient meningioma.,True,Potential therapeutic screening
2562822,Fine structure DNA mapping studies of the chromosomal region harboring the genetic defect in neurofibromatosis type I.,True,Genetic mapping technique
25639352,Neural Crest-Specific TSC1 Deletion in Mice Leads to Sclerotic Craniofacial Bone Lesion.,True,Animal model research
25692621,Interplay between VEGF-A and cMET signaling in human vestibular schwannomas and schwann cells.,True,Molecular signaling research
2573276,Refined physical and genetic mapping of the NF1 region on chromosome 17.,True,Genetic mapping technique
25772366,Mouse low-grade gliomas contain cancer stem cells with unique molecular and functional properties.,True,Cancer stem cell model
25788518,Elucidating the impact of neurofibromatosis-1 germline mutations on neurofibromin function and dopamine-based learning.,True,Molecular function research
25851896,Preclinical assessment of the anticancer drug response of plexiform neurofibroma tissue using primary cultures.,True,Primary cell culture development
25877069,Establishment of immortalized murine mesothelial cells and a novel mesothelioma cell line.,True,Cell line development
25884485,Evaluation of copy number variation and gene expression in neurofibromatosis type-1-associated malignant peripheral nerve sheath tumours.,True,Genetic variation analysis
25887585,NMF-mGPU: non-negative matrix factorization on multi-GPU systems.,True,Computational tool development
25893273,High spatial resolution imaging mass spectrometry of human optic nerve lipids and proteins.,True,Imaging mass spectrometry technique
25917016,"Nf1 Haploinsufficiency Alters Myeloid Lineage Commitment and Function, Leading to Deranged Skeletal Homeostasis.",True,Animal model research
25917366,HCN channels are a novel therapeutic target for cognitive dysfunction in Neurofibromatosis type 1.,True,Potential therapeutic target research
25946318,Classic Ras Proteins Promote Proliferation and Survival via Distinct Phosphoproteome Alterations in Neurofibromin-Null Malignant Peripheral Nerve Sheath Tumor Cells.,True,Molecular pathway research
25962619,"ADHD-associated dopamine transporter, latrophilin and neurofibromin share a dopamine-related locomotor signature in Drosophila.",True,Animal model research
25963359,Auditory Rehabilitation in Rhesus Macaque Monkeys (Macaca mulatta) with Auditory Brainstem Implants.,True,Animal model research
26000738,Monoallelic loss of the imprinted gene Grb10 promotes tumor formation in irradiated Nf1+/- mice.,True,Animal model research
26039236,Hyperactive RAS/PI3-K/MAPK Signaling Cascade in Migration and Adhesion of Nf1 Haploinsufficient Mesenchymal Stem/Progenitor Cells.,True,Cellular mechanism research
26066488,A Systematic Assessment of Accuracy in Detecting Somatic Mosaic Variants by Deep Amplicon Sequencing: Application to NF2 Gene.,True,Genetic sequencing method
26073082,Runx1 contributes to neurofibromatosis type 1 neurofibroma formation.,True,Molecular mechanism research
26073604,The SWI/SNF Subunit INI1 Contains an N-Terminal Winged Helix DNA Binding Domain that Is a Target for Mutations in Schwannomatosis.,True,Molecular characterization technique
26150484,In vitro modeling of hyperpigmentation associated to neurofibromatosis type 1 using melanocytes derived from human embryonic stem cells.,True,In vitro cell model development
26190969,"In vivo synaptic transmission and morphology in mouse models of Tuberous sclerosis, Fragile X syndrome, Neurofibromatosis type 1, and Costello syndrome.",True,Animal model research
26219339,A high-throughput kinome screen reveals serum/glucocorticoid-regulated kinase 1 as a therapeutic target for NF2-deficient meningiomas.,True,High-throughput screening method
26258444,Merlin Isoforms 1 and 2 Both Act as Tumour Suppressors and Are Required for Optimal Sperm Maturation.,True,Molecular characterization research
26272820,Neurofibromatosis-1 regulation of neural stem cell proliferation and multilineage differentiation operates through distinct RAS effector pathways.,True,Stem cell research method
26344136,NF2/Merlin is required for the axial pattern formation in the Xenopus laevis embryo.,True,Animal model research
26344771,Mutational Analysis of Ionizing Radiation Induced Neoplasms.,True,Mutational analysis technique
26461061,"Targeted NF1 cancer therapeutics with multiple modes of action: small molecule hormone-like agents resembling the natural anticancer metabolite, 2-methoxyoestradiol.",True,Potential therapeutic screening
26478990,A novel diagnostic method to detect truncated neurofibromin in neurofibromatosis 1.,True,Diagnostic method development
26490262,Nuclear import mechanism of neurofibromin for localization on the spindle and function in chromosome congression.,True,Molecular localization research
26509978,Functional Analysis of Mutations in Exon 9 of NF1 Reveals the Presence of Several Elements Regulating Splicing.,True,Genetic splicing analysis
26530423,Chemically Induced Oncogenesis in the Peripheral Nervous System Is Suppressed in Congenic BDIX.BDIV-Mss1 and -Mss7 Rats.,True,Animal model research
26536237,Anaplastic Lymphoma Kinase Acts in the Drosophila Mushroom Body to Negatively Regulate Sleep.,True,Animal model research
26549023,"The scaffold protein KSR1, a novel therapeutic target for the treatment of Merlin-deficient tumors.",True,Potential therapeutic target research
26554010,Anti-VEGF treatment improves neurological function and augments radiation response in NF2 schwannoma model.,True,Animal model research
26558359,A novel genetic- and cell-based tool for assessing the efficacy and toxicity of anticancer drugs in vitro.,True,Drug screening method
26657314,Immortalized Human Schwann Cell Lines Derived From Tumors of Schwannomatosis Patients.,True,Cell line development
26658687,RNAi-nanoparticulate manipulation of gene expression as a new functional genomics tool in the liver.,True,RNAi nanoparticle gene manipulation tool
26740486,The Challenge of Cancer Genomics in Rare Nervous System Neoplasms: Malignant Peripheral Nerve Sheath Tumors as a Paradigm for Cross-Species Comparative Oncogenomics.,True,Comparative oncogenomics computational tool
26740548,Nf1+/- monocytes/macrophages induce neointima formation via CCR2 activation.,True,Animal model (Nf1+/- monocytes)
26822862,Capturing the wide variety of impaired fracture healing phenotypes in Neurofibromatosis Type 1 with eight key factors: a computational study.,True,Computational modeling tool
26840085,Dual mTORC1/2 inhibition induces anti-proliferative effect in NF1-associated plexiform neurofibroma and malignant peripheral nerve sheath tumor cells.,True,Drug screening method
26861207,Feedback activation of neurofibromin terminates growth factor-induced Ras activation.,True,Molecular signaling mechanism
26883872,3-D imaging mass spectrometry of protein distributions in mouse Neurofibromatosis 1 (NF1)-associated optic glioma.,True,3D imaging mass spectrometry tool
26896440,Neurofibromin Loss of Function Drives Excessive Grooming in Drosophila.,True,Drosophila animal model
